,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,sum,norm
BWS-0.011111111111111112-0.0044444444444444444.csv,-96.79620803136186,-108.81133623813864,-121.5559080467758,-235.2798899721931,-278.26083741417744,-300.64870661349914,-90.3000918252762,-100.31179876725287,-98.60044680006038,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2187.2208818746917,1.0000521736750378
BWS-0.05555555555555556-0.006666666666666666.csv,-98.78933760649483,-114.36051315138322,-122.73964966887976,-235.72743632753412,-277.98382179091004,-300.6993146593677,-90.29763332267463,-103.45975640591918,-101.61866821604131,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2202.3317893151607,1.006961259061554
BWS-0.07777777777777778-0.01.csv,-99.01012404735923,-114.76144819367086,-123.23023282491182,-236.0968296400427,-277.87856884276505,-300.6334543149572,-90.40019015583044,-103.700690282475,-102.2102455249945,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2204.577441992963,1.0079880277159528
BWS-0.011111111111111112-0.0022222222222222222.csv,-96.79620803136186,-108.81133623813864,-121.5559080467758,-234.53980363706685,-278.6759112277122,-300.8596097370701,-90.3000918252762,-100.31179876725287,-98.60044680006038,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2187.1067724766713,1.0
BWS-0.011111111111111112-0.003333333333333333.csv,-96.79620803136186,-108.81133623813864,-121.5559080467758,-235.04214568306404,-278.2840552579142,-300.79153501358013,-90.3000918252762,-100.31179876725287,-98.60044680006038,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2187.1491838293805,1.000019391532797
BWS-0.08888888888888889-0.0044444444444444444.csv,-98.44732899813236,-113.94337953826083,-122.15092027377253,-235.30075179915767,-278.1372792410681,-300.63413804278775,-90.30157009738952,-103.11638956326608,-101.26184104976271,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2199.949256769554,1.0058719055029672
BWS-0.05555555555555556-0.0077777777777777776.csv,-98.88404566544764,-114.54573026844716,-122.93476142919745,-235.84052413667786,-277.8400880368798,-300.690430406909,-90.35839369602847,-103.61832832281026,-101.92284402326878,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2203.2908041516225,1.0073997446666147
BWS-0.03333333333333333-0.0011111111111111111.csv,-96.79620803136186,-108.81133623813864,-121.5559080467758,-233.8837031392458,-279.31596320178767,-301.3234217504446,-90.3000918252762,-100.31179876725287,-98.60044680006038,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2187.5545359663,1.0002047286832374
BWS-0.011111111111111112-0.0.csv,-96.79620803136186,-108.81133623813864,-121.5559080467758,-232.35670958126295,-286.1116368914514,-316.7058497957753,-90.3000918252762,-100.31179876725287,-98.60044680006038,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2208.2056441433115,1.009646932619914
BWS-0.08888888888888889-0.008888888888888889.csv,-98.96837445797094,-114.74125525996487,-123.04045844431708,-236.01916290267846,-277.883133468129,-300.7843291663931,-90.36157127919044,-103.75052129862533,-102.02754351557768,-91.80506274373782,-110.96504707050572,-101.83559073510744,-63.64612296747838,-64.0889722548574,-63.714625811503744,-58.59868254472143,-52.19543886614584,-58.75621889927031,-30.89103351307544,-29.356435393298288,-30.80242736625446,-2204.232007958803,1.0078300866229495
