,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,sum,norm,aic,bic,r_aic,r_bic
CMLE.csv,-95.72048588277832,-114.25370045110053,-124.55460497712332,-232.1859631946745,-286.88258335684094,-315.44868571108134,-95.40989115785926,-110.76884982546946,-110.40185559760921,-84.83727921582168,-101.05587909459287,-91.16927326081259,-63.1450145989779,-67.41229172744453,-64.51236115435256,-58.81466261855299,-53.85266187541096,-58.91663746424262,-30.80209160801047,-29.964176159367064,-31.853939760293684,-2221.9628886924165,-50.45795692183128,4443.925777384833,4443.925777384833,1.022294845626302,1.020259937806967
BWS-0.02-0.000303.csv,-97.24552513996973,-109.90744734504915,-119.99432800169355,-233.11876085985898,-279.3698133867419,-299.8515576104725,-94.50416983305146,-103.7686528071584,-102.29537313823525,-85.13260735466564,-102.26356950166418,-91.86205173404487,-63.683059343014506,-64.08717993403906,-63.70463884654452,-58.63421303171886,-52.18013910657715,-58.80925934566855,-30.903789236145816,-29.38126164936029,-30.80753456491118,-2171.5049317705852,0.0,4347.0098635411705,4355.679972044167,1.0,1.0
WAM.csv,-95.74541389655931,-123.08189791456043,-134.95572292333208,-231.28052099191527,-306.43456235821344,-359.57928148798896,-95.44707316452026,-125.76794466122998,-130.46317250349068,-85.4328202882371,-110.72601828311286,-96.48077015542208,-64.44461786218255,-70.393865269351,-66.8983506167738,-60.330322689296096,-54.52332603357229,-61.918053442609164,-30.45546599826852,-29.822001799358237,-37.00563926843034,-2371.1868416084244,-199.68190983783916,4742.373683216849,4742.373683216849,1.090950752836251,1.0887791834236165
NWS-53-0.5.csv,-97.2203132559838,-108.49354049030529,-122.13730714215257,-232.22511832454953,-283.6914015525582,-313.5618469620926,-94.50098145256418,-103.00384794393413,-102.4507852228939,-85.1330895041918,-102.26128072477576,-91.85945705070563,-63.691278992145065,-64.07674161266591,-63.701994051018225,-58.63106782905928,-52.18216920574793,-58.808872991645416,-30.890279907376254,-29.391509836341854,-30.808900763651046,-2188.721784816358,-17.21685304577295,4379.443569632716,4383.7786238842145,1.0074611530936635,1.0064510368117934
WTA.csv,-100.24705080639626,-108.3588006073533,-125.90298950852647,-238.3255312623956,-281.6236706459965,-337.70280666876505,-94.52877664340107,-101.55476206977679,-102.55687597534883,-85.13287290230208,-102.26112048675662,-91.85924305076568,-63.703332227408715,-64.06894598368329,-63.7161611734888,-58.62295824683285,-52.17172329173768,-58.82520132090046,-30.895866986490375,-29.383225670401284,-30.796147982782934,-2222.238063511511,-50.73313174092573,4444.476127023022,4444.476127023022,1.0224214498106643,1.0203862899819938
