1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40721,40169,40744,38859,38485,38302,29888,19824,6594,51644,42279,29300,50172,34675,15572,48002,27597,7127,41306,19767,2583
40430,40519,40562,38547,38319,38060,29987,21294,7349,50285,44481,30396,49337,37393,17201,47039,30824,8425,40800,22143,3071
39245,39452,39377,37696,37930,37702,29460,22898,8226,48681,45881,31779,47979,40388,18662,45692,33568,9633,39823,24814,3844
38340,38406,38063,36966,36796,36723,29052,23980,9084,46117,46807,32913,45592,42822,20263,43278,36280,11088,38338,27724,4598
36580,36581,36197,35226,35127,34706,28328,25487,9786,42479,46333,33504,41973,43602,22017,40775,39085,12713,36684,30043,5454
34383,34283,34458,33388,33367,33650,27603,26568,10933,38672,45315,34193,38756,44700,23756,37641,41104,14749,34952,32037,6874
32120,32401,32106,31418,31838,31093,26593,27598,12249,35177,44360,34302,34950,45167,25461,34217,42333,16530,32375,34538,7874
29871,30057,30368,29162,29697,29433,25172,28501,13217,31200,41733,33822,31058,45125,27073,30809,43530,18353,30258,36953,9703
27246,27445,27459,26743,27211,27109,23777,29255,14604,26809,39164,33495,27089,43892,28238,27357,44126,20445,27266,38490,11164
24960,25232,24960,24422,25020,24987,22590,29753,15871,23207,36211,32552,23321,42389,29396,23674,43517,22456,25005,39881,12874
22213,22164,22325,22484,22664,22714,21217,30111,17357,19545,32793,31511,19685,40207,30429,20347,42906,24671,22239,40738,15323
19648,19997,19994,19952,20201,20373,19849,30061,18690,16389,29468,30004,16744,37012,31101,17122,41211,26660,19685,41249,17395
17410,17571,17454,17893,18061,18319,18573,29993,20149,13569,25722,28488,13649,33873,31629,14746,39666,28360,17246,41354,19699
15202,15392,15221,15550,16032,16210,16881,29859,21553,11114,22275,26806,11244,30961,31251,12218,37238,29969,15065,40502,22412
13250,13269,13030,13749,13966,14073,15496,29483,22690,8969,19102,24653,9143,27909,31300,10176,34676,31487,13165,39711,24869
11248,11154,11475,11876,12333,12551,14353,28694,23829,7330,15851,22420,7460,24333,30270,8333,31912,32347,11016,38639,27345
9755,9873,9695,10146,10561,10631,13082,28153,25255,5819,13367,20469,6005,21462,29787,6800,29059,33549,9594,37075,30068
8037,8203,8279,8854,9068,9364,11946,27168,26362,4556,11104,18141,4740,18888,28965,5649,26352,33842,8012,34520,32419
6766,6809,7037,7514,7795,7879,10737,26048,27267,3683,9137,16397,3861,15960,26935,4511,23244,33950,6681,32645,34582
5789,5820,5747,6530,6601,6614,9764,24800,28158,2870,7444,14537,3006,13844,25884,3662,20862,33935,5582,29852,36870
