1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40753,40379,40704,39133,38473,37898,30108,19900,6745,49540,39821,27416,48275,33651,17524,46695,28281,10319,41301,19765,2578
40621,40471,40499,38800,38415,37864,30010,21491,7501,48360,41572,28547,47363,35988,18750,45903,31313,11369,40786,22130,3075
39421,39640,39323,37862,38030,37465,29537,23011,8375,46853,42863,29419,46141,38345,19648,44197,33710,12317,39834,24827,3847
38413,38458,38084,37183,36910,36662,29176,24119,9269,44505,43767,29708,43431,40045,20642,42190,35611,13394,38344,27723,4594
36580,36660,36115,35304,35394,34519,28460,25656,9939,41760,43623,30271,40809,41028,22224,40128,38228,14750,36716,30032,5454
34303,34495,34434,33327,33722,33638,27737,26777,11176,38215,43021,30609,37614,42043,23228,37045,39678,16547,34925,32046,6875
32274,32479,32133,31413,32015,31281,26392,27648,12381,34704,42091,30608,34318,42202,23956,33690,40605,17804,32364,34542,7873
29847,30282,30669,29368,30101,29301,25190,28766,13506,30823,40036,30516,31079,41523,25086,30647,41029,19389,30255,36940,9705
27344,27522,27550,26759,27428,27382,23883,29249,14781,26921,38637,29570,26994,41098,26348,27025,41712,20966,27284,38520,11166
24842,25237,24980,24362,25211,25168,22606,29847,16074,23631,35644,29473,23482,39341,26499,23971,41204,22294,25001,39861,12875
22192,22407,22445,22471,22931,23127,21185,30130,17462,20104,32916,28575,20408,37684,27413,20607,40228,24054,22238,40740,15327
19651,20058,20093,20026,20465,20579,19857,30008,18826,17244,29877,27669,17493,35572,27689,17749,38605,25313,19697,41262,17405
17301,17672,17579,17679,18355,18809,18350,29739,20373,14400,26854,26433,14567,32711,27785,15293,37554,26705,17234,41347,19690
15219,15432,15336,15497,16189,16364,16854,29726,21734,11863,23732,25081,12138,30183,27998,12838,35621,27843,15075,40503,22422
13186,13324,13223,13663,14202,14583,15522,29322,22724,9630,20803,23816,10124,27553,28003,10544,33012,28689,13156,39706,24857
11226,11281,11556,11715,12457,12844,14354,28757,23875,8011,18154,22180,8429,24465,27429,9033,30229,29685,11011,38638,27338
9681,9819,9840,10054,10656,10819,13019,28062,25291,6458,15561,20995,6843,22032,27016,7437,27742,30706,9597,37088,30081
8010,8278,8382,8792,9262,9614,11845,27053,26267,5210,13315,19432,5559,19506,26017,6280,25050,30470,8013,34523,32413
6708,6866,7166,7521,7842,8085,10725,25778,27126,4162,11452,17948,4478,16892,25524,4932,22836,30835,6675,32636,34594
5754,5819,5768,6394,6686,6854,9677,24775,27995,3453,9622,16591,3711,14963,24564,4062,20348,30793,5585,29847,36852
4712,4657,4884,5454,5460,5780,8672,23659,28780,2670,7978,15027,3073,12862,23485,3387,17654,30590,4538,27000,38352
3835,3934,3976,4490,4613,4862,7868,22182,28934,2111,6725,13947,2370,11276,22686,2781,15708,30275,3858,24834,39860
3111,3271,3400,3770,3854,4122,7076,20737,29666,1732,5577,12881,1967,9626,21704,2225,13733,29289,3038,22456,40641
2666,2612,2727,3228,3181,3518,6254,19338,29475,1357,4727,11750,1624,8317,20440,1860,12002,28662,2558,19938,41084
2191,2216,2225,2680,2766,2816,5754,18064,29532,1146,3962,10698,1366,7079,19070,1600,10289,27283,2044,17229,40989
