1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40742,40392,40741,39016,38413,37560,30067,20081,6847,48948,39470,27198,47678,33299,17812,46508,28312,10739,41300,19771,2581
40593,40522,40350,38662,38391,37769,30190,21565,7602,48243,41216,28052,46724,35516,18568,45609,31158,11822,40791,22145,3068
39472,39583,39396,37895,38162,37392,29455,23070,8399,46233,42344,28839,45685,38250,20118,44120,33660,12953,39830,24819,3847
38367,38470,37959,37144,36824,36555,29236,24022,9246,44809,43106,29743,43326,39563,20987,42088,35692,13954,38349,27716,4598
36710,36719,36098,35281,35627,34525,28343,25600,10068,41491,43394,29784,40485,40716,22034,39698,38116,15251,36694,30040,5455
34340,34454,34526,33569,33666,33631,27632,26728,11233,37743,42785,30250,37689,41662,22936,36742,39274,16619,34937,32071,6869
32227,32620,32063,31441,31992,31005,26506,27716,12551,34642,41647,30147,34072,41686,24049,33754,40156,17924,32370,34520,7877
29798,30187,30572,29233,30015,29348,25178,28751,13538,30737,39915,29995,30773,41004,25044,30500,41001,19266,30266,36928,9706
27276,27604,27565,26775,27539,27488,23802,29175,14761,27183,37972,29510,27066,40416,25334,27128,41091,20922,27281,38515,11166
25013,25309,25181,24466,25491,25265,22467,29849,16121,23596,35907,28647,23845,39022,25977,24122,41019,22041,24991,39876,12876
22088,22318,22491,22411,22839,23123,21375,30051,17537,20393,32803,27766,20606,37372,26514,20861,40091,23887,22233,40749,15332
19777,20213,20078,19847,20531,20764,19768,29911,18815,17368,29872,26836,17666,35192,27189,17969,38252,25257,19685,41249,17395
17315,17791,17617,17653,18354,18706,18571,30011,20434,14540,26849,25935,14940,32558,27340,15065,37147,26314,17248,41345,19695
15081,15368,15477,15581,16298,16496,16827,29634,21673,11970,24115,25008,12305,30106,27539,12794,34920,27169,15075,40536,22422
13110,13338,13255,13538,14307,14633,15401,29301,22810,9801,21029,23466,10249,27206,27170,10819,32686,28185,13164,39688,24862
11251,11314,11585,11782,12477,12950,14343,28655,23808,8053,18163,22247,8536,24814,27010,9160,29724,29192,11006,38654,27339
9695,9923,9863,10048,10771,10920,12964,27925,25201,6619,15714,20650,7109,22115,26372,7478,27663,29816,9592,37060,30075
7998,8187,8447,8797,9254,9744,11872,27086,26263,5262,13588,19395,5690,19516,25736,6069,25048,29962,8019,34526,32395
6745,6878,7163,7432,7909,8201,10703,25612,27203,4394,11685,17972,4548,17005,25224,5082,22509,30389,6675,32637,34618
5716,5842,5790,6510,6757,6991,9714,24602,27927,3378,9904,16820,3770,14983,24343,4280,20035,30587,5579,29840,36853
4734,4665,4931,5323,5495,5859,8666,23670,28729,2780,8315,15521,3001,13350,23644,3504,17808,29986,4538,27010,38351
3814,3909,4004,4622,4650,4887,7847,22060,28896,2137,7116,14357,2542,11337,22775,2820,15595,29689,3857,24822,39849
3099,3295,3442,3695,3935,4281,7058,20833,29560,1816,5886,13125,2106,9762,21629,2294,13742,28936,3043,22453,40631
2640,2640,2742,3188,3189,3508,6329,19306,29394,1452,5055,12404,1698,8482,20527,1864,11918,27899,2555,19933,41100
2174,2227,2266,2701,2839,2902,5794,18156,29377,1143,4204,11177,1292,7314,19129,1604,10191,27345,2048,17254,40991
1678,1776,1827,2208,2285,2474,5253,16460,29337,934,3550,10225,1194,6106,18410,1293,9056,26055,1711,15252,40847
1429,1456,1522,1913,1987,2069,4744,15291,28990,793,3050,9573,952,5292,17268,1088,7883,24896,1393,12992,39821
1198,1144,1231,1603,1610,1793,4296,13943,28391,674,2505,8617,803,4474,16081,921,6761,23525,1133,11364,38251
926,904,1073,1348,1355,1454,3973,12736,27293,557,2176,7977,710,3819,15177,813,5742,22177,943,9491,36816
