1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40571,40289,40771,38791,38407,37974,29984,19787,6621,48487,39460,28404,47912,33226,17343,46242,27520,9795,41306,19759,2579
40376,40444,40563,38619,38238,38061,29973,21551,7385,47981,41500,29293,46512,35802,18709,45196,30497,10826,40790,22139,3070
39323,39340,39396,37581,37842,37606,29366,22801,8249,46524,42821,29717,45375,37901,19857,43860,33198,11926,39819,24831,3847
38316,38488,37984,36972,36675,36619,29135,23999,9204,44104,43089,30559,43600,39489,20865,42025,35291,13211,38353,27714,4599
36584,36499,36178,35042,35219,34659,28291,25375,9851,41363,43142,30596,40417,40373,21574,39596,36866,14377,36686,30038,5455
34320,34265,34489,33489,33373,33681,27626,26578,10958,37967,42841,30968,37358,41971,23055,36817,38791,15907,34942,32044,6870
32121,32399,31936,31383,31910,30754,26488,27576,12382,34695,41171,30676,34320,41628,23709,33627,39783,17108,32374,34531,7872
29875,30083,30386,29113,29617,29308,25207,28685,13329,30939,39594,30249,30929,41469,24518,30653,40860,18617,30251,36943,9709
27319,27389,27431,26872,27395,27155,23746,29214,14547,27315,37371,29799,27090,40111,25551,27278,41080,20119,27280,38502,11161
24870,25160,24954,24609,25091,25015,22612,29624,15910,23563,35347,28682,23643,38852,25935,24184,41177,21494,24996,39875,12866
22338,22220,22349,22338,22670,22775,21221,30162,17469,20519,32267,27961,20415,37596,26594,20830,40477,23227,22246,40731,15326
19615,20024,20007,19919,20200,20417,19781,29911,18701,17093,29327,26947,17484,35164,27070,17789,38933,24773,19684,41258,17399
17428,17616,17449,17887,18136,18480,18451,29884,20302,14469,26241,25454,15069,32853,27236,15413,37315,25961,17242,41347,19698
15155,15390,15295,15558,16092,16148,17042,29662,21442,12263,23089,24158,12296,30155,27313,12998,35857,26991,15071,40514,22405
13209,13263,13033,13746,14087,14403,15463,29525,22696,9886,20280,22834,10404,27784,27307,10881,33401,28277,13164,39704,24870
11316,11231,11463,11804,12318,12537,14446,28827,23850,8123,17734,21766,8472,24986,26713,9074,30912,29025,11015,38640,27336
9755,9863,9686,10190,10583,10649,12990,28017,25121,6591,15168,20101,7038,22024,26733,7564,28561,29907,9594,37072,30076
8048,8200,8281,8880,9215,9427,11921,27156,26347,5459,13162,18286,5744,19751,26037,6234,25995,30610,8017,34522,32413
6783,6858,7087,7576,7774,8030,10737,25960,27136,4265,10938,17018,4686,17223,25331,5194,23354,31188,6677,32642,34595
5777,5786,5733,6516,6669,6674,9823,24825,27990,3542,9677,15692,3793,15176,24557,4192,21007,31094,5578,29854,36848
4753,4659,4816,5429,5392,5643,8619,23875,28918,2743,8027,14693,3170,13052,23905,3466,18430,30978,4540,27007,38361
3847,3893,3947,4630,4662,4742,7975,22244,29260,2210,6595,13298,2545,11520,22769,2910,16324,30488,3857,24829,39852
3158,3304,3333,3792,3855,4060,7049,21001,29696,1780,5593,12231,1999,9792,22030,2335,14385,30589,3042,22461,40632
2655,2649,2723,3261,3212,3409,6309,19546,29613,1494,4682,11244,1635,8584,20578,1932,12513,29301,2559,19936,41102
2221,2220,2216,2733,2759,2757,5785,18163,29676,1165,3971,10494,1397,7330,19639,1674,10978,28235,2043,17241,40988
1708,1777,1790,2233,2302,2306,5258,16877,29582,935,3329,9466,1168,6312,18475,1261,9583,27693,1716,15260,40834
1440,1448,1490,1916,1931,1952,4744,15402,29380,777,2779,8467,958,5380,17494,1132,8150,26253,1388,12991,39837
1192,1127,1206,1674,1517,1640,4408,14130,28521,649,2371,8091,831,4617,16100,972,7007,24931,1135,11372,38264
910,913,1049,1355,1368,1399,3933,12812,27786,561,1914,7170,715,3928,15248,775,6104,23335,945,9484,36802
826,842,849,1139,1127,1230,3670,11714,27121,484,1667,6704,593,3346,13915,671,5201,22332,773,8054,34489
686,677,661,976,951,1054,3314,10836,25677,410,1426,6197,535,2941,13310,553,4295,20488,649,6730,32596
598,616,599,823,818,872,3093,9615,24559,382,1249,5758,526,2442,12165,510,3686,18844,535,5621,30059
488,529,556,764,811,804,2847,8938,23699,314,1064,5264,464,2220,11282,493,3075,17175,488,4532,27670
488,486,468,743,751,760,2821,8001,22284,305,993,4904,404,1852,10325,458,2822,15911,423,3861,25057
422,435,450,680,641,659,2760,6914,20863,301,871,4466,405,1590,9350,407,2317,14364,384,3087,22304
436,405,453,624,709,671,2728,6405,19477,268,805,4180,387,1427,8648,427,1994,12986,384,2656,19607
415,443,386,642,644,672,2752,5842,18366,261,744,3814,403,1284,7852,451,1738,11738,389,2017,17428
435,412,420,683,677,728,2648,5304,16808,307,713,3638,402,1184,7333,380,1508,10421,369,1664,15245
482,473,516,674,747,770,2920,4744,15448,295,674,3460,422,1062,6548,489,1322,9610,464,1377,12924
522,524,512,784,817,825,2979,4316,14223,342,650,3306,422,1027,6207,451,1152,8557,476,1145,11163
621,576,640,853,851,929,3103,3982,12973,340,663,3187,496,1026,5724,512,1070,7755,536,884,9375
686,674,729,1008,972,1113,3339,3683,12088,446,693,3042,537,944,5106,591,949,7012,644,698,8067
881,847,836,1173,1244,1266,3600,3389,10970,479,764,2990,623,1015,4851,701,905,6132,776,616,6767
990,1061,1025,1373,1341,1471,3923,3069,9904,578,781,3008,726,925,4626,810,881,5648,952,565,5541
1251,1223,1177,1633,1640,1707,4296,2962,9001,628,881,2924,771,948,4421,975,826,5053,1189,483,4717
1467,1423,1512,1800,1998,1984,4686,2941,8154,765,998,3017,967,1053,4245,1082,885,4549,1403,408,3757
1729,1794,1798,2280,2251,2435,5283,2893,7248,1023,1136,3168,1178,1073,4025,1304,888,4104,1682,409,3072
2210,2162,2083,2610,2767,2824,5721,2692,6398,1148,1318,3247,1391,1153,4044,1602,961,3909,2019,383,2579
2705,2673,2612,3198,3301,3202,6483,2766,5880,1460,1414,3428,1706,1266,3938,1913,981,3533,2660,364,2110
3214,3221,3308,3839,3853,3924,7068,2764,5316,1794,1856,3666,2026,1497,3860,2341,1040,3430,2965,390,1662
3947,4011,3962,4487,4658,4791,7853,2732,4722,2252,2111,4027,2503,1600,3999,2877,1101,3126,3842,444,1422
4690,4746,4687,5407,5454,5702,8730,3023,4397,2784,2440,4377,3114,1837,4026,3455,1205,3158,4712,481,1113
5769,5494,5842,6431,6384,6600,9640,3088,4075,3517,2926,4904,3804,2133,4225,4187,1289,2964,5545,560,936
6798,6887,6707,7424,7540,7836,10850,3338,3639,4388,3453,5309,4714,2429,4383,5071,1602,2991,6794,671,757
8172,8237,8220,8805,8848,9112,12007,3644,3419,5410,4077,6074,5690,2851,4634,6321,1794,2972,8076,760,679
9803,9450,9551,10236,10240,10467,13241,3938,3132,6556,4765,6821,6979,3214,4881,7671,2133,3009,9628,924,561
11573,11078,11297,12062,11800,11988,14549,4375,3097,8158,5725,7459,8577,3932,5333,9005,2469,2948,11077,1131,435
13320,13348,13092,13871,13625,13647,15512,4698,2860,10013,6722,8340,10241,4537,5743,11026,2879,3215,13258,1355,446
15282,15166,15027,15716,15822,15539,17203,5321,2834,12038,8070,9619,12427,5379,6105,13019,3382,3205,15061,1695,419
17560,17488,17514,17799,17650,17864,18346,5828,2791,14405,9148,10485,14898,6303,6568,15438,4048,3309,17545,2064,389
19829,19676,19781,19954,19886,19989,19679,6590,2807,17077,10999,11732,17350,7336,7196,17929,4657,3624,19608,2586,394
22047,22261,22483,22529,22096,21998,21236,7409,2757,20425,12926,13096,20371,8489,7642,21179,5460,3906,22272,3072,403
24967,24784,24827,24684,24253,24368,22775,7979,2990,23598,14913,14266,23577,9872,8389,23853,6420,4150,24951,3794,417
27408,27188,27360,26949,26542,26485,23866,8815,3054,27057,16885,15632,27220,11634,9048,27319,7862,4389,27506,4638,510
29964,29737,29707,29364,28636,28579,25203,9829,3233,31009,19327,17520,30873,13354,9784,30798,9346,4867,29824,5738,552
32149,32343,32233,31507,30368,30595,26498,10824,3435,34416,22134,18731,34159,15330,10665,33594,10737,5135,32405,6688,667
34651,34671,34369,33393,32556,32811,27494,12108,3743,38238,24630,20543,37257,17502,11542,36490,12759,5781,34741,7946,766
36433,36138,36117,35276,34645,34538,28190,13416,4057,41244,27427,21989,40240,20085,12501,39603,14635,6189,36922,9691,969
