1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40752,40363,40621,39139,38323,37786,30211,20057,6775,49099,39665,27497,47757,33451,17665,46040,28224,10346,41289,19768,2575
40531,40429,40419,38953,38466,37832,29897,21476,7603,48446,41198,28467,46691,35797,18597,45911,31122,11622,40794,22131,3075
39438,39601,39378,37719,38045,37224,29579,22879,8325,46384,42604,29018,45482,38058,19977,44157,33516,12574,39822,24847,3842
38439,38492,37757,37012,36865,36407,29208,24178,9294,44354,42853,29800,43587,39863,20773,42191,35465,13789,38350,27700,4596
36742,36579,36418,35253,35518,34754,28328,25582,9985,41697,43022,29906,40533,40686,21897,39821,37718,14914,36704,30050,5460
34237,34536,34527,33388,33598,33601,27714,26579,11192,38151,42993,30358,37606,41681,22748,36976,39444,16667,34934,32040,6872
32267,32387,32114,31490,32023,31142,26557,27728,12426,34502,41263,30381,34135,41231,24021,33700,40443,17921,32386,34533,7874
29815,30259,30417,29239,29989,29346,25148,28844,13474,30807,40157,29857,30709,41480,24874,30145,41089,19397,30259,36948,9706
27292,27627,27432,26880,27557,27411,23723,29178,14645,27194,38025,29445,27112,40538,25773,27126,40908,20899,27271,38515,11163
24928,25241,25077,24385,25317,25085,22735,29733,16165,23661,35275,28853,23756,39157,26156,24184,40489,22007,25002,39871,12876
22217,22307,22472,22275,22943,23139,21200,30052,17514,20259,32666,28259,20603,37212,26662,20833,40006,23587,22225,40745,15329
19664,20062,20111,19890,20240,20662,19816,30140,18771,17101,29678,26816,17827,35370,27014,18086,38724,24902,19689,41248,17383
17362,17789,17630,17758,18345,18500,18595,29721,20412,14285,26949,25991,14813,32727,27044,15105,36860,26148,17252,41337,19708
15151,15465,15405,15563,16292,16475,16704,29921,21614,12131,23910,24601,12486,29960,27477,13050,35198,27250,15058,40513,22422
13062,13278,13178,13625,14214,14556,15520,29114,22706,10141,21081,23540,10301,27376,27423,10800,33138,28124,13166,39711,24843
11300,11341,11525,11686,12344,12853,14332,28656,23886,7965,18266,22357,8523,24757,26818,9042,30177,29451,11013,38636,27353
9682,9821,9830,10199,10841,10950,13036,27973,25237,6543,15750,20581,7059,21955,26172,7522,27794,29925,9588,37069,30078
8046,8211,8343,8783,9263,9622,11897,27073,26283,5318,13745,19108,5611,19386,25850,6117,25158,30249,8023,34524,32404
6730,6927,7116,7458,7798,8235,10690,25844,27163,4264,11410,17908,4628,17055,25342,5178,22667,30707,6685,32634,34601
5745,5777,5865,6519,6766,6874,9715,24622,28030,3497,9688,16680,3824,15048,24377,4101,20172,30673,5571,29860,36851
4693,4698,4860,5307,5439,5894,8642,23694,28693,2795,8289,15315,2999,13282,23746,3425,17773,30376,4536,26998,38349
3883,3879,3997,4594,4610,4818,7840,22003,29115,2179,6847,13926,2518,11404,22666,2848,15799,29844,3861,24833,39869
3083,3304,3385,3725,3901,4151,7017,20821,29596,1738,5729,13017,2041,9905,21766,2264,13859,29152,3044,22460,40624
2681,2610,2768,3291,3239,3539,6318,19277,29481,1452,4950,12050,1684,8343,20525,1854,11798,28368,2558,19934,41120
2192,2236,2256,2668,2821,2841,5820,18200,29606,1116,4132,10970,1335,7224,19369,1565,10452,27406,2043,17246,40980
1662,1782,1831,2239,2282,2481,5209,16595,29489,928,3457,9936,1203,6234,18306,1353,9117,26259,1713,15258,40827
1447,1451,1517,1909,1956,1988,4688,15257,28977,808,3007,9159,984,5297,17289,1091,7821,25017,1390,12984,39834
1187,1123,1227,1659,1585,1757,4352,14098,28175,607,2462,8527,848,4509,16053,920,6834,23737,1134,11370,38248
919,924,1059,1344,1350,1439,3945,12699,27707,553,2108,7890,741,3865,15030,795,5794,22387,945,9486,36809
831,820,843,1136,1156,1275,3694,11664,26735,486,1748,7162,600,3367,13816,650,4986,20968,772,8061,34484
667,695,704,974,985,1147,3291,10793,25593,420,1521,6574,529,2741,12957,541,4180,19577,649,6723,32588
580,637,613,827,821,932,3044,9482,24246,351,1375,6024,449,2457,11992,488,3467,17948,535,5618,30065
504,518,550,782,827,856,2892,8939,23364,299,1195,5815,436,2090,10921,506,3080,16353,488,4533,27662
488,476,490,735,778,793,2831,8009,22167,289,1038,5205,417,1871,10127,439,2590,15492,423,3860,25058
420,445,460,665,656,711,2730,6876,20664,299,951,4818,406,1623,9320,439,2271,13819,383,3085,22314
434,404,465,635,682,720,2754,6375,19340,298,844,4552,414,1481,8632,449,1925,12679,385,2656,19605
410,451,412,647,662,714,2767,5860,18176,289,795,4233,392,1350,7965,420,1683,11471,389,2019,17431
444,415,437,667,694,749,2631,5214,16794,293,703,3771,404,1182,7351,430,1508,10245,368,1665,15245
471,472,535,719,783,798,2847,4809,15464,331,696,3604,412,1066,6428,407,1338,9156,466,1376,12917
534,529,524,789,819,871,2971,4285,14133,322,710,3618,461,1072,6087,510,1166,8267,475,1145,11158
609,578,636,860,878,1002,3123,3960,12986,362,731,3365,462,967,5666,540,1145,7645,537,885,9386
687,681,759,1003,976,1149,3401,3628,11956,357,708,3191,507,945,5308,643,966,6682,643,697,8065
883,860,841,1171,1269,1327,3561,3418,10912,455,750,3243,604,996,4866,716,967,6063,777,616,6765
996,1057,1065,1332,1397,1551,3867,3164,9833,487,779,3140,682,915,4522,798,935,5577,950,566,5545
1230,1239,1229,1609,1627,1712,4347,3034,8964,657,869,3123,802,971,4363,910,885,5095,1191,482,4708
1489,1412,1497,1858,1981,2070,4705,2925,8208,766,1014,3131,965,1030,4231,1101,916,4525,1401,407,3761
1724,1802,1816,2208,2298,2507,5268,2908,7198,967,1114,3193,1173,1148,4101,1314,943,4265,1679,410,3071
2159,2172,2117,2619,2719,2891,5741,2722,6448,1180,1252,3350,1468,1187,3980,1589,995,3899,2022,383,2582
2670,2710,2629,3194,3297,3236,6392,2835,5939,1492,1425,3507,1657,1296,3947,1902,1043,3743,2662,364,2107
3203,3172,3346,3821,3804,4031,7054,2770,5316,1791,1738,3658,1966,1545,3954,2401,1124,3433,2962,388,1663
3913,3964,3979,4471,4642,4786,7848,2757,4909,2222,2069,3930,2568,1582,3987,2898,1182,3244,3845,445,1423
4712,4742,4779,5303,5352,5784,8711,2970,4506,2784,2350,4523,3131,1827,4128,3410,1282,3246,4706,482,1114
5700,5525,5781,6360,6396,6583,9547,3121,4022,3505,2845,4852,3754,2127,4218,4085,1445,3206,5543,558,934
6774,6802,6795,7318,7458,7909,10817,3405,3709,4381,3422,5290,4632,2491,4397,5103,1789,3173,6798,674,757
8130,8176,8202,8736,8800,9042,11993,3686,3471,5230,3966,5820,5712,2872,4601,6389,1907,3113,8076,758,678
9756,9370,9543,10205,10066,10439,13073,3978,3197,6606,4681,6649,6945,3328,5029,7535,2226,3322,9625,924,562
11460,10991,11314,11876,11673,11954,14459,4358,3128,7948,5426,7270,8405,3891,5409,9007,2572,3350,11083,1131,436
13247,13296,13026,13776,13488,13538,15625,4766,2990,9780,6607,8183,10321,4589,5693,10985,3118,3413,13259,1355,445
15224,15067,15019,15869,15613,15496,16982,5426,2878,11737,7674,9145,12452,5199,6150,12836,3536,3680,15056,1695,420
