1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40775,40283,40690,39035,38618,38033,29993,20087,6660,50490,41219,28124,49479,34301,16427,47588,27930,8659,41300,19760,2578
40461,40408,40486,38745,38327,38029,29941,21327,7355,49791,43341,29212,48709,37024,17742,46748,31154,9796,40786,22134,3073
39469,39515,39475,37763,37914,37697,29542,22842,8270,47980,44499,30652,46616,39503,19398,45339,34182,11062,39842,24830,3844
38209,38593,38033,36986,37136,36675,29048,24100,9129,45411,45549,31060,44948,41955,20700,43205,36338,12423,38340,27715,4602
36622,36560,36254,35507,35406,34810,28564,25465,9975,42244,45748,32007,41836,43326,21913,40580,38914,13880,36691,30036,5456
34431,34358,34389,33375,33519,33721,27734,26812,11045,38644,44529,32618,38393,43742,23613,37731,40487,15642,34941,32048,6868
32179,32507,32217,31424,31875,31239,26435,27531,12208,34808,43455,32600,34706,43958,24843,34029,42041,17454,32393,34542,7871
29876,30071,30460,29180,29678,29301,25317,28746,13317,30895,42063,32839,30824,43560,26432,30608,43205,19469,30240,36949,9713
27186,27539,27503,26887,27617,27212,23738,29305,14725,27107,39024,32055,27076,42664,27764,27099,43264,20955,27285,38493,11160
24962,25256,24975,24410,25038,25258,22547,29644,15963,23226,36429,31255,23277,41042,28164,24032,42514,22717,24992,39874,12874
22219,22258,22461,22415,22828,22776,21146,30213,17410,19974,32995,30625,19987,39321,29563,20308,41861,24702,22240,40742,15335
19646,20073,19990,19934,20259,20559,19912,30122,18633,16472,29738,29372,16692,36388,29797,17382,40610,26491,19680,41257,17388
17378,17632,17578,17749,18199,18579,18369,29945,20433,13936,26455,27833,14088,33716,29905,14706,38345,28135,17243,41352,19695
15172,15367,15246,15502,16178,16331,16870,29948,21422,11216,23324,26569,11561,30254,30104,12300,36156,29147,15067,40512,22418
13164,13248,13101,13719,13967,14238,15701,29461,22864,9367,19721,24808,9621,27774,29889,10360,33819,30466,13164,39696,24871
11256,11265,11487,11723,12388,12674,14350,28766,23873,7429,17138,22587,7834,24333,29058,8440,31280,31353,11013,38655,27337
9738,9857,9732,10172,10591,10789,13075,27935,25160,5896,14494,20837,6419,21770,28537,7086,28223,32094,9599,37063,30069
8033,8173,8347,8874,9094,9398,11830,27293,26413,4840,12006,19036,5194,18765,27222,5786,25323,32610,8015,34531,32410
6740,6848,7108,7422,7775,8054,10741,25900,27244,3766,9956,17517,4018,16420,26379,4628,22723,32714,6676,32643,34605
5772,5819,5792,6499,6622,6670,9697,24741,28158,3093,8375,15700,3289,14036,25401,3782,20523,32287,5580,29841,36852
4691,4636,4805,5342,5381,5652,8589,23796,28947,2447,6805,14086,2607,12140,24228,3192,17847,32167,4534,27003,38342
3858,3891,3933,4625,4569,4670,7868,22310,29151,2083,5720,12467,2198,10346,22595,2538,15786,31460,3862,24832,39869
3103,3298,3324,3774,3862,4040,7037,20863,29765,1558,4713,10893,1790,8748,21684,2112,13654,30274,3041,22454,40640
2689,2613,2715,3176,3171,3340,6295,19531,29656,1290,3779,9888,1394,7577,19805,1695,11791,29343,2557,19925,41101
2192,2225,2213,2756,2706,2666,5778,18271,29757,981,3155,8870,1183,6322,18413,1412,10047,28085,2044,17252,40975
1661,1771,1792,2204,2251,2352,5258,16650,29694,800,2549,7860,1017,5624,17174,1235,8781,27034,1713,15252,40853
1439,1429,1485,1928,1917,1916,4716,15334,29121,706,2104,6897,887,4662,16169,923,7735,25404,1392,12995,39809
1189,1112,1193,1644,1517,1610,4395,14155,28630,563,1831,6219,735,3960,14444,803,6596,24092,1133,11369,38266
927,917,1043,1317,1344,1347,3872,12817,27757,473,1530,5475,639,3473,13608,735,5551,22405,946,9480,36798
829,821,837,1108,1092,1178,3634,11703,26988,473,1282,5307,576,2928,12711,643,4919,21070,771,8058,34495
667,692,668,973,935,1030,3281,10771,25747,366,1203,4816,501,2572,11809,531,4170,19854,649,6726,32590
580,609,601,831,829,846,3070,9549,24493,350,996,4369,458,2335,10819,506,3659,18004,535,5618,30062
496,521,539,767,798,773,2840,8949,23667,305,925,4085,420,2012,10034,469,3059,16512,488,4530,27664
482,474,475,732,735,734,2822,7939,22228,300,806,3850,445,1816,9351,434,2647,15572,423,3867,25056
433,440,446,638,614,616,2692,6921,20872,272,830,3535,396,1522,8782,424,2418,14208,384,3086,22312
430,405,444,638,700,635,2715,6455,19611,302,743,3359,381,1486,7937,410,2026,12864,384,2654,19603
410,431,387,639,631,640,2770,5834,18197,274,744,3362,368,1392,7396,382,1736,11694,389,2018,17428
441,408,428,667,677,690,2625,5235,16811,281,702,3111,390,1268,7035,411,1506,10441,369,1661,15239
479,472,499,693,741,737,2870,4737,15564,285,701,3089,428,1247,6632,428,1398,9730,464,1378,12924
529,520,522,784,782,831,2984,4266,14157,326,684,2962,424,1097,6169,480,1265,8799,476,1147,11161
599,585,634,822,862,902,3087,3999,13010,331,721,2949,466,1086,5737,540,1150,7973,536,885,9377
686,660,726,1018,939,1070,3373,3577,11946,381,779,2983,490,1050,5610,568,1106,7410,643,697,8069
895,861,811,1139,1226,1228,3526,3442,11006,434,779,3074,543,1034,5298,609,960,6761,778,615,6768
976,1074,1048,1335,1358,1461,3909,3088,9885,481,923,3066,637,983,5128,776,933,5893,949,566,5539
1245,1212,1178,1653,1659,1693,4270,2934,8976,585,958,3259,761,1066,4724,838,842,5410,1192,482,4713
1456,1429,1493,1787,2023,2023,4638,2930,8112,660,1068,3429,860,1052,4717,963,828,5037,1397,408,3758
1725,1784,1785,2209,2207,2404,5340,2840,7291,825,1219,3523,936,1121,4618,1158,870,4639,1687,411,3076
2184,2157,2109,2637,2774,2817,5763,2659,6456,1001,1365,3753,1215,1182,4535,1404,843,4340,2017,382,2576
2695,2665,2638,3159,3264,3224,6287,2798,5811,1265,1546,3911,1423,1343,4534,1707,949,3896,2660,365,2109
3192,3215,3298,3741,3839,3930,7085,2733,5286,1587,1743,4093,1790,1351,4401,2156,975,3585,2965,388,1665
3914,3997,3953,4513,4642,4735,7833,2756,4789,1951,2012,4566,2144,1512,4538,2525,994,3353,3841,445,1420
4724,4727,4741,5260,5461,5796,8623,2971,4398,2472,2369,4792,2634,1711,4555,3094,967,3249,4710,481,1114
5684,5506,5829,6397,6299,6524,9564,3085,4055,3051,2699,5185,3300,1921,4607,3773,1101,3048,5548,559,936
6752,6871,6727,7380,7476,7802,10892,3299,3577,3863,3279,5925,4130,2210,4614,4650,1218,2877,6794,672,758
8158,8183,8196,8681,8792,9111,11976,3633,3473,4875,3868,6526,5134,2401,4774,5757,1392,2796,8073,757,678
9766,9421,9569,10230,10180,10427,13125,3911,3097,5989,4447,7059,6210,2831,4887,7114,1706,2735,9634,927,561
11544,11084,11296,12006,11852,12034,14444,4324,3033,7454,5198,7641,7675,3322,5083,8416,1872,2753,11072,1128,434
13253,13240,13019,13824,13446,13696,15627,4805,2918,9086,6096,8540,9379,3875,5447,10322,2303,2737,13257,1357,448
15239,15140,15060,15736,15677,15608,17146,5213,2813,11309,7404,9469,11649,4495,5772,12401,2688,2738,15055,1695,418
17535,17374,17389,17680,17614,17701,18325,5842,2760,13593,8565,10460,13946,5311,6077,14824,3200,2887,17544,2066,392
19830,19641,19815,19991,19691,20093,19779,6509,2753,16830,10067,11282,16824,6356,6537,17557,3873,2932,19613,2582,390
22025,22218,22350,22508,22087,21821,21125,7355,2749,19648,11936,12110,19695,7456,6875,20597,4659,2969,22267,3078,405
25031,24552,24761,24532,24120,24244,22790,8008,2872,23164,13731,13534,23076,8769,7247,23658,5646,3196,24956,3789,416
27362,27122,27255,26913,26374,26404,23933,8773,3081,27011,16233,14956,27061,10436,7755,27189,6901,3290,27503,4641,511
29909,29753,29678,29451,28684,28484,25296,9840,3187,30969,18577,16393,30508,12441,8238,30906,8146,3621,29823,5736,552
32212,32325,32307,31646,30471,30700,26651,10798,3460,34853,21419,17785,34589,14270,9499,34352,9913,3963,32412,6680,665
34701,34583,34247,33442,32416,32603,27406,12010,3675,38844,23836,19096,38393,16786,10041,37505,11938,4353,34735,7957,768
36485,36161,36055,35245,34498,34395,28370,13350,4024,42543,27079,20786,41739,19274,10884,40380,13942,4867,36915,9684,968
38214,38269,37710,36917,36269,35433,29319,14583,4423,45691,29903,22355,44753,22235,11780,43096,16335,5353,38260,11139,1154
39774,39438,39677,37960,37639,37027,29481,16017,4749,47685,33250,23927,47480,25173,12687,45453,19279,6013,39655,13020,1365
40662,40571,40252,38627,38621,37958,30172,17296,5302,49930,36258,25124,48900,28140,13919,46626,21908,6719,40485,15029,1713
40760,40867,40721,39004,39259,38306,30184,18353,5963,50619,38813,26643,49856,31428,15236,47586,25080,7539,41383,17401,2078
