1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40515,40175,40787,38536,38294,38399,29807,19768,6481,51053,43908,31940,51487,34675,14566,47476,25698,5100,41299,19761,2580
40327,40397,40589,38469,38145,38331,29876,21237,7355,50139,45934,33596,49856,37860,16241,46424,29174,6246,40785,22132,3069
39280,39369,39421,37429,37673,37706,29291,22669,8115,48227,46625,34134,48513,40682,17936,45131,31962,7293,39830,24832,3846
38151,38297,38024,36668,36639,36654,29035,23836,9061,46017,47012,35230,46236,43617,19850,43486,34766,8643,38344,27714,4600
36589,36430,36152,35122,34967,34584,28281,25338,9709,42912,46900,35981,42427,44896,21460,40839,37646,10445,36686,30038,5454
34243,34171,34450,33250,33184,33596,27449,26463,10843,39079,45551,36293,38932,46038,23450,37178,40091,12175,34945,32045,6871
32146,32317,31954,31372,31510,30939,26385,27549,12181,34722,43461,35986,35012,46312,25362,34015,42156,14100,32377,34530,7874
29806,29991,30271,29176,29389,29126,25216,28428,13149,30605,41056,35658,31046,45906,27572,30838,43188,15938,30253,36943,9702
27288,27325,27361,26786,27052,26916,23709,29160,14441,26790,38392,34390,26802,44693,29018,27176,43913,18518,27273,38499,11164
24960,25095,24855,24476,24881,24906,22525,29523,15809,23299,34583,33044,22987,43403,29943,24038,44059,20726,24997,39877,12871
22267,22112,22245,22463,22392,22465,21296,30074,17167,19797,31014,31715,19376,40572,31425,20352,43598,22796,22246,40737,15326
19680,19893,19857,20007,19996,20167,19865,29989,18603,16771,27413,30009,16172,38403,32276,17304,42613,25390,19680,41252,17396
17437,17607,17380,17941,17992,18192,18506,29827,20095,13726,23652,27486,13486,34772,32460,14872,41157,27758,17247,41347,19694
15268,15341,15122,15637,15894,15935,16975,29942,21380,10969,20560,25546,11055,31514,32987,12390,38862,29545,15072,40506,22411
13237,13221,12979,13799,13967,14022,15574,29417,22664,8999,17307,22832,8934,27840,32655,10263,36527,31490,13163,39715,24865
11320,11210,11422,12006,12258,12320,14433,28722,23664,7269,14542,20850,7149,24986,32014,8683,33977,32696,11014,38634,27336
9810,9809,9632,10228,10537,10377,13159,28210,25150,5888,11686,18363,5764,21540,30884,7063,31223,34422,9597,37073,30074
8085,8216,8244,8970,9140,9316,11986,27267,26304,4525,9589,15753,4512,18683,29734,5842,28087,35065,8013,34527,32406
6796,6835,7017,7613,7740,7784,10789,26007,27184,3734,7722,13903,3575,16177,28279,4691,25302,35850,6678,32638,34606
5819,5805,5706,6603,6619,6518,9830,25157,28124,2941,6213,11992,2887,13624,26691,3856,22784,36043,5581,29852,36846
4774,4660,4781,5477,5350,5549,8693,23978,28911,2353,5004,10344,2309,11670,25436,3069,19965,35703,4540,27008,38354
3896,3911,3900,4692,4596,4595,7927,22378,29194,1864,3879,8586,1814,9905,23465,2590,17441,35273,3856,24836,39862
3133,3305,3311,3848,3887,3931,7141,21182,29957,1480,3106,7129,1560,8249,21580,2145,15421,34439,3043,22456,40630
2675,2625,2702,3313,3150,3298,6320,19737,29863,1243,2496,6117,1230,6913,19820,1730,13130,33648,2559,19931,41099
2238,2231,2196,2759,2789,2621,5868,18345,29886,938,1923,5029,1028,6026,18375,1411,11644,32610,2043,17250,40990
1687,1787,1790,2250,2252,2306,5258,16935,29823,806,1647,4213,902,4960,16787,1123,9986,30693,1715,15261,40834
1454,1449,1467,1945,1943,1887,4762,15539,29624,665,1266,3704,689,4268,15506,954,8760,29625,1390,12986,39834
