1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
41131,40355,40319,39285,38496,37573,30303,20367,6926,49381,39435,26350,48061,33750,17593,47077,29039,10956,41311,19756,2580
40576,40616,40395,38983,38555,37593,29956,21679,7709,48636,41061,27634,47203,36009,18420,45986,31755,11842,40819,22138,3078
39632,39755,39300,38136,38042,37077,29688,23087,8566,46821,42540,28506,45616,38635,19704,44452,34142,13213,39820,24839,3849
38534,38554,37861,37322,37123,36251,29423,24247,9435,44651,43527,29352,43817,40200,20969,42858,36628,14295,38364,27721,4593
36826,36984,36360,35413,35774,34463,28467,25692,10190,41965,43601,29764,40886,41114,22351,39946,38066,15808,36677,30058,5457
34325,34687,34378,33550,33933,33624,27622,26985,11407,38373,43477,30238,37571,42082,23310,37095,39922,17135,34951,32035,6874
32378,32661,32383,31633,32288,31368,26521,27900,12617,34418,42107,30242,34200,41962,24496,33981,40913,18576,32403,34554,7879
29780,30444,30595,29098,30191,29528,25309,28811,13626,31247,40950,29856,30756,41851,25254,30355,41514,20130,30260,36980,9707
27295,27841,27860,27066,27953,27652,23858,29403,14928,26973,38710,30111,27364,41102,25997,26916,41377,21733,27266,38482,11151
24952,25450,25150,24348,25765,25541,22591,29793,16251,23461,35980,29308,23628,39244,26850,23808,41058,23007,24992,39884,12890
22100,22551,22597,22302,23461,23192,21110,30321,17805,20049,33524,28690,20356,37577,27420,20712,39926,24205,22252,40761,15343
19617,20311,20496,19788,20645,21035,19876,29960,18821,17154,30651,27930,17519,35287,27382,17961,38704,25973,19668,41233,17397
17216,17783,17801,17644,18486,19108,18400,29923,20551,14305,27043,26835,14597,32841,27761,15042,36670,26955,17246,41387,19703
15111,15690,15644,15313,16482,16759,16760,29643,21779,11756,24150,25575,12161,30368,27856,12868,34735,27969,15069,40496,22388
