1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40633,40193,40773,38682,38292,38286,29928,19799,6624,52795,46256,33169,53764,35811,11825,48664,25222,3872,41291,19759,2580
40389,40389,40621,38581,38151,38189,29816,21226,7284,52186,48145,34862,52228,39759,13890,47706,28951,4823,40792,22143,3072
39297,39455,39379,37400,37896,37799,29397,22757,8134,49764,48948,36579,50682,43205,16140,46187,32565,5917,39826,24819,3846
38241,38412,38009,36892,36743,36656,29064,23930,9030,46873,49560,38042,47718,45857,18765,44016,35183,7376,38346,27717,4598
36637,36485,36200,35165,35096,34656,28269,25401,9796,43643,49304,38780,44443,48603,21549,41355,38623,9047,36693,30045,5456
34209,34243,34402,33267,33324,33681,27579,26571,10924,39324,47515,40005,40081,49688,23932,38291,40724,10866,34944,32044,6872
32218,32349,32123,31519,31617,31008,26469,27548,12155,35375,45191,39271,35890,50262,26645,34440,43378,13285,32380,34533,7873
29803,30019,30310,29174,29517,29223,25194,28550,13231,31026,42466,39009,30911,49766,29555,30578,44987,15372,30249,36942,9702
27299,27386,27438,26796,27124,27066,23739,29167,14466,26783,39238,37708,26548,48531,32020,27007,45458,17984,27277,38503,11165
24939,25190,24892,24406,24927,24907,22554,29615,15844,23101,34769,36132,22415,46552,34234,23673,45777,20237,24999,39874,12873
22268,22140,22260,22553,22582,22671,21309,30156,17301,19262,31313,34337,18739,43800,36207,20258,45635,23340,22239,40745,15329
19664,19986,19939,19917,20078,20152,19800,30021,18573,15691,26875,31487,15338,40033,37702,17129,44138,26139,19682,41248,17389
17443,17564,17420,17959,18064,18281,18561,29870,20228,12855,23134,29107,12351,35975,38597,14499,42230,28469,17244,41349,19697
15181,15385,15213,15511,15946,16075,16905,29828,21467,10417,19303,26167,9861,32475,37937,11784,40113,30790,15069,40517,22416
13208,13211,13009,13798,13943,14071,15494,29470,22622,8299,16034,23251,7629,28224,37653,9825,37208,32989,13165,39700,24869
11346,11236,11411,11921,12312,12444,14477,28891,23815,6713,13130,20073,6100,24445,36634,8217,34641,34705,11016,38649,27336
