1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40661,40175,40801,38924,38596,38085,30027,19999,6654,50770,41683,28279,50077,34591,16109,47876,27700,8301,41299,19761,2581
40460,40507,40433,38786,38236,38094,29931,21418,7351,50160,44029,29809,48867,37136,17447,46699,31071,9420,40783,22138,3072
39465,39512,39497,37743,37982,37724,29472,22822,8258,47891,44951,30736,47201,39756,19291,45619,34284,10640,39830,24826,3846
38363,38427,38148,36936,37030,36757,29232,23987,9056,45853,45581,31955,45187,41802,20468,43245,36439,12002,38364,27711,4596
36525,36603,36100,35322,35178,34726,28400,25566,9892,42628,45937,32525,41648,43350,22223,40442,39067,13527,36683,30052,5455
34414,34437,34469,33383,33438,33785,27569,26564,11018,38424,45149,33180,38143,44240,23820,37608,40912,15582,34942,32041,6872
32138,32399,32178,31533,31929,31101,26498,27701,12259,34733,43242,32983,35027,44491,25020,33996,41925,17314,32376,34548,7872
29908,30125,30331,29153,29759,29305,25210,28689,13265,31021,41887,33375,30622,44086,26488,30608,43203,19005,30256,36937,9711
27250,27462,27560,26799,27440,27280,23787,29317,14631,27120,39427,32477,27268,43193,27605,26929,43189,20922,27274,38508,11164
24927,25210,24957,24438,25189,25189,22673,29809,16000,23321,36261,31730,23392,41314,28926,23890,42740,22786,24999,39868,12868
22271,22259,22396,22503,22613,22825,21180,30096,17545,19756,33252,30921,19871,39309,29533,20454,42097,25018,22248,40738,15332
19644,19989,20035,19890,20241,20369,19875,30102,18525,16515,29382,29415,16623,36813,30433,17509,40869,26457,19668,41260,17396
17328,17605,17477,17812,18215,18585,18470,29867,20312,13810,26328,27956,14226,33829,30399,14589,38719,28172,17249,41355,19695
15171,15440,15262,15516,16040,16196,16817,29815,21600,11059,23023,26562,11441,30485,30651,12350,36657,29721,15073,40497,22411
13176,13319,13130,13705,14064,14299,15585,29387,22738,9088,19618,24595,9577,27650,30302,10161,34196,30490,13162,39707,24884
11323,11154,11427,11795,12354,12701,14289,29080,23950,7378,16905,22757,7633,24414,29518,8576,31342,31574,11016,38639,27329
9720,9886,9772,10159,10615,10497,13124,27881,25173,6067,14281,20684,6201,21475,29036,7109,28520,32613,9589,37082,30070
8018,8147,8281,8822,9123,9426,11892,27279,26346,4715,11699,18865,4891,18794,27672,5609,25506,32866,8013,34511,32414
6705,6875,7096,7425,7700,7998,10760,26019,27256,3803,9825,17294,3968,16480,26750,4584,22770,33053,6681,32642,34599
5793,5817,5731,6539,6565,6661,9759,24869,28111,3004,8117,15298,3282,14069,25439,3731,20723,32934,5586,29853,36852
