1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40759,40289,40278,39141,38451,37439,30147,20246,7018,48326,38238,27089,46911,33014,18454,45447,28604,11813,41314,19758,2578
40485,40537,40209,38594,38301,37426,29994,21669,7688,47122,40219,27605,45843,35126,19232,44842,30890,12753,40772,22140,3066
39540,39512,39221,38055,38123,37035,29551,22925,8555,45739,41034,28226,44640,37052,19808,43765,33213,13623,39851,24834,3850
38473,38444,38054,36924,36928,36246,29129,24165,9449,43835,41969,28569,43114,39167,20920,41671,35793,14810,38334,27725,4597
36547,36689,36100,35454,35595,34383,28505,25760,10356,41106,42075,28886,39997,39489,21932,39620,36898,15985,36688,30042,5455
34407,34531,34428,33462,33739,33444,27593,26740,11372,37958,41578,29132,37336,40582,22586,36459,38260,17000,34954,32056,6870
32250,32638,32151,31441,32278,30933,26648,27693,12637,34229,40949,28877,33937,40478,23441,33225,39580,18058,32370,34541,7884
29823,30421,30485,29135,29861,29465,25109,28627,13603,30771,38975,28377,30746,39859,24225,30201,40159,19516,30260,36925,9706
27346,27697,27586,26927,27786,27202,23774,29277,14986,27099,37076,28281,27220,39417,24513,27215,40368,20708,27293,38516,11160
24763,25456,25201,24288,25441,25363,22501,29596,16310,23784,35290,27734,23692,38492,24997,24119,39846,21637,24991,39874,12882
22240,22465,22587,22267,23211,23259,21212,30007,17607,20492,32580,26780,20977,36268,25669,21118,39074,23073,22245,40747,15324
19538,20291,20213,19872,20703,20700,19775,30051,18823,17614,29911,25661,17976,34292,25874,18054,37362,24310,19680,41246,17411
17358,17825,17736,17813,18549,18948,18585,29781,20477,14661,27051,24902,15310,32372,26027,15370,36171,25303,17242,41345,19682
15148,15603,15498,15359,16526,16713,16762,29580,21538,12380,24516,24109,13019,29644,26095,13043,34394,26487,15072,40531,22421
13110,13420,13391,13689,14305,14774,15442,29239,22700,10331,21761,22856,10611,27184,26052,11154,32129,27215,13151,39683,24866
11224,11363,11723,11749,12811,13074,14180,28495,24008,8448,19005,21836,8897,24814,25847,9433,29524,28029,11022,38655,27348
9662,9916,9925,10064,10864,11234,12946,27567,25103,6945,16700,20593,7207,22166,25539,7787,26995,28608,9585,37068,30086
8012,8330,8523,8827,9361,10041,11859,26978,26189,5509,14351,19380,6076,19876,25212,6516,24681,29268,8020,34535,32390
6724,6858,7302,7388,8036,8436,10831,25551,26965,4446,12289,18295,4981,17314,24822,5342,22433,29278,6665,32636,34615
5772,5856,5984,6458,6895,7204,9684,24344,27708,3609,10816,17106,4010,15406,23816,4417,20091,29563,5585,29835,36844
4677,4732,4961,5318,5662,6094,8606,23468,28392,2970,9087,16288,3174,13595,23196,3610,17860,29041,4540,27011,38372
3786,3967,4165,4544,4839,5181,7876,22035,28893,2407,7913,14983,2703,11880,22649,2966,15705,28827,3857,24822,39859
3135,3367,3456,3815,4063,4486,7004,20572,29251,1979,6597,14245,2172,10320,21814,2512,13524,28507,3039,22446,40628
2661,2650,2849,3281,3387,3757,6229,19213,29276,1675,5629,13171,1774,8874,20726,2035,12040,27652,2562,19940,41092
2176,2269,2393,2653,2875,3120,5808,17941,29121,1270,4798,12360,1467,7776,19835,1685,10364,26843,2041,17232,40971
1694,1840,1910,2188,2427,2716,5231,16437,28954,1040,3967,11352,1238,6456,18602,1412,9043,25720,1713,15268,40824
1447,1435,1558,1943,2056,2299,4732,15139,28824,859,3357,10393,1041,5646,17858,1135,7954,24682,1389,12981,39858
1202,1170,1337,1657,1609,1964,4391,13965,27877,703,2956,9812,815,4817,16376,951,6719,23275,1136,11375,38250
927,929,1173,1346,1459,1697,3938,12650,27201,584,2401,9154,725,4097,15595,805,5706,22083,945,9485,36783
803,857,931,1115,1199,1458,3739,11502,26382,481,2080,8506,668,3524,14397,695,4942,20878,774,8047,34494
698,714,747,962,1052,1336,3347,10705,25304,405,1798,7819,554,2955,13492,603,4046,19431,646,6730,32594
591,632,691,834,890,1116,3072,9471,24060,394,1539,7427,456,2534,12653,523,3546,17863,536,5623,30060
513,560,611,822,900,976,2883,8804,23149,318,1341,6574,461,2150,11429,528,2959,16176,488,4538,27659
487,509,553,752,835,969,2876,7889,21787,287,1185,6022,420,1919,10627,507,2603,14876,424,3857,25048
421,451,534,679,710,890,2822,6905,20468,285,1043,5503,422,1650,9592,448,2246,13575,384,3079,22323
447,437,521,662,732,834,2759,6328,19110,258,917,5191,400,1484,8850,415,1938,12154,385,2655,19604
407,460,473,658,710,870,2768,5871,18029,278,882,4853,412,1236,7990,448,1610,10911,388,2015,17418
457,438,514,700,741,904,2722,5275,16422,309,752,4504,387,1211,7471,443,1475,9873,368,1665,15238
503,496,567,707,809,949,2909,4803,15406,312,703,4114,443,1040,6614,479,1304,8844,465,1377,12933
530,546,591,807,836,1010,2987,4319,13920,343,750,3732,456,1000,6072,496,1164,7913,476,1150,11157
616,598,696,851,959,1115,3141,3995,12872,359,718,3662,460,943,5562,575,1051,7359,536,883,9377
702,714,800,1029,1047,1283,3385,3726,11894,390,707,3367,547,933,5096,626,969,6561,642,696,8066
887,867,911,1154,1234,1429,3656,3507,10901,490,746,3220,677,940,4764,738,935,5834,778,617,6768
981,1072,1105,1348,1392,1691,3933,3151,9844,609,790,3013,743,968,4436,838,997,5299,950,566,5546
1232,1276,1259,1616,1716,1920,4249,3043,8987,648,855,3087,861,940,4175,1006,923,4809,1186,482,4715
1465,1412,1558,1871,2040,2145,4645,2947,8285,789,963,2986,1030,1052,3878,1144,945,4415,1405,406,3752
1704,1791,1880,2238,2259,2616,5228,2926,7255,1058,1095,3104,1265,1098,3761,1346,1028,4010,1685,410,3076
2208,2159,2157,2608,2804,2993,5858,2787,6668,1267,1233,3159,1442,1130,3778,1687,1033,3670,2016,383,2573
2676,2649,2714,3116,3316,3390,6349,2840,5943,1501,1382,3256,1790,1299,3660,2034,1064,3570,2654,365,2117
3191,3231,3406,3809,3759,4089,7042,2837,5518,1949,1679,3409,2197,1518,3676,2449,1238,3496,2972,390,1664
3917,3949,3987,4462,4580,4835,7823,2863,4889,2395,2027,3760,2753,1660,3880,2935,1311,3262,3838,443,1420
4700,4679,4780,5308,5377,5768,8672,3112,4663,2938,2374,4167,3243,1993,3917,3624,1539,3280,4715,479,1113
5653,5462,5809,6315,6222,6639,9483,3250,4186,3624,2707,4488,4234,2286,4105,4367,1667,3137,5541,561,934
6706,6832,6846,7287,7433,7764,10853,3435,3846,4590,3430,5115,4769,2561,4224,5401,1986,3300,6800,672,757
8224,8091,8174,8752,8566,9129,11993,3836,3612,5607,3950,5529,6066,3012,4428,6328,2219,3415,8071,758,682
9686,9325,9493,10220,10030,10363,13152,4077,3413,6804,4777,6282,7377,3670,4911,7831,2557,3500,9633,927,559
11437,10998,11300,11972,11466,11860,14332,4450,3216,8491,5467,7002,8978,4207,5284,9322,3107,3674,11064,1130,436
13147,13103,12946,13542,13342,13389,15635,4886,3104,10285,6618,7955,10654,4930,5901,11262,3632,3872,13260,1356,445
15226,15018,14916,15670,15423,15480,16998,5431,3057,12344,7771,8951,12951,5778,6443,13224,4147,4096,15066,1694,422
17531,17206,17392,17645,17118,17357,18418,5908,3083,14574,9117,10162,15254,6782,7087,15902,4717,4514,17525,2063,388
19759,19487,19572,19876,19172,19535,19539,6789,3000,17405,10653,11267,17899,7870,7551,18258,5794,4739,19621,2580,393
22094,21876,22202,22437,21610,21483,21351,7514,3056,20502,12276,12260,20418,9067,8333,21071,6625,5084,22271,3072,405
24825,24446,24458,24770,23683,23615,22693,8230,3184,23767,14310,13551,23731,10770,9063,23833,7657,5514,24948,3795,417
27410,26920,27015,26785,25892,25916,23979,8951,3338,27268,16646,15098,27080,12250,9915,27117,8967,5879,27506,4649,509
29795,29517,29343,29500,28087,27715,25202,9985,3471,30469,18891,16575,30477,13968,10738,30728,10470,6320,29815,5732,551
32328,31986,31718,31520,29917,29924,26394,11072,3682,34143,20980,18195,33553,16161,11558,33469,12183,6989,32416,6681,667
34810,34478,33980,33552,31907,31850,27623,12274,3943,37795,23636,19456,36993,18273,12437,36036,13982,7467,34718,7954,767
36469,35817,35627,35246,34082,33888,28367,13530,4392,41316,26326,20814,39892,20411,13423,39618,16077,7880,36939,9683,968
38337,38087,37410,36944,35747,34227,29239,14884,4694,43590,29194,22301,42850,23006,14276,41875,18444,8478,38236,11145,1155
39733,39274,39065,38288,37212,36101,29536,16194,5163,45801,31739,23628,44691,25653,15288,43451,20627,9366,39676,13021,1365
40660,40283,39915,38617,38209,37194,30209,17349,5691,47531,34423,24797,46204,27872,16289,44930,23159,10025,40502,15022,1715
41148,40797,40436,39302,38844,37352,30097,18638,6232,48140,36442,26087,46233,30823,17264,45481,25737,11025,41365,17397,2078
