1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40740,40282,40641,38964,38578,37883,30024,20032,6747,49674,40121,27619,48428,33891,17209,46885,28443,9998,41297,19773,2578
40516,40418,40610,38812,38355,37870,30007,21549,7501,48573,41959,28537,47195,36303,18409,45967,31089,11090,40803,22127,3067
39513,39659,39269,37866,38037,37550,29542,23028,8240,47525,43105,29317,45879,38601,19729,44425,33836,12038,39824,24820,3852
38280,38488,38165,37027,36900,36431,29238,24099,9260,44757,43790,30149,43887,39949,20566,42655,35818,13411,38346,27710,4594
36810,36676,36266,35449,35422,34847,28457,25813,9899,41754,43988,30377,41301,41651,21970,40258,38376,14783,36692,30053,5459
34232,34425,34396,33437,33637,33536,27615,26626,11129,38158,43264,31028,37749,42463,23072,37058,39706,16226,34950,32054,6874
32294,32510,32092,31367,32036,31305,26610,27668,12393,34535,42063,30839,34285,42527,24391,33783,41253,17830,32372,34534,7874
29772,30162,30583,29229,29923,29442,25231,28566,13499,31086,40905,30848,30917,42176,25175,30622,41979,19406,30254,36942,9698
27324,27590,27487,26826,27508,27238,23717,29365,14653,27215,38548,30408,27140,41400,26086,27121,42124,20763,27271,38513,11166
24952,25277,25069,24390,25166,25243,22597,29627,16009,23706,35590,29659,23700,39761,27103,23958,41439,22558,24996,39873,12876
22174,22354,22413,22585,22974,22965,21200,30175,17578,20096,32958,28950,20172,38071,27869,20606,40408,23853,22253,40723,15324
19638,20110,20097,19923,20310,20706,19840,30066,18819,17045,30006,27892,17383,35704,27979,17681,39366,25368,19679,41264,17390
17395,17548,17598,17742,18322,18655,18482,29834,20493,14123,26807,26715,14578,33045,28396,15053,37404,26788,17238,41353,19707
15104,15602,15362,15339,16191,16426,16773,30019,21575,11632,23700,25693,12038,29880,28427,12600,35374,27770,15073,40514,22425
13216,13250,13180,13603,14182,14492,15481,29403,22639,9581,20679,24001,10145,27293,28242,10646,33293,29282,13158,39698,24854
11246,11180,11560,11753,12429,12745,14379,28707,23972,7740,17996,22472,8247,25127,27579,8818,30198,30147,11017,38650,27346
9667,9868,9733,10049,10701,10807,13027,27885,25318,6375,15613,20957,6665,21823,27088,7365,27770,30658,9588,37060,30075
