1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
41064,40485,40498,39447,38268,37537,30103,20145,6903,49656,39804,26496,48564,33886,17336,47460,28835,10438,41294,19760,2579
40600,40629,40511,38916,38701,37506,30158,21624,7638,49133,41417,27879,47296,36815,18517,46210,31709,11645,40798,22150,3070
39674,39666,39154,38250,38360,37375,29669,23224,8390,47491,42716,28454,46634,38382,19636,44797,34310,12862,39857,24833,3848
38465,38664,38034,37253,37081,36528,29430,24241,9339,44986,44231,29355,44164,41007,21173,42309,36820,14018,38340,27740,4596
36776,36791,36249,35396,35700,34636,28525,25837,10170,42269,44220,30469,41251,41752,22086,40271,38611,15851,36688,30043,5460
34417,34661,34440,33638,33904,33808,27635,26911,11509,38703,43714,30691,38041,42473,23564,37300,40025,17017,34953,32039,6875
32232,32810,32367,31417,32419,31267,26493,27633,12494,34538,42820,30576,34379,42778,24300,33997,41333,18613,32385,34547,7863
29877,30386,30497,29434,30350,29618,25218,28926,13559,30971,40879,30491,30832,42608,25534,30546,41808,20000,30252,36940,9714
27361,27649,27770,26799,27896,27472,23820,29312,14933,26949,39254,30866,27195,41081,26589,26759,41869,21610,27274,38511,11165
24882,25537,25195,24292,25523,25547,22664,29869,16255,23514,36226,29912,23519,39825,27256,24094,41758,23525,24998,39889,12892
22175,22450,22737,22365,23207,23207,21399,30236,17671,19998,33558,29066,20079,38052,28102,20684,40398,24724,22252,40750,15344
19620,20217,20260,19636,20633,20921,19831,30203,18882,16748,30350,28481,17293,35333,28300,17473,38999,25968,19691,41269,17378
17277,17700,17768,17742,18434,19023,18363,29836,20443,14293,27349,26981,14498,33142,28372,14853,36917,27421,17231,41318,19701
15099,15622,15533,15421,16369,16839,16688,29811,21773,11649,24155,25787,12119,30006,28309,12589,34764,28288,15052,40516,22418
13058,13386,13444,13611,14335,14905,15488,29178,22904,9588,21271,24759,9937,27357,28301,10471,32765,28989,13158,39727,24894
11135,11312,11662,11708,12503,13089,14349,28629,24040,7744,18325,23167,8320,24486,27817,8805,29785,30077,11011,38617,27330
9584,9923,9929,9974,10728,11118,12991,27918,25235,6227,15802,21431,6636,21719,27161,7233,27234,30230,9601,37069,30090
8033,8275,8473,8693,9337,9733,11850,26885,26397,5036,13536,19921,5465,19223,26559,5916,24722,30728,8001,34541,32381
6669,6823,7264,7282,7831,8440,10670,25756,27242,4028,11525,18578,4324,16697,25741,4895,22138,30742,6687,32618,34619
5674,5854,5928,6411,6695,7047,9640,24607,27999,3188,9485,16964,3614,14372,24601,3940,19339,30721,5579,29850,36882
4673,4644,4934,5187,5456,5974,8512,23393,28555,2567,8153,15598,2916,12562,23513,3208,17316,30239,4533,27001,38335
3717,3901,4027,4500,4673,4961,7878,21857,28947,2086,6708,14050,2377,10946,22583,2692,14942,29276,3844,24818,39874
3052,3263,3476,3713,3975,4256,6996,20726,29497,1746,5726,13054,1839,9288,21460,2156,13058,28624,3053,22461,40598
2637,2632,2741,3221,3201,3527,6218,19310,29076,1346,4667,11945,1622,8069,20125,1793,11131,27376,2561,19923,41145
2195,2232,2276,2641,2765,2955,5737,17907,29609,1132,3891,10800,1260,6846,18849,1496,9970,26834,2042,17231,40964
1699,1771,1839,2239,2326,2498,5177,16419,29275,893,3246,9957,1073,5901,17596,1301,8624,25335,1713,15260,40816
1417,1427,1518,1902,1867,2108,4676,15114,28971,755,2898,9133,912,4984,16494,997,7343,23959,1386,12992,39817
1170,1142,1240,1597,1608,1782,4383,13849,27910,583,2351,8285,793,4295,15198,900,6372,22677,1135,11362,38271
915,927,1075,1313,1373,1478,3912,12649,27390,544,1949,7569,701,3709,14274,769,5320,21317,942,9481,36790
832,819,869,1149,1131,1322,3651,11552,26570,455,1726,6888,582,3143,13286,674,4758,20218,773,8050,34480
672,679,701,986,950,1112,3249,10619,25238,421,1497,6381,538,2677,12322,575,3994,18406,651,6732,32568
577,620,625,826,868,935,3078,9395,24224,353,1270,5984,474,2378,11433,525,3379,17255,534,5621,30076
510,520,557,753,825,902,2885,8941,23029,319,1146,5544,445,2056,10606,513,2982,15674,486,4521,27646
460,481,501,733,775,804,2831,7856,21870,269,1006,5022,408,1799,9602,502,2604,14637,428,3867,25065
436,438,465,672,668,730,2736,6907,20476,263,944,4663,395,1657,8747,502,2243,13215,382,3080,22307
440,432,463,660,699,732,2721,6244,19358,275,863,4409,416,1504,8188,396,1947,12100,383,2657,19596
414,419,418,627,698,747,2679,5864,18053,288,775,4089,404,1271,7752,386,1674,10798,391,2022,17427
429,446,461,700,696,741,2678,5208,16741,277,732,3816,375,1248,6988,419,1505,9931,367,1660,15254
472,460,523,683,752,807,2858,4747,15273,311,719,3667,416,1113,6570,461,1332,8973,462,1378,12904
534,537,527,783,843,933,2969,4312,14113,305,743,3524,440,961,6142,490,1230,8160,481,1146,11170
599,593,666,860,871,1015,3143,4037,12897,346,711,3532,441,985,5659,533,1097,7534,534,884,9382
695,687,722,991,977,1162,3308,3673,11973,372,780,3391,513,971,5133,595,1017,6849,644,701,8063
858,869,860,1139,1222,1344,3580,3403,10879,466,760,3322,599,998,5064,643,989,6153,773,617,6766
1001,1068,1114,1344,1412,1577,3944,3159,9876,500,859,3222,654,985,4859,819,937,5628,954,564,5533
1240,1251,1242,1609,1659,1799,4219,3006,9037,629,938,3291,793,986,4662,896,937,5157,1185,479,4720
1430,1406,1536,1797,2000,2128,4646,2957,8115,751,998,3278,923,1011,4429,1016,961,4962,1404,410,3756
1710,1792,1849,2241,2266,2589,5169,2860,7409,945,1136,3421,1155,1115,4313,1218,943,4514,1683,411,3076
2149,2172,2149,2556,2718,2969,5833,2769,6500,1090,1285,3574,1298,1199,4201,1479,1015,4137,2014,382,2569
2669,2643,2659,3074,3322,3404,6305,2790,5989,1391,1487,3735,1573,1282,4083,1792,1117,3977,2661,365,2118
3151,3220,3397,3670,3820,4039,7012,2799,5374,1665,1701,3942,1919,1411,4148,2123,1086,3824,2965,389,1663
3855,3920,3931,4393,4520,4925,7767,2848,4909,2122,1914,4167,2441,1591,4194,2610,1163,3537,3850,444,1421
4682,4728,4872,5266,5357,5810,8631,2990,4417,2613,2299,4660,2898,1888,4191,3270,1253,3453,4694,480,1118
5653,5479,5800,6220,6254,6642,9431,3117,4203,3216,2620,5022,3555,2082,4442,3918,1475,3273,5550,560,936
6587,6766,6825,7303,7345,7947,10804,3320,3768,4047,3178,5424,4554,2406,4443,4911,1602,3270,6790,671,758
8142,8075,8166,8664,8640,9125,11990,3749,3514,5124,3638,5946,5321,2733,4778,5878,1848,3246,8071,757,679
9658,9376,9607,10127,10044,10279,13104,3890,3308,6337,4399,6717,6642,3130,4834,7294,2221,3279,9637,929,561
11501,10847,11259,11817,11471,11972,14325,4424,3130,7717,5274,7347,8126,3630,5339,8786,2418,3403,11059,1125,434
13233,13132,12951,13512,13251,13440,15572,4786,2998,9666,6099,7866,9900,4344,5541,10689,2928,3517,13268,1357,446
15144,14941,14977,15768,15253,15287,17037,5333,2846,11365,7081,8848,12093,5003,6213,12556,3506,3592,15060,1693,421
17471,17080,17270,17554,17214,17598,18273,5759,2850,14105,8540,9977,14601,5990,6520,15097,4089,3892,17517,2061,390
19636,19399,19605,19907,19048,19507,19800,6597,2917,16886,9938,10827,17095,6870,7087,17871,4864,3899,19631,2590,394
21999,22029,22172,22271,21689,21595,21091,7457,2881,20058,11569,11920,20014,7909,7529,20581,5681,4257,22252,3067,401
24880,24445,24511,24591,23664,23572,22821,8015,3052,23395,13594,12953,23589,9733,8113,23588,6757,4484,24948,3793,415
27432,26813,27004,26789,26103,25822,24013,8955,3234,26940,15648,14382,26802,11377,8820,27099,7994,4733,27505,4651,513
30119,29369,29320,29432,28051,27839,25334,10005,3274,30644,18163,15629,30565,13070,9329,30628,9586,5201,29827,5728,551
32253,32154,31926,31723,29929,30065,26492,10893,3558,34715,20806,17131,34229,15236,10292,34228,11221,5547,32404,6684,666
34773,34318,33893,33792,32351,32081,27499,12217,3805,38522,23385,18435,37804,17668,11135,36947,13110,6086,34748,7961,766
36572,36194,35768,35349,34126,33590,28470,13492,4184,41796,26175,19975,41219,19608,11942,40453,15324,6649,36951,9684,967
38431,37911,37437,37083,35842,34663,29413,14812,4613,44809,29011,21304,43789,22556,13088,42740,17515,7192,38239,11148,1161
39840,39487,38911,38269,37351,36362,29786,16020,4936,47201,32092,22854,46201,25354,13800,45185,20477,7996,39688,12986,1361
40838,40450,40201,38869,38386,37295,30214,17542,5528,48663,34768,23901,47601,28098,14950,46075,23087,8648,40437,15039,1715
40876,40756,40451,39450,39421,37638,30166,18676,6075,50007,37507,25305,48547,31380,15887,47125,25919,9640,41408,17400,2078
