1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
41190,40433,40237,39764,38446,37207,30254,20445,7067,50225,39514,25732,48799,33943,17366,47863,29389,11059,41299,19821,2569
40809,40708,40247,39191,38801,37199,30265,22077,7758,49509,41444,27214,47626,36545,18494,46206,32246,12116,40769,22126,3077
40003,40029,39247,38480,38351,36931,29791,23112,8660,47334,42826,27718,46092,38874,20043,45306,34700,13357,39879,24880,3851
38565,38665,38122,37417,37338,36273,29217,24434,9445,44741,44210,29003,44444,40819,21362,43177,37119,14848,38387,27720,4605
36862,37159,36335,35581,35999,34740,28793,26038,10424,42101,44543,29751,41162,41901,22177,40427,39536,16324,36691,30055,5452
34542,34855,34515,33743,34379,33701,27870,27099,11441,38516,43820,30307,38267,43606,23362,37292,40460,17692,34965,32082,6888
32373,32890,32250,31683,32693,31372,26637,27860,12656,34836,43076,30480,34214,42700,24848,33810,41524,19159,32375,34522,7862
29833,30698,30726,29182,30460,29861,25238,28996,13926,31316,41511,30551,30810,42056,25724,30478,42097,20865,30273,36983,9731
27258,28065,28075,26821,28214,27725,23924,29305,14932,26948,39447,30672,26958,41510,26730,27201,41950,21966,27236,38495,11186
24906,25472,25500,24395,25874,25928,22719,29978,16474,23516,36650,30129,23646,39968,27501,23827,41892,23771,24998,39888,12908
22162,22637,22867,22222,23657,23477,21159,30161,17918,20040,34021,29453,20335,38029,27873,20597,40390,25179,22281,40792,15305
19394,20527,20663,19716,21094,21418,19806,30076,19194,16816,30704,28502,17094,35675,28787,17520,38726,26629,19647,41249,17405
17404,18088,17965,17602,18933,19285,18299,29808,20732,14096,27529,27614,14450,32700,28454,14574,36938,27466,17259,41336,19718
14912,15592,15756,15160,16477,17151,16843,29724,21636,11515,24654,26483,11993,30379,28671,12572,34401,28554,15067,40530,22461
12985,13633,13618,13452,14530,15360,15368,29137,23099,9550,21737,25319,9988,27448,28451,10359,31889,29229,13128,39720,24877
11085,11239,11856,11527,12818,13259,14203,28588,24025,7533,18893,23493,8160,24498,27786,8629,29266,30243,11000,38633,27348
9443,10041,10220,9876,10834,11664,12945,27739,25429,6078,16138,22408,6556,21387,27385,7059,26644,30541,9589,37065,30078
7877,8283,8642,8649,9518,10126,11694,26743,26176,4983,13769,20480,5411,18878,26789,5878,24098,30597,7995,34495,32439
6564,6847,7370,7171,7963,8669,10526,25646,27235,4149,11627,19246,4331,16458,25414,4763,21422,30243,6692,32629,34571
5644,5877,6094,6358,6761,7249,9686,24302,27874,3185,9941,17430,3584,14459,24496,4004,18863,30276,5558,29837,36886
4594,4704,5022,5188,5544,6208,8496,23083,28593,2568,8182,16260,2794,12766,23333,3176,16430,29431,4541,26987,38377
3765,3890,4138,4450,4732,5316,7679,21839,28951,2096,6893,14674,2354,10715,22420,2628,14660,28676,3863,24840,39846
3038,3312,3579,3615,3898,4399,6935,20434,29298,1615,5865,13513,1913,9216,21380,2145,12710,27950,3043,22438,40625
2571,2703,2828,3113,3191,3759,6205,18970,28843,1360,4843,12282,1526,7768,19832,1752,10843,26898,2556,19880,41088
2166,2192,2368,2632,2837,3052,5739,17702,29117,1108,3989,11235,1344,6609,18492,1492,9614,25765,2023,17244,41012
1645,1786,1885,2160,2328,2621,5267,16169,28937,860,3432,10111,1066,5822,17443,1203,8047,24357,1718,15254,40807
1419,1419,1584,1933,1955,2167,4675,15124,28493,739,2894,9291,894,4987,16186,1086,7089,23302,1389,12970,39781
1155,1143,1252,1571,1581,1857,4405,13823,27841,624,2352,8587,767,4142,15058,873,6069,22030,1132,11344,38204
897,916,1142,1316,1354,1567,3841,12461,26826,527,2009,7760,667,3556,13930,729,5231,20558,948,9494,36851
827,824,879,1102,1156,1440,3642,11363,26331,431,1762,7128,564,3091,13336,708,4516,19270,770,8048,34450
684,691,722,985,1021,1189,3228,10558,24874,371,1518,6534,500,2673,12013,595,3849,17705,650,6730,32564
587,628,643,843,901,1006,3086,9413,23876,384,1375,6116,478,2275,11041,548,3259,16576,535,5606,30052
498,527,573,775,837,969,2910,8714,22782,302,1173,5601,452,2016,10326,475,2883,15103,489,4524,27657
484,504,518,722,782,886,2809,7904,21590,284,1077,5102,431,1785,9621,448,2526,14018,419,3865,25020
431,453,491,688,685,856,2772,6812,20208,307,928,4874,429,1651,8636,450,2186,12857,387,3077,22277
