1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40900,40473,40285,39363,38543,37347,30138,20274,6875,49910,39031,26211,48428,33519,17461,46679,28974,10960,41368,19771,2579
40816,40597,40277,39154,38680,37401,30290,21821,7636,48817,41619,27666,47397,36359,18741,46306,31556,12017,40749,22162,3079
39579,39747,39270,38005,38181,37154,29680,23268,8526,47337,42656,28283,45796,38450,19675,44888,34752,13199,39891,24797,3847
38541,38543,37971,37373,37233,36119,29274,24326,9418,45139,43684,29216,43833,40302,21039,42716,36695,14428,38331,27762,4588
36825,37010,36298,35488,35811,34826,28687,25837,10230,42210,44405,29706,41394,41604,22250,39772,38335,15783,36690,30019,5462
34447,34734,34443,33613,34050,33414,27516,26721,11474,38355,43131,30199,37603,42545,23304,37134,40077,17300,34941,32057,6859
32362,32744,32304,31727,32556,31430,26752,27875,12567,34604,42670,30468,34316,42619,24427,34437,41154,18965,32383,34538,7896
29741,30468,30654,29214,30304,29777,25221,28881,13799,30684,41013,30413,30756,42077,25396,30365,41909,20361,30278,36978,9708
27323,27878,27854,26876,28078,27736,23795,29592,14980,27215,39015,30023,27063,41303,26235,27212,41742,21950,27262,38530,11172
24927,25427,25368,24440,25660,25587,22657,29739,16432,23465,36685,29386,23479,39685,27152,23981,41022,23498,25001,39831,12886
22125,22676,22619,22224,23184,23431,21173,30187,17676,20217,33508,28902,20579,38146,27219,20577,40181,24486,22237,40792,15329
19628,20244,20465,19588,20789,21170,19821,30109,19069,16886,30432,28270,17134,35483,28024,17787,38770,26043,19673,41223,17404
17269,17787,17847,17654,18765,18977,18509,29871,20458,14199,27494,27190,14563,32611,28271,14822,36741,27248,17248,41383,19696
14971,15698,15735,15384,16437,16964,16723,29758,21984,11610,24442,25820,12199,29920,28139,12647,34715,28254,15073,40510,22426
13059,13407,13515,13517,14554,14883,15384,29097,22887,9598,21488,24480,10184,27394,28086,10498,32136,28945,13161,39726,24886
11168,11264,11695,11601,12503,13308,14268,28542,24015,7765,18522,23162,8198,24342,27488,8692,29678,29721,10989,38583,27361
9617,9990,10098,10001,10933,11283,12970,27673,25299,6343,16083,21411,6866,21622,27020,7145,27159,30376,9582,37091,30053
7855,8320,8459,8668,9307,9884,11657,26818,26203,5073,13743,20107,5515,19122,26338,5905,24650,30141,8024,34532,32426
6688,6881,7357,7378,7968,8460,10785,25726,27212,4033,11708,18756,4456,16584,25402,4960,21713,30500,6681,32620,34616
5677,5829,5990,6406,6797,7197,9590,24562,27875,3276,9728,17213,3626,14573,24432,4029,19414,30083,5563,29851,36833
4626,4664,4968,5231,5494,6075,8628,23296,28624,2631,8339,16129,2857,12774,23484,3293,17000,29482,4532,26969,38360
3806,3891,4115,4513,4674,5100,7717,21726,28616,2126,7012,14484,2429,11042,22424,2745,14886,29182,3867,24858,39880
3051,3312,3459,3639,3942,4389,7016,20594,29381,1689,5902,13369,1881,9327,21411,2180,12867,28441,3044,22430,40619
2594,2627,2808,3150,3256,3633,6163,19141,29313,1364,4927,12301,1590,8067,20201,1773,11241,27341,2555,19935,41100
