1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
41091,40576,39969,39593,38803,37119,30522,20249,6984,49833,39701,25845,48499,33886,17575,46947,29443,11211,41329,19754,2569
40708,40597,40404,39362,38541,37313,30327,21841,7828,48844,41423,27101,47490,36466,18657,46392,31983,12439,40754,22168,3083
39833,39937,39133,38287,38351,37165,29695,23535,8626,47037,42615,27883,46250,39176,19769,44830,34547,13587,39887,24807,3853
38750,38811,37854,37276,37419,35982,29089,24353,9575,44929,43645,28546,44132,40452,21047,43172,36976,14757,38420,27754,4592
36779,36979,36284,35702,36133,34502,28855,25863,10287,42201,44185,29671,40867,41477,22281,40014,39043,16068,36719,30043,5460
34524,34885,34486,33592,34202,33424,27965,26915,11633,38657,43756,30286,37879,42591,23471,37095,40226,17744,34867,32098,6876
32333,32978,32437,31767,32669,31622,26536,27895,12653,34662,42759,30432,34502,42448,24402,34289,41115,19170,32384,34527,7887
29948,30703,30598,29339,30511,30028,25207,29020,13878,30981,41376,30181,31017,42211,25626,30351,41603,20737,30282,36974,9712
27382,27853,28072,27049,28185,27821,23769,29509,15027,27002,39034,30213,27099,41226,26284,27209,41802,22096,27265,38524,11185
24827,25610,25504,24306,26068,25513,22570,29887,16604,23324,36926,29770,23942,39902,27181,23898,41262,23612,25013,39888,12874
22114,22717,22878,22307,23591,23721,21291,30259,17965,20119,33891,29113,20214,37839,27773,20548,40100,24888,22197,40777,15342
19540,20541,20489,19608,20942,21235,19664,30196,19226,16819,31036,28119,17117,35239,28276,17674,38425,26215,19698,41234,17400
17091,17920,18098,17692,18843,19289,18411,29937,20560,14168,27552,27305,14587,32900,28410,14917,36924,27438,17231,41427,19727
14987,15824,15710,15143,16657,17180,16700,29594,21832,11596,24790,26252,12109,30277,28488,12650,34779,28224,15050,40443,22408
12978,13452,13655,13392,14434,15185,15599,29142,23156,9530,21863,24667,10050,27443,28298,10526,31870,29077,13183,39697,24888
11188,11377,11908,11565,12850,13469,14015,28401,24089,7722,19028,23558,8347,24312,27409,8669,29182,29876,10988,38668,27393
9511,9940,10149,9821,11014,11556,12949,27794,25258,6327,16016,22089,6607,21554,26765,7178,26723,30037,9579,37036,30059
7874,8409,8650,8591,9407,10070,11594,26708,26124,5034,13763,20486,5436,18863,26162,5831,24041,30385,8023,34561,32410
6574,6883,7373,7235,8044,8604,10760,25394,27281,4115,11871,18963,4427,16580,25421,4719,21604,30405,6684,32597,34583
5618,5812,6148,6368,6775,7393,9571,24351,27750,3214,9973,17589,3602,14600,24403,4030,19018,29772,5569,29858,36910
4619,4719,5051,5309,5513,6271,8529,23091,28386,2596,8253,16171,2907,12800,23636,3191,16853,29553,4530,26945,38375
3800,3928,4191,4398,4810,5303,7683,21802,28753,2068,7027,14917,2389,11054,22360,2687,14536,28600,3852,24817,39836
3009,3286,3516,3686,3972,4500,7050,20311,29169,1685,5868,13702,1953,9340,21206,2185,12892,27713,3046,22471,40591
2589,2638,2940,3123,3258,3876,6200,19050,29058,1344,4972,12536,1558,7831,19992,1817,10918,26926,2557,19904,41134
