1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40898,40354,40696,39198,38624,37689,30233,20107,6809,49852,40035,26588,48749,34098,17319,46916,28678,10302,41319,19763,2575
40639,40722,40291,38901,38522,37704,30172,21533,7584,49091,41622,28075,47607,36584,18492,46440,31939,11370,40781,22145,3077
39662,39660,39440,38245,38292,37226,29595,23059,8469,47558,43669,28683,46409,38926,19745,44856,34247,12671,39825,24824,3856
38468,38609,37988,37126,37132,36413,29142,24228,9285,44941,43902,30002,44119,40624,20891,42761,36737,14042,38357,27736,4601
36651,36714,36331,35529,35661,34629,28588,25858,10176,41878,44204,30145,41131,41643,22307,40167,38982,15558,36711,30038,5451
34459,34759,34400,33484,33858,33779,27663,26950,11287,38791,44101,31124,37976,42753,23491,37598,40306,16989,34946,32041,6864
32233,32703,32293,31609,32372,31333,26500,27764,12435,34621,42979,30942,34475,42790,24432,34089,41171,18493,32368,34523,7868
29889,30368,30650,29324,30261,29529,25434,28655,13658,30891,40993,30732,30769,42820,26031,30298,42095,19889,30254,36981,9726
27309,27621,27700,26873,27830,27709,23760,29536,14864,26997,39142,30718,27109,41470,26713,27106,42162,21676,27285,38506,11150
24979,25480,25140,24360,25512,25577,22727,29895,16204,23548,36375,30219,23825,39825,27537,23918,41637,23059,24998,39860,12876
22166,22435,22712,22261,22982,23271,21135,30075,17598,20114,33629,29249,20023,38233,27820,20390,40514,24698,22246,40750,15341
19562,20097,20262,20027,20581,20882,19794,30049,18882,16904,30382,28594,17167,36014,28494,17724,39318,26341,19662,41241,17398
17252,17893,17695,17583,18445,18907,18576,29903,20469,14176,27268,27388,14440,33162,28656,14641,37361,27396,17239,41392,19705
15065,15509,15449,15258,16493,16717,16645,29699,21721,11658,24089,26182,11844,30045,28721,12513,34902,28334,15077,40491,22410
13165,13291,13453,13626,14285,14614,15446,29351,22898,9358,20978,24731,9902,27437,28506,10545,32552,29259,13156,39715,24876
11282,11363,11560,11547,12567,13004,14339,28790,24055,7842,18422,23169,8273,24537,28016,8728,30059,30497,11028,38643,27360
9505,9894,9976,10052,10727,11117,13017,27768,25172,6233,15399,21440,6640,21492,27395,7317,27226,30326,9570,37049,30068
7984,8228,8383,8753,9182,9822,11741,27048,26419,4863,13413,19913,5364,19328,26502,5889,24835,31014,8014,34530,32428
6602,6917,7207,7368,7860,8282,10786,25671,27283,4089,11320,18460,4394,16697,25633,4942,21757,30866,6681,32642,34584
5772,5805,5937,6368,6684,6988,9619,24585,27885,3207,9558,16841,3526,14501,24699,3956,19633,30804,5567,29841,36870
4640,4617,4933,5350,5412,5882,8520,23550,28729,2547,7888,15349,2887,12569,23933,3238,17109,30146,4537,26984,38364
3801,3922,3986,4498,4644,4949,7868,22086,29082,2034,6592,13976,2250,10774,22427,2607,15071,29712,3857,24839,39868
3109,3247,3443,3681,3931,4252,6999,20720,29431,1596,5619,12777,1864,9264,21290,2243,13138,28972,3052,22460,40613
2593,2607,2717,3257,3218,3571,6185,19230,29173,1355,4717,11808,1530,7834,20089,1837,11464,27669,2559,19922,41085
2192,2254,2255,2602,2751,2870,5722,18060,29596,1083,3932,10622,1283,6870,18635,1461,9853,26660,2042,17242,40965
1663,1737,1836,2148,2251,2518,5216,16298,29101,927,3169,9582,1079,5849,17539,1242,8657,25641,1711,15245,40844
1451,1438,1522,1913,1943,2037,4712,15343,28885,728,2684,8709,919,4966,16500,984,7456,24428,1391,12992,39823
1159,1123,1277,1619,1563,1696,4361,13807,28325,657,2271,8123,777,4310,15105,893,6324,22733,1136,11366,38261
929,935,1028,1267,1328,1470,3942,12666,27328,533,1990,7364,666,3634,14137,722,5454,21291,940,9487,36789
839,806,857,1168,1111,1265,3616,11542,26599,432,1579,6699,606,3097,13311,639,4772,20151,775,8048,34484
649,673,690,973,985,1118,3309,10630,25356,412,1370,6182,510,2681,12256,569,4095,18647,648,6729,32581
585,637,606,844,839,917,3096,9557,24149,337,1257,5776,473,2442,11204,535,3384,17255,535,5613,30081
496,510,549,761,825,839,2799,8843,23426,322,1161,5143,421,2058,10394,465,2859,15521,486,4525,27634
486,479,493,731,764,839,2799,7963,21865,283,1023,4834,394,1791,9634,429,2578,14487,425,3861,25069
