1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
41034,40386,40215,39253,38538,37094,30325,20173,6912,48824,38971,26272,47884,33604,17782,46591,28742,11653,41308,19793,2586
40694,40546,40279,38957,38478,37294,30025,21753,7859,48278,40416,27314,46460,35653,18868,45393,31581,12754,40819,22117,3068
39716,39752,39195,38226,38127,37038,29549,23070,8634,46860,41935,27882,45532,38224,19823,44410,34237,13599,39785,24801,3851
38436,38666,37774,37166,37201,36305,29360,24414,9492,44403,43206,28633,43533,39918,21029,42133,36275,14918,38404,27781,4601
36705,36955,36255,35577,35679,34282,28415,25769,10449,41729,43217,29099,40526,40493,22226,40217,38261,16245,36719,30031,5455
34483,34902,34442,33586,34127,33665,27819,26914,11465,38048,42871,29735,37805,41996,23099,36867,39546,17316,34882,32067,6867
32332,32579,32400,31645,32618,31257,26731,27861,12731,34508,42150,29706,34080,41600,24017,34130,40655,18848,32427,34559,7877
29826,30657,30628,29434,30245,29495,25245,28804,13789,30759,40311,29569,30737,41127,24787,30412,41474,20025,30230,36932,9719
27412,27817,27858,26845,28102,27559,23892,29423,15090,27215,38522,29377,26984,40849,25991,27240,41113,21404,27286,38497,11172
24872,25636,25324,24259,25759,25645,22518,29768,16427,23639,35900,28542,23742,38840,26317,23763,40617,22613,25011,39888,12892
22236,22734,22836,22430,23501,23521,21111,30142,17704,20214,33251,27854,20618,37356,27016,20740,39646,24275,22223,40778,15321
19593,20319,20400,19719,20748,21182,19777,30016,18959,17048,30444,27184,17328,35018,27015,17749,37964,25597,19671,41253,17398
17214,17742,17882,17491,18864,19240,18303,29848,20527,14279,27662,26626,14926,32762,27342,15040,36457,26569,17249,41320,19703
15106,15755,15609,15418,16502,16857,16871,29651,21867,11947,24682,25059,12583,29842,27451,12717,34129,27514,15076,40527,22433
12919,13515,13601,13501,14468,15183,15276,29101,22958,10002,21868,24147,10214,27447,27375,10831,32063,28003,13168,39714,24882
11155,11340,11893,11579,12796,13281,14390,28334,23954,7947,19091,22917,8537,24750,26727,8943,29353,29022,10984,38652,27350
9637,10052,10049,9942,10978,11345,12936,27783,25177,6564,16237,21475,6942,22062,26281,7460,26984,29304,9602,37043,30067
7930,8349,8643,8665,9526,10079,11773,26774,26099,5210,14138,19798,5686,19181,25844,6099,24201,29830,8006,34528,32409
