1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40657,40228,40340,39091,38291,37367,30027,20044,7098,47809,38616,27073,46724,32568,18160,45469,28243,11864,41308,19764,2577
40612,40549,40318,38566,38059,37373,29795,21680,7752,47251,39936,27611,45625,35004,19342,44594,30701,12733,40774,22140,3077
39682,39552,39235,37884,38022,37106,29563,23071,8554,45431,41192,28089,44226,37402,20119,43358,33181,13705,39857,24833,3844
38247,38580,37770,36986,36865,36202,29065,24330,9443,43448,41462,28850,42642,38459,20955,41366,35304,14668,38350,27710,4601
36702,36692,36225,35503,35482,34262,28470,25630,10177,40881,41721,28784,39792,39558,21618,39225,37070,15602,36687,30046,5447
34329,34447,34360,33404,33563,33459,27489,26574,11368,38029,41300,29060,36775,40200,22651,36335,38204,17096,34939,32042,6879
32134,32733,32109,31491,32134,30880,26572,27635,12635,34173,40546,28579,33845,40174,23003,33612,39322,17791,32373,34529,7870
29906,30281,30419,29047,30054,29304,25132,28744,13563,30746,38780,28382,30643,39864,24017,29925,39854,19308,30245,36962,9714
27142,27668,27617,26875,27789,27226,23730,29203,14867,27188,36924,27671,27023,39025,24482,27063,39867,20605,27283,38494,11163
25031,25314,25179,24436,25399,25325,22648,29607,16184,23757,34828,27224,23820,37845,24928,24305,39617,21640,25001,39862,12877
22240,22480,22491,22509,23140,23274,21269,29987,17610,20601,32409,26461,20942,36128,25521,21183,38539,22675,22249,40753,15320
19597,20231,20267,19727,20611,20784,19750,29993,18833,17427,29624,25508,18106,34324,25659,18181,37811,23895,19674,41246,17394
17325,17764,17731,17585,18482,18788,18519,29677,20360,14897,27139,24700,15354,32167,25458,15732,36399,25118,17245,41341,19705
15076,15562,15478,15511,16434,16698,16787,29499,21566,12664,24605,23751,13032,29463,26129,13278,34169,26150,15072,40529,22415
13165,13326,13327,13671,14468,14834,15471,29225,22965,10342,21706,22444,10751,27495,25840,11050,32135,26919,13169,39725,24874
11253,11462,11804,11752,12641,13105,14272,28495,23883,8477,19020,21664,8908,24890,25504,9394,29593,28101,11000,38621,27346
9669,9975,9860,10060,10915,11165,12961,27969,25076,7025,16671,20400,7448,22273,25162,7862,27124,28384,9599,37056,30058
7994,8216,8523,8737,9508,9949,11819,26820,26095,5693,14550,19214,6026,19997,24658,6598,24885,28888,8014,34546,32425
6774,6898,7260,7578,8025,8409,10745,25451,27048,4606,12528,18306,5022,17856,24659,5459,22410,29348,6673,32618,34589
5680,5923,5970,6429,6834,7242,9767,24586,27639,3726,10914,17068,4100,15752,24030,4472,20436,29071,5577,29858,36861
4722,4711,4953,5330,5545,6208,8665,23454,28588,3066,9283,16080,3306,13824,23190,3672,17773,29105,4545,26997,38352
3843,3963,4145,4572,4800,5135,7834,21964,28712,2449,7881,15196,2718,11848,22266,3083,15838,28799,3852,24840,39849
3114,3355,3489,3758,4090,4387,7046,20633,29391,1911,6776,14119,2222,10351,22221,2521,14010,28439,3049,22453,40635
2656,2702,2885,3300,3326,3828,6281,19182,29120,1573,5761,13200,1805,8901,21142,2021,11964,27973,2553,19933,41096
2191,2286,2310,2663,2915,3015,5812,17941,29112,1266,4679,12461,1495,7446,19638,1759,10631,26946,2044,17244,40991
1679,1811,1913,2200,2392,2738,5224,16515,29236,991,4125,11605,1199,6569,19039,1406,8994,26146,1716,15258,40829
1435,1483,1606,1927,2063,2221,4751,15160,28794,864,3501,10788,1076,5720,17770,1135,7856,24974,1388,12986,39830
1198,1177,1306,1686,1659,1951,4480,13918,27984,699,2908,9932,833,4856,16871,1015,6810,23462,1133,11363,38271
947,937,1149,1348,1451,1641,3916,12652,27249,608,2421,9327,796,4125,15731,865,5801,22258,944,9496,36803
826,840,921,1111,1211,1500,3700,11519,26499,477,2160,8650,607,3670,14806,730,4949,20914,773,8046,34475
679,713,753,1016,1074,1340,3340,10693,25237,428,1791,8029,569,2961,13838,567,4136,19414,650,6731,32594
586,649,677,866,930,1098,3100,9381,23963,328,1536,7388,501,2592,12580,546,3653,18177,534,5621,30052
499,561,624,799,892,1060,2898,8895,23322,336,1383,6780,425,2186,11710,494,3056,16231,489,4525,27673
498,502,565,771,849,971,2931,7990,21811,308,1138,6287,452,1934,10781,482,2602,15100,422,3869,25044
439,446,524,705,704,853,2747,6934,20549,312,991,5788,412,1650,9537,460,2150,13733,384,3078,22315
444,434,524,650,762,867,2682,6252,19043,302,932,5310,407,1447,8842,413,1928,12230,383,2662,19594
436,452,474,665,696,878,2806,5870,17942,274,812,4825,366,1282,7962,450,1619,11074,390,2014,17440
435,430,494,694,750,934,2716,5313,16526,316,739,4430,380,1164,7275,488,1441,9936,369,1664,15241
503,480,568,747,797,957,2943,4774,15344,304,725,4097,429,1086,6784,441,1300,8856,465,1376,12926
539,561,566,824,832,990,3032,4279,14058,333,741,3746,465,951,6153,524,1214,8089,475,1148,11156
616,603,717,845,905,1101,3166,4044,12829,353,676,3592,480,1000,5510,558,1061,7102,536,883,9372
706,685,807,1008,1012,1294,3374,3728,11914,412,721,3334,548,913,4987,600,920,6504,644,699,8072
887,879,928,1177,1263,1468,3561,3380,10961,506,779,3155,612,906,4863,712,917,5727,775,616,6764
1012,1073,1098,1382,1429,1655,4020,3204,9854,541,761,3114,786,912,4285,842,908,5277,954,565,5544
1247,1242,1224,1654,1675,1899,4306,3023,8948,665,864,3014,857,992,4108,961,913,4738,1189,483,4712
1471,1434,1550,1828,2064,2113,4759,3039,8189,852,929,3011,1000,1046,3811,1109,940,4315,1401,408,3759
1724,1797,1910,2211,2189,2626,5298,2935,7297,1041,1080,3053,1246,1118,3740,1410,992,3959,1682,409,3073
2183,2150,2124,2603,2817,2931,5778,2824,6606,1244,1271,3095,1538,1184,3634,1717,998,3678,2015,382,2578
2662,2684,2706,3166,3278,3411,6412,2838,5998,1596,1406,3269,1873,1269,3689,2058,1172,3492,2663,366,2114
3202,3240,3365,3763,3829,4004,7057,2870,5427,1918,1710,3531,2261,1478,3623,2489,1261,3443,2964,390,1663
3964,3927,3962,4429,4586,4821,7776,2851,4913,2407,1950,3721,2794,1645,3720,3036,1330,3160,3836,442,1418
4645,4731,4773,5349,5384,5809,8639,3130,4606,3072,2366,4087,3421,2009,3806,3555,1569,3238,4714,483,1118
5715,5475,5816,6415,6216,6665,9525,3225,4135,3790,2740,4411,4181,2308,4053,4369,1695,3254,5543,556,933
6663,6777,6817,7272,7323,7790,10886,3493,3884,4563,3351,5069,4920,2681,4213,5307,1969,3388,6785,673,754
8210,8170,8204,8703,8720,9115,11943,3762,3546,5747,4027,5499,6039,3092,4639,6606,2249,3403,8093,761,682
9764,9380,9524,10246,10040,10372,13225,4085,3366,6915,4701,6372,7333,3581,5005,7955,2698,3610,9623,921,563
11402,10909,11236,11996,11650,11705,14341,4495,3262,8517,5614,7161,9164,4221,5317,9449,3078,3755,11074,1130,434
13254,13094,13045,13685,13240,13454,15689,4852,3132,10188,6596,7859,10646,4970,5966,11479,3591,3936,13258,1355,444
15194,15059,14955,15820,15401,15333,16981,5428,3001,12262,7883,8930,12825,5945,6419,13158,4161,4273,15058,1698,421
17551,17299,17305,17552,17222,17509,18244,6029,2982,14836,9053,10225,15325,6870,7154,15949,4872,4453,17545,2062,392
19727,19445,19650,19926,19461,19645,19747,6705,3073,17537,10806,11198,17749,8043,7733,18109,5729,4715,19609,2584,389
22024,21970,22160,22514,21612,21434,21261,7517,3047,20513,12404,12296,20597,9304,8381,20930,6653,5080,22258,3076,405
