1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40801,40193,40527,38940,38283,37789,30068,20068,6801,48701,39389,27515,47696,33255,17636,46256,28164,10538,41291,19762,2579
40535,40474,40546,38754,38312,37815,29961,21473,7574,48438,40982,28402,46686,35702,18749,45044,30764,11541,40784,22144,3076
39555,39657,39382,37907,37912,37519,29546,22731,8309,46471,42362,29132,45559,37978,19700,44100,33231,12542,39827,24814,3843
38241,38503,37950,37001,36920,36332,29185,24195,9302,44155,42999,29857,43254,39558,20945,42265,35635,13842,38358,27721,4600
36730,36648,36282,35213,35456,34678,28320,25632,10011,41696,42869,29870,40721,40687,21950,39647,37512,14974,36698,30056,5453
34302,34337,34563,33446,33634,33482,27733,26610,11071,38474,42597,30327,37312,41404,22957,37028,39318,16371,34932,32043,6872
32163,32489,31953,31516,32050,31237,26333,27785,12298,34433,41554,29988,34279,41594,24137,33547,40077,17747,32391,34520,7878
29804,30216,30432,29069,29819,29494,25211,28747,13542,30680,40146,30043,30751,40814,24680,30303,41110,19036,30231,36961,9705
27412,27555,27584,26935,27625,27215,23846,29215,14740,27110,37508,29067,27266,40652,25311,27326,41232,20614,27278,38496,11154
24896,25319,25074,24395,25264,25112,22562,29771,16066,23718,35581,28796,23768,39326,26090,24204,40560,22063,25004,39876,12875
22218,22295,22459,22386,22991,23012,21210,30130,17586,20309,32891,27802,20494,37396,26663,20817,39785,23420,22248,40743,15326
19584,20133,20119,19876,20353,20607,19862,29946,18698,17362,29977,27008,17621,35324,26910,17810,39125,24964,19667,41249,17406
17377,17632,17488,17705,18419,18628,18553,29898,20427,14311,26770,25473,14935,32541,26935,15181,36938,26292,17252,41337,19696
15191,15384,15376,15560,16201,16431,16776,29937,21624,12070,23876,24851,12385,30023,27321,13110,35261,27279,15073,40510,22408
13130,13320,13169,13798,14250,14448,15634,29150,22691,9769,20996,23463,10232,27501,27119,10772,32871,28450,13155,39717,24864
