1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40755,40205,40376,38975,38152,37351,29954,20079,6990,47367,37936,27147,46232,32880,18578,45038,28457,12150,41314,19761,2579
40510,40491,40201,38745,38038,37224,30021,21790,7807,47050,39422,27648,45502,34872,19438,44646,30687,13269,40786,22136,3076
39564,39619,38995,38017,37878,36887,29638,22978,8638,44982,40632,28128,43935,36438,20086,42936,33186,13953,39828,24841,3843
38406,38494,37964,36948,36926,35919,29036,24264,9613,43291,41110,28502,42708,38043,20936,41414,34966,14754,38372,27735,4598
36609,36778,35844,35074,35463,34344,28310,25401,10373,40971,41270,28455,39579,39176,21428,39167,36732,15939,36677,30019,5447
34406,34374,34392,33385,33463,33208,27518,26672,11397,37835,40772,28614,36620,39516,22653,36122,37973,16873,34947,32053,6882
32162,32499,32154,31397,32095,30925,26481,27568,12765,34244,40322,28198,33719,39714,22858,33470,38725,17848,32369,34550,7877
29840,30305,30459,29298,30052,29213,25230,28727,13584,30992,38578,28038,30657,39147,23484,30184,39464,19147,30265,36931,9706
27284,27715,27582,26761,27662,27206,23691,29202,14916,27182,36755,27278,26822,38918,24445,27239,39327,20190,27270,38516,11161
24910,25346,25114,24547,25731,25192,22510,29524,16129,23823,34695,26716,24225,37753,24568,24184,39205,21591,24992,39881,12887
22162,22468,22540,22288,23108,23147,21296,29925,17707,20842,32137,25736,20791,36229,24813,21314,38304,22674,22240,40721,15314
19632,20317,20275,19916,20806,20677,19834,29974,18842,17599,29867,25081,18023,34429,24816,18493,37604,23569,19679,41271,17404
17306,17868,17792,17772,18723,19083,18488,29566,20411,14969,27215,24379,15367,31890,25199,15737,35609,24535,17262,41330,19686
15066,15568,15506,15401,16485,16667,16746,29642,21532,12514,24520,23450,13025,29541,25203,13402,33470,25586,15069,40509,22437
13140,13494,13375,13630,14489,14839,15427,29144,22747,10609,21902,22416,11044,27428,25432,11469,31752,26593,13151,39728,24851
