1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40583,40679,40590,39092,38697,38277,30190,19945,6472,48156,37122,25458,46430,32902,18657,45020,28999,13686,41278,19803,2592
40397,40454,40146,38486,38336,37971,30134,21449,7381,47140,39212,25837,45770,35027,19654,44639,31476,14707,40542,22411,3168
39488,39419,39451,37965,37827,37695,29636,22431,8049,45534,40270,26495,44179,36666,20579,43221,33754,15751,39813,24814,3873
38191,37884,38242,36671,36711,36641,28878,23965,9014,43388,41125,27015,42507,38386,21279,41331,35935,16461,38079,27464,4707
36409,36580,36811,35257,35595,34953,28449,25465,9976,40649,41763,27622,39930,38951,21966,39020,36844,17377,36540,29972,5654
34776,34602,34194,33668,33586,33731,27472,26689,10906,37359,41296,27538,36875,40180,22715,36517,38554,18582,34694,32349,6775
32528,32444,32323,31176,31735,31679,26376,27606,12040,34371,40454,27539,33510,39899,23186,33666,39117,19706,32189,34697,8300
29737,30091,29977,29200,29444,29366,25255,28422,13221,30660,39252,27643,30584,39645,23729,30563,39501,20398,30179,36642,9517
27443,27354,27051,27035,27087,27431,23886,28930,14552,27369,37474,26967,27305,39185,24501,27411,39525,21479,27345,38430,11148
24682,25099,25011,24535,24779,24919,22808,29536,15704,23956,35743,26681,24045,37638,24768,23994,39145,22155,24958,39815,13202
22212,22293,22368,22383,22541,22677,21172,29793,17053,20882,33239,26085,21073,35839,24777,21067,37893,23192,22465,40663,15018
19972,19722,20022,19844,20309,20429,20041,30048,18828,17671,30886,25637,18055,33859,25138,18285,36847,24441,19883,41374,17353
17430,17689,17572,17840,18205,18152,18344,29788,20141,14781,28444,24739,15155,31884,25349,15790,34936,24970,17569,41182,20046
15278,15316,15280,15630,15926,16171,17075,29920,21338,12568,25780,23978,13135,29524,25218,13420,32756,25846,15241,40570,22097
13138,13323,13452,13831,14005,14036,15679,29543,23042,10321,23035,23115,10538,27137,25337,11259,30776,26455,13311,39773,24559
11347,11364,11435,12092,12034,12388,14473,28772,23909,8569,20443,22174,9045,24429,25300,9455,28290,26935,11281,38631,27468
9690,9755,9639,10338,10442,10812,13123,28356,25265,6969,18154,21161,7555,22011,24649,7958,25727,27450,9417,36710,29757
8248,8287,8272,9042,8924,9310,11775,27245,26458,5829,15629,20548,6321,19925,24304,6594,23394,27693,8086,34634,32572
6842,6825,6898,7557,7912,7760,10755,25888,27257,4666,13720,19388,5125,17707,24178,5455,21237,27204,6831,32042,34736
5569,5830,5858,6392,6473,6582,9562,24912,28170,3793,11708,18832,4135,15736,23584,4490,19041,27604,5573,30001,36880
4731,4732,4820,5399,5641,5584,8821,23716,28789,3000,10119,17801,3440,13338,22965,3690,16974,27652,4665,27507,38358
3912,3899,4047,4453,4661,4642,7924,22368,29431,2444,8733,16698,2684,11920,22545,3002,14602,26909,3882,24908,39273
3161,3214,3305,3706,3883,3957,7118,21202,29718,1973,7584,15771,2308,10194,21314,2488,13230,26505,3183,22190,40527
2623,2550,2696,3243,3255,3198,6318,19694,29902,1594,6391,15000,1821,8894,20717,2083,11350,25926,2551,19749,41237
2106,2284,2195,2718,2640,2776,5802,18551,30068,1316,5602,14044,1487,7723,19964,1693,9790,24634,2138,17568,41245
1829,1810,1750,2212,2189,2313,5266,16951,29659,1084,4632,13475,1266,6438,18839,1490,8526,23827,1706,15278,40696
1347,1430,1383,1864,1872,1917,4548,15388,29565,829,3979,12356,1016,5580,17852,1184,7264,22868,1387,13039,39665
1194,1158,1210,1604,1666,1587,4368,14270,28384,678,3403,11694,873,4827,16674,1036,6200,21516,1157,11159,38563
973,1007,996,1272,1291,1356,3794,13049,27924,582,2777,10961,718,4105,15671,906,5364,20107,971,9466,36464
859,838,781,1166,1123,1161,3614,11938,27026,530,2401,10101,644,3524,14822,755,4508,18859,747,8135,34738
744,695,705,986,960,993,3307,10762,26237,420,2178,9427,560,3055,13516,621,3833,17967,635,6810,32485
540,621,609,852,832,884,3157,9697,24855,345,1754,8483,508,2480,12516,554,3243,16501,597,5550,30192
537,522,500,749,745,770,3016,8763,23323,336,1605,7923,445,2198,11582,502,2826,14968,493,4551,27523
445,469,467,715,713,697,2816,7947,22447,280,1390,7430,388,1918,10546,492,2381,13573,425,3729,24820
436,423,446,683,683,651,2757,7157,21012,302,1161,6555,385,1599,9736,458,2122,12349,405,3147,22323
398,402,391,663,627,664,2639,6539,19666,272,1014,6133,409,1482,8852,442,1759,11237,388,2594,19705
436,446,474,613,651,635,2705,5861,18152,278,906,5587,401,1354,7933,420,1525,10148,373,2142,17562
417,436,381,697,683,670,2821,5085,16882,269,821,5192,406,1133,7256,445,1383,9071,415,1680,15212
444,471,503,675,720,751,2798,4693,15674,270,806,4713,387,998,6570,497,1288,8299,480,1381,13052
508,524,545,748,737,785,3091,4332,14386,342,723,4378,461,973,5964,531,1117,7401,494,1155,11107
565,592,577,876,922,870,3085,3896,13235,394,707,3985,497,1001,5471,593,1059,6656,543,935,9492
687,659,751,995,975,971,3319,3654,11966,439,698,3741,562,896,4956,642,996,6023,632,803,8070
841,821,813,1172,1169,1208,3582,3350,10761,513,733,3446,628,935,4682,716,935,5457,766,617,6766
1012,1007,1036,1270,1324,1313,3873,3074,9849,581,780,3282,728,920,4217,909,1031,4903,896,582,5540
1251,1164,1223,1502,1641,1615,4293,2859,8697,687,855,3108,843,950,4021,975,959,4690,1142,454,4699
1415,1382,1423,1855,1853,1846,4711,2821,8050,865,922,3098,1106,1021,3784,1120,977,4280,1402,414,3813
1784,1849,1760,2209,2255,2368,5231,2717,7142,1124,1011,3104,1280,1110,3603,1384,1067,3976,1648,389,3020
2148,2163,2245,2619,2714,2738,5735,2814,6472,1279,1158,3192,1520,1135,3701,1679,1152,3776,2092,372,2649
2569,2689,2755,3192,3224,3294,6494,2826,5985,1588,1340,3306,1853,1366,3523,1958,1216,3614,2611,386,2041
3295,3213,3334,3855,3954,3922,7118,2733,5273,1967,1587,3456,2235,1501,3601,2525,1407,3556,3242,395,1658
3927,3832,3849,4545,4500,4784,7852,2708,4767,2452,1878,3599,2867,1787,3740,3210,1588,3591,3833,425,1437
4772,4763,4752,5534,5474,5530,8724,2932,4433,2981,2134,3954,3397,2075,3819,3750,1818,3513,4715,474,1135
5722,5732,5903,6396,6464,6420,9783,3155,3970,3690,2627,4349,4150,2361,3978,4472,1944,3603,5500,562,972
