1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40583,40679,40590,39092,38697,38277,30190,19945,6472,48338,37922,25440,47015,33507,18415,45447,29157,12921,41278,19803,2592
40397,40454,40146,38486,38336,37971,30134,21449,7381,47582,39647,26613,46283,35379,19166,45300,31598,13902,40542,22411,3168
39488,39419,39451,37965,37827,37695,29636,22431,8049,46305,40946,26900,44937,37283,20325,43504,33888,14942,39813,24814,3873
38191,37884,38242,36671,36711,36641,28878,23965,9014,43736,41643,27777,42830,38865,21025,41436,35913,15739,38079,27464,4707
36409,36580,36811,35257,35595,34953,28449,25465,9976,41327,42147,28291,40061,40004,21934,39251,37637,17109,36540,29972,5654
34776,34602,34194,33668,33586,33731,27472,26689,10906,37728,42248,28512,37390,40926,22599,36916,39214,18133,34694,32349,6775
32528,32444,32323,31176,31735,31679,26376,27606,12040,34371,41497,28262,33868,40940,23890,33723,40101,19293,32189,34697,8300
29737,30091,29977,29200,29444,29366,25255,28422,13221,30885,39914,28429,30700,40539,24477,30554,40178,20627,30179,36642,9517
27443,27354,27051,27035,27087,27431,23886,28930,14552,27050,37796,27968,27018,39567,24693,27559,40024,21522,27345,38430,11148
24682,25099,25011,24535,24779,24919,22808,29536,15704,23705,36164,27762,23752,38303,25312,23796,39497,22690,24958,39815,13202
22212,22293,22368,22383,22541,22677,21172,29793,17053,20295,33237,26964,20734,36600,25964,20941,38688,23406,22465,40663,15018
19972,19722,20022,19844,20309,20429,20041,30048,18828,17416,30886,25866,17750,34429,25944,18056,37233,24534,19883,41374,17353
17430,17689,17572,17840,18205,18152,18344,29788,20141,14664,27931,25491,15011,31905,26508,15760,35499,26168,17569,41182,20046
15278,15316,15280,15630,15926,16171,17075,29920,21338,12393,25442,24398,12586,29825,25994,13070,33650,26685,15241,40570,22097
13138,13323,13452,13831,14005,14036,15679,29543,23042,10100,22483,23657,10463,26914,26028,11148,30884,27367,13311,39773,24559
11347,11364,11435,12092,12034,12388,14473,28772,23909,8302,19889,22515,8957,24209,25939,9351,28721,27746,11281,38631,27468
9690,9755,9639,10338,10442,10812,13123,28356,25265,6796,17373,21519,7246,22283,25236,7845,26070,28061,9417,36710,29757
8248,8287,8272,9042,8924,9310,11775,27245,26458,5501,15080,20489,5916,19645,25143,6363,23655,28342,8086,34634,32572
6842,6825,6898,7557,7912,7760,10755,25888,27257,4471,13024,19352,4788,17502,24347,5162,21459,28331,6831,32042,34736
5569,5830,5858,6392,6473,6582,9562,24912,28170,3669,11289,18311,3989,15245,23853,4363,19163,28434,5573,30001,36880
4731,4732,4820,5399,5641,5584,8821,23716,28789,2862,9587,17448,3237,13504,23097,3554,17110,28253,4665,27507,38358
3912,3899,4047,4453,4661,4642,7924,22368,29431,2299,8178,16264,2614,11541,22623,2935,14817,27607,3882,24908,39273
3161,3214,3305,3706,3883,3957,7118,21202,29718,1857,7006,15123,2144,9812,21227,2395,13086,26779,3183,22190,40527
2623,2550,2696,3243,3255,3198,6318,19694,29902,1493,5882,14127,1701,8504,20442,1953,11306,26207,2551,19749,41237
2106,2284,2195,2718,2640,2776,5802,18551,30068,1190,5034,13246,1448,7432,19721,1663,9836,25167,2138,17568,41245
1829,1810,1750,2212,2189,2313,5266,16951,29659,993,4385,12422,1187,6389,18337,1383,8527,24096,1706,15278,40696
1347,1430,1383,1864,1872,1917,4548,15388,29565,807,3732,11592,1040,5436,17466,1137,7226,23290,1387,13039,39665
1194,1158,1210,1604,1666,1587,4368,14270,28384,670,2949,10717,842,4697,16388,990,6266,21463,1157,11159,38563
973,1007,996,1272,1291,1356,3794,13049,27924,558,2708,9893,731,3925,15367,838,5368,20467,971,9466,36464
859,838,781,1166,1123,1161,3614,11938,27026,491,2219,9215,669,3335,14286,681,4489,19294,747,8135,34738
744,695,705,986,960,993,3307,10762,26237,420,1844,8386,544,2955,13223,667,3874,18034,635,6810,32485
540,621,609,852,832,884,3157,9697,24855,386,1608,7869,503,2503,12381,557,3245,16433,597,5550,30192
537,522,500,749,745,770,3016,8763,23323,333,1430,7147,427,2164,11414,500,2942,15034,493,4551,27523
445,469,467,715,713,697,2816,7947,22447,299,1277,6657,384,1861,10349,503,2418,13964,425,3729,24820
436,423,446,683,683,651,2757,7157,21012,284,1111,6254,409,1706,9428,427,2067,12609,405,3147,22323
398,402,391,663,627,664,2639,6539,19666,288,1012,5563,400,1450,8571,447,1863,11456,388,2594,19705
436,446,474,613,651,635,2705,5861,18152,268,951,5227,398,1349,7940,411,1608,10380,373,2142,17562
417,436,381,697,683,670,2821,5085,16882,293,802,4759,388,1187,7152,459,1399,9539,415,1680,15212
444,471,503,675,720,751,2798,4693,15674,314,751,4390,402,1094,6671,462,1295,8484,480,1381,13052
508,524,545,748,737,785,3091,4332,14386,325,757,4132,470,1019,5901,536,1192,7720,494,1155,11107
565,592,577,876,922,870,3085,3896,13235,380,716,3724,490,944,5470,589,1057,6834,543,935,9492
687,659,751,995,975,971,3319,3654,11966,407,714,3702,550,929,4976,647,1039,6326,632,803,8070
841,821,813,1172,1169,1208,3582,3350,10761,484,742,3448,623,1009,4684,726,969,5704,766,617,6766
1012,1007,1036,1270,1324,1313,3873,3074,9849,567,758,3287,728,877,4392,824,990,5164,896,582,5540
1251,1164,1223,1502,1641,1615,4293,2859,8697,701,842,3319,855,975,4164,935,958,4667,1142,454,4699
1415,1382,1423,1855,1853,1846,4711,2821,8050,799,917,3147,1016,1004,4096,1120,1018,4316,1402,414,3813
1784,1849,1760,2209,2255,2368,5231,2717,7142,1044,1029,3239,1173,1065,3851,1421,1043,4039,1648,389,3020
2148,2163,2245,2619,2714,2738,5735,2814,6472,1256,1144,3257,1574,1212,3788,1597,1117,3966,2092,372,2649
2569,2689,2755,3192,3224,3294,6494,2826,5985,1553,1347,3404,1827,1376,3808,1969,1180,3718,2611,386,2041
3295,3213,3334,3855,3954,3922,7118,2733,5273,1870,1633,3503,2198,1476,3711,2412,1308,3514,3242,395,1658
3927,3832,3849,4545,4500,4784,7852,2708,4767,2238,1893,3902,2631,1744,3996,2979,1462,3638,3833,425,1437
4772,4763,4752,5534,5474,5530,8724,2932,4433,2787,2192,4062,3235,1981,3959,3658,1645,3637,4715,474,1135
5722,5732,5903,6396,6464,6420,9783,3155,3970,3695,2682,4486,3892,2293,4165,4322,1814,3587,5500,562,972
