1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40583,40679,40590,39092,38697,38277,30190,19945,6472,47724,36877,25218,46012,32429,19188,44803,29173,14283,41278,19803,2592
40397,40454,40146,38486,38336,37971,30134,21449,7381,46800,38554,25726,45446,34758,19867,43963,31513,14967,40542,22411,3168
39488,39419,39451,37965,37827,37695,29636,22431,8049,45476,39604,26144,43974,36553,20732,42581,33462,16200,39813,24814,3873
38191,37884,38242,36671,36711,36641,28878,23965,9014,42917,40048,26608,42069,37731,21167,41152,35428,16956,38079,27464,4707
36409,36580,36811,35257,35595,34953,28449,25465,9976,40322,40997,26774,39455,38481,21748,38823,37161,18029,36540,29972,5654
34776,34602,34194,33668,33586,33731,27472,26689,10906,37669,40816,26847,36630,39658,22572,36186,37710,18778,34694,32349,6775
32528,32444,32323,31176,31735,31679,26376,27606,12040,34151,39971,26744,33424,39397,22891,33624,38886,19587,32189,34697,8300
29737,30091,29977,29200,29444,29366,25255,28422,13221,30897,38881,26981,30439,39192,23670,30291,39237,20407,30179,36642,9517
27443,27354,27051,27035,27087,27431,23886,28930,14552,27213,36852,26209,27447,38393,23758,27184,38917,21320,27345,38430,11148
24682,25099,25011,24535,24779,24919,22808,29536,15704,23776,35678,25889,24129,37261,24174,24046,38459,22452,24958,39815,13202
22212,22293,22368,22383,22541,22677,21172,29793,17053,20754,33211,25389,21314,35593,24306,21010,37361,22758,22465,40663,15018
19972,19722,20022,19844,20309,20429,20041,30048,18828,17758,30611,24813,18040,33685,24649,18628,36446,23969,19883,41374,17353
17430,17689,17572,17840,18205,18152,18344,29788,20141,15070,28292,24062,15524,31568,24645,16105,34199,24570,17569,41182,20046
15278,15316,15280,15630,15926,16171,17075,29920,21338,12635,25854,23844,13100,29266,24637,13545,32337,25223,15241,40570,22097
13138,13323,13452,13831,14005,14036,15679,29543,23042,10483,23289,22601,11044,26790,24552,11376,29824,25856,13311,39773,24559
11347,11364,11435,12092,12034,12388,14473,28772,23909,8641,20851,22171,9229,24709,24370,9648,28222,26056,11281,38631,27468
9690,9755,9639,10338,10442,10812,13123,28356,25265,7164,18399,21223,7670,22007,24341,8165,25372,26479,9417,36710,29757
8248,8287,8272,9042,8924,9310,11775,27245,26458,5826,15960,20397,6253,19918,24243,6709,23410,26930,8086,34634,32572
6842,6825,6898,7557,7912,7760,10755,25888,27257,4966,14425,19624,5183,17981,23628,5653,21152,26830,6831,32042,34736
5569,5830,5858,6392,6473,6582,9562,24912,28170,3834,12347,18908,4225,15804,23582,4580,18782,27040,5573,30001,36880
4731,4732,4820,5399,5641,5584,8821,23716,28789,3209,10799,18341,3410,13994,22813,3840,16873,26807,4665,27507,38358
3912,3899,4047,4453,4661,4642,7924,22368,29431,2414,9230,17370,2842,11849,22099,3125,14652,26446,3882,24908,39273
3161,3214,3305,3706,3883,3957,7118,21202,29718,2088,7869,16555,2331,10708,21515,2591,12984,26049,3183,22190,40527
2623,2550,2696,3243,3255,3198,6318,19694,29902,1721,6918,15688,1947,9080,20630,2143,11394,25393,2551,19749,41237
2106,2284,2195,2718,2640,2776,5802,18551,30068,1275,5824,14752,1527,7812,19989,1709,9850,24710,2138,17568,41245
1829,1810,1750,2212,2189,2313,5266,16951,29659,1108,4890,14047,1308,6777,19140,1466,8481,23559,1706,15278,40696
1347,1430,1383,1864,1872,1917,4548,15388,29565,857,4318,13288,1018,5637,17958,1261,7080,22540,1387,13039,39665
1194,1158,1210,1604,1666,1587,4368,14270,28384,763,3652,12377,913,5026,17076,1002,6175,21334,1157,11159,38563
973,1007,996,1272,1291,1356,3794,13049,27924,626,3058,11589,738,4289,15945,918,5379,20220,971,9466,36464
859,838,781,1166,1123,1161,3614,11938,27026,556,2577,10672,680,3554,15162,744,4499,18794,747,8135,34738
744,695,705,986,960,993,3307,10762,26237,403,2210,9989,556,3125,14050,644,3961,17598,635,6810,32485
540,621,609,852,832,884,3157,9697,24855,376,1860,9105,516,2538,12871,565,3213,16376,597,5550,30192
537,522,500,749,745,770,3016,8763,23323,320,1604,8301,419,2182,11784,539,2787,14822,493,4551,27523
445,469,467,715,713,697,2816,7947,22447,300,1429,7675,389,1940,10844,469,2456,13716,425,3729,24820
436,423,446,683,683,651,2757,7157,21012,273,1214,7008,385,1666,9800,482,2029,12528,405,3147,22323
