1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43327,43341,42883,40712,40691,40603,38944,38955,38543,30074,19934,6430,47111,45519,41032,53956,31804,5851,43236,20945,2712,41128,19947,2625
42749,42629,42518,40429,40180,40394,38434,38520,38229,29809,21373,7311,45902,45221,41812,53519,36071,7609,42702,23666,3313,40478,22228,3095
41784,41399,41583,39296,39357,39481,37439,37448,37643,29445,22410,7984,45155,45269,41229,50924,40310,9374,41503,26353,4152,39832,24767,3940
39742,39836,40007,37817,38164,37961,36311,36554,36358,28974,23786,8753,42466,43683,40493,48203,44288,11502,40057,29533,5034,38394,27167,4607
38093,38512,38127,36605,36379,36407,34742,34937,35107,28334,25156,9847,40421,42078,39725,44267,46713,14331,37768,31950,6164,36651,29747,5511
35957,35839,35938,34844,34408,34604,33169,32994,33184,27213,26162,10941,37435,40037,38032,40381,49346,17306,35568,34739,7504,34701,32765,6825
33680,33173,32966,32211,32353,32270,31314,31227,30960,26203,27142,11962,34186,37351,36283,35453,50789,20038,33159,36991,8939,32570,34716,7975
30605,30678,30450,29485,29735,30136,29285,29154,29271,24976,28179,13141,30834,34225,33709,31245,51119,23308,30414,38641,10546,30027,36554,9600
28027,27858,27637,27424,27332,27584,26832,27048,26640,23850,29256,14498,27411,31146,31207,26673,51031,26956,27611,40488,12512,27400,38407,11196
25027,24936,24829,24836,24922,24535,24520,24577,24697,22551,29475,15513,24349,27988,28509,22226,49599,29689,24504,41556,14531,25029,39430,13113
22010,21916,22083,22216,22265,22447,22307,22190,22434,21384,29724,16956,20876,24760,25761,18553,47158,33536,21906,41891,16658,22225,40619,15282
19112,19457,19462,19873,19636,20117,19704,20199,20157,20005,29951,18204,17989,21520,22985,15066,44250,35876,19135,42326,19200,19670,41116,17350
16957,16631,16973,17605,17619,17490,17829,17982,18080,18341,30202,19881,15407,18205,20123,12366,40677,38095,16357,41818,21576,17352,41249,19718
14467,14491,14713,15301,15260,15445,15829,15912,15937,17070,29942,21187,12934,15719,17401,9779,36759,40137,14278,41319,24107,14944,40466,22068
12265,12358,12427,13352,13139,13229,13986,13728,13741,15607,29288,22543,10590,13045,15025,7456,32822,41183,12359,39581,26996,13059,39846,25053
10415,10435,10641,11328,11197,11479,11962,12285,12163,14613,28400,23799,8961,10767,12744,5963,28836,40970,10461,37937,29063,11198,38684,27752
