1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43326,43341,42884,40705,40691,40603,38949,38958,38546,30078,19938,6429,47755,45923,40254,54516,32163,6179,43900,21227,2728,41128,19947,2625
42749,42630,42519,40435,40185,40398,38434,38516,38232,29797,21362,7316,46770,45838,41473,53353,36864,7910,43149,24120,3378,40478,22228,3095
41784,41398,41583,39300,39354,39472,37446,37446,37644,29452,22416,7982,45888,45934,41080,51190,40935,9786,41916,26912,4290,39832,24767,3940
39742,39833,40006,37815,38166,37967,36310,36556,36350,28990,23799,8752,42835,44393,40438,48403,44713,12057,40599,29893,5173,38394,27167,4607
38094,38515,38128,36607,36381,36402,34746,34950,35105,28327,25148,9852,40967,42876,40046,44499,47267,14920,38139,32575,6332,36651,29747,5511
35955,35839,35938,34841,34407,34610,33169,32997,33189,27207,26174,10942,37776,40903,38343,40519,49979,17854,35879,35366,7743,34701,32765,6825
33683,33173,32966,32214,32353,32269,31310,31226,30964,26205,27133,11958,34177,38439,36872,35499,51041,20845,33271,37557,9133,32570,34716,7975
30603,30677,30450,29484,29735,30133,29288,29153,29267,24977,28177,13139,31086,34872,34415,31124,51526,24270,30542,39349,10964,30027,36554,9600
28030,27859,27637,27423,27330,27583,26842,27044,26653,23849,29264,14501,27227,32083,32096,26645,51168,27698,27375,40994,12908,27400,38407,11196
25025,24936,24829,24834,24925,24540,24502,24575,24691,22552,29481,15523,24238,28580,29450,22211,49788,30795,24578,42027,14808,25029,39430,13113
22011,21916,22081,22220,22265,22446,22316,22200,22428,21392,29712,16951,20647,25435,26480,18452,47025,34319,21734,42338,17390,22225,40619,15282
19111,19457,19463,19874,19637,20117,19703,20195,20165,19997,29958,18211,17600,21828,23808,14977,44149,36701,18988,42707,19453,19670,41116,17350
16957,16631,16974,17604,17621,17490,17829,17987,18074,18356,30203,19885,15215,18681,21013,12298,40322,38939,16074,41936,22239,17352,41249,19718
14467,14492,14713,15297,15258,15444,15824,15913,15947,17056,29938,21185,12507,15958,17959,9634,36215,40764,14058,41375,24753,14944,40466,22068
12265,12359,12426,13353,13139,13229,13989,13726,13740,15616,29290,22530,10374,13318,15783,7349,32391,41528,12168,39461,27332,13059,39846,25053
10415,10433,10642,11329,11197,11481,11963,12280,12166,14606,28395,23804,8619,10896,13313,5861,28311,41229,10169,37606,29719,11198,38684,27752
8673,8702,8727,9650,9673,9553,10410,10394,10564,13075,28021,25006,6996,8845,10811,4552,24164,40532,8394,35128,32054,9426,36662,29915
7129,7192,7342,8014,8208,8130,9119,8846,8780,11977,27369,26330,5690,7296,9078,3533,20473,39419,6995,33280,34019,8085,35174,32432
6041,6079,5831,6862,6795,6779,7626,7853,7638,10764,26006,27444,4487,5826,7758,2636,17126,37670,5995,30542,35899,6660,32270,34843
4966,4911,4900,5758,5676,5680,6549,6465,6563,9782,25211,28498,3634,4605,6059,2112,14290,35135,4689,27826,38098,5710,29928,36605
4038,3956,3923,4766,4879,4626,5374,5500,5622,8795,23844,28831,2966,3584,4880,1618,11858,32647,3933,24940,39270,4576,27495,38610
3223,3301,3134,4038,3994,3891,4720,4714,4682,7855,22402,29705,2393,2831,3799,1322,9712,29874,3241,22393,39575,3776,25299,39964
2535,2558,2568,3328,3284,3157,3861,3965,3970,7290,20858,29903,1912,2224,3054,1045,8127,27144,2649,20098,40034,3173,22238,40743
2099,2064,2006,2699,2676,2544,3216,3249,3239,6413,19947,30118,1559,1709,2325,905,6806,24515,2233,17416,39729,2585,19647,41370
1683,1611,1604,2200,2157,2223,2690,2800,2691,5656,18380,30104,1209,1410,1908,733,5670,21858,1741,15378,39307,2096,17186,41024
1382,1322,1247,1735,1732,1778,2129,2318,2200,5264,17007,29935,969,1093,1448,658,4953,19288,1393,13333,38617,1758,15225,40878
1039,1060,990,1448,1452,1447,1935,1877,1903,4891,15611,29663,768,800,1121,559,4099,17201,1179,11353,37167,1451,13093,39466
826,839,842,1181,1184,1231,1559,1601,1558,4241,14558,28896,616,634,891,502,3794,15731,965,9760,35440,1155,11219,38305
715,645,713,1010,991,1022,1380,1352,1383,3944,13118,28034,575,513,662,499,3300,14039,841,8200,33613,939,9642,36886
533,535,578,831,847,831,1133,1103,1248,3558,11854,26802,443,440,535,450,3163,12684,664,7285,31742,760,8173,34680
429,428,449,649,688,691,964,981,952,3455,10960,26268,379,400,466,419,2876,11625,614,6031,29835,625,6711,32473
397,382,396,586,590,610,911,918,853,3183,9970,24901,327,315,357,382,2664,11108,512,4984,27234,542,5680,29839
291,305,313,523,554,467,767,792,737,2976,8938,23685,270,280,318,361,2507,10436,423,4168,25173,512,4723,27642
292,286,241,480,505,500,732,705,673,2702,8087,22736,260,252,305,377,2458,10156,395,3514,22785,457,3826,24653
257,274,274,436,440,447,677,644,640,2756,7005,21179,252,212,263,380,2219,9900,396,2919,20401,404,3233,22293
235,246,235,437,438,399,641,658,656,2758,6492,19665,208,233,236,364,2058,9925,363,2467,18264,364,2623,19833
225,241,221,447,429,409,674,671,651,2661,5923,18666,214,249,291,346,2090,9802,349,2022,16194,400,2081,17231
250,247,240,415,417,433,653,711,627,2817,5324,16926,222,252,279,393,1864,9751,385,1580,14376,399,1681,14932
314,282,303,449,476,554,735,727,715,2763,4829,15639,270,290,321,391,1744,9726,417,1378,12769,440,1405,13158
299,309,297,476,531,545,814,762,794,2919,4366,14241,278,333,406,366,1614,9553,520,1118,10950,476,1175,11117
367,351,384,615,614,578,873,850,883,3146,3900,12984,321,418,497,404,1498,9417,510,929,9377,557,907,9393
448,439,437,707,703,675,971,968,972,3312,3670,11945,364,448,585,410,1383,9252,573,806,8110,623,783,8034
532,513,562,857,833,776,1177,1149,1143,3608,3338,10904,447,544,770,460,1209,8940,694,717,6995,748,610,6595
647,710,655,966,1016,980,1351,1372,1406,3883,3176,9816,531,669,971,452,1146,8633,835,570,5874,961,547,5448
853,860,797,1182,1161,1141,1614,1682,1531,4332,2978,8817,590,921,1086,522,962,8205,986,496,4803,1151,503,4659
1055,1031,1051,1569,1511,1490,1979,1839,1924,4681,2795,8002,845,1024,1450,582,846,7583,1234,471,4148,1449,457,3783
1308,1312,1296,1797,1801,1759,2258,2245,2309,5267,2783,7148,933,1269,1613,627,783,7124,1451,412,3361,1663,387,3083
1634,1642,1586,2168,2217,2141,2726,2756,2695,5799,2737,6617,1220,1557,2069,757,716,6626,1770,391,2816,2107,387,2547
2113,2064,2018,2634,2692,2668,3100,3278,3214,6427,2725,5838,1553,1855,2523,870,600,5965,2124,339,2255,2517,403,2052
2492,2611,2586,3211,3280,3326,3857,3935,3932,7214,2699,5297,1861,2308,3102,1084,566,5292,2649,378,1902,3108,392,1761
3254,3251,3184,3963,4028,3898,4614,4732,4586,7902,2924,4704,2376,2784,3707,1327,502,4765,3212,396,1608,3882,451,1396
3932,3967,4000,4806,4767,4800,5475,5341,5467,8776,2965,4378,2920,3264,4320,1625,455,4169,3872,457,1297,4638,481,1110
4779,4838,4941,5800,5791,5826,6430,6624,6522,9888,3250,3953,3664,3912,5179,2166,496,3511,4758,511,1107,5577,500,943
5997,6065,6006,6889,6914,6871,7619,7744,7784,10776,3418,3576,4613,4865,6369,2727,520,3014,5806,580,899,6759,625,783
7283,7251,7091,8240,8144,8196,9031,9171,9000,11921,3666,3437,5752,5833,7447,3387,538,2461,6904,640,760,8007,725,635
8714,8561,8734,9561,9894,9638,10608,10414,10434,13103,3881,3274,6916,6834,8790,4482,599,2128,8340,827,630,9548,950,588
10430,10373,10446,11373,11393,11255,12135,12114,11991,14507,4439,2976,8437,8213,10063,5719,758,1801,10028,1008,535,11349,1147,483
12315,12205,12363,13087,13218,13130,13841,13744,13768,15618,4782,2855,10263,9674,11585,7403,939,1499,11867,1191,527,13155,1388,409
14511,14460,14492,15101,15438,15461,15937,15760,15822,17271,5212,2836,12535,11196,13392,9621,1149,1270,13988,1502,462,15011,1671,421
16780,16869,16791,17516,17581,17347,17626,17994,17786,18366,5871,2873,14898,13356,15005,12126,1501,1053,16297,1856,434,17248,2124,388
19175,19347,19431,19920,20032,19887,20256,20033,20249,19786,6623,2742,17932,15561,17352,15051,2061,928,18835,2332,380,19804,2576,348
22077,22058,22279,22460,22455,22412,22206,22250,22332,21313,7147,2754,20658,17664,18959,18499,2829,834,21814,2838,416,22254,3125,407
24857,24939,24835,24583,24671,25025,24665,24473,24806,22469,7878,2955,24106,20695,21604,22195,3606,792,25140,3643,425,24878,3836,430
27475,27935,27892,27538,27096,27176,27278,26993,26840,23972,8735,2934,27707,23564,23563,26373,4889,885,27547,4408,507,27343,4687,488
30490,30741,30703,30078,29826,29838,29344,28647,28987,25020,9845,3139,30968,26560,26027,31321,6194,924,30142,5405,542,29848,5588,532
33414,33378,33334,32418,32019,32218,31226,31364,31291,26387,11056,3268,34689,29734,28427,35920,8075,1007,32942,6651,614,32558,6677,619
35912,35866,35994,34512,34846,34568,33372,33098,33544,27155,11927,3628,37722,32892,30649,40337,10515,1342,35876,8059,784,35096,8008,765
38296,38189,38064,36577,36401,36569,35204,34793,35092,28335,13370,3966,40954,35551,32677,43820,13075,1695,38517,9729,924,36840,9374,930
39708,39994,40123,37852,38010,38208,36432,36484,36254,29154,14340,4237,43202,38496,34760,48243,16215,2235,40613,11646,1174,38749,11237,1190
41522,41435,41568,39490,39400,38961,37534,37493,37988,29638,15867,4786,45645,40386,36967,51518,19774,2719,42208,13579,1414,39484,13164,1395
42559,42392,42683,40337,40212,40257,38631,38639,38024,29924,17127,5347,47109,42926,38423,54012,23831,3722,42997,16256,1772,40800,15018,1686
42983,43089,43061,40440,40776,40794,38741,38693,38924,30098,18408,5879,47691,44444,39675,54527,28284,4696,43646,18421,2260,40861,17175,2097
