1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
46439,44886,40939,44656,42554,37789,43179,40967,35014,32352,22020,7264,57841,44680,21781,55960,38219,10072,53777,32517,6440,41985,20256,2579
45227,44952,41266,43952,43205,37889,42683,41245,35677,32424,23625,8564,56623,48850,25156,54882,42571,12488,52342,36558,8161,41389,22998,3335
44700,44475,41018,42992,42887,38441,42050,41158,36330,31815,24965,9271,53530,51999,28680,52646,46697,15541,50890,40498,9851,40598,25734,4014
42333,43386,40673,41371,41825,38501,40015,41249,36085,30744,26204,10420,49900,53753,31790,49145,50259,18898,47353,44006,12234,39382,28106,4859
40504,41692,39161,38596,40638,37727,37943,40161,35701,29865,27773,11639,45811,54471,35214,45316,52052,22625,44154,47189,15017,37138,31022,5828
37524,39740,37763,36239,39135,36364,35261,38771,35269,28667,29019,12831,40983,54660,38278,40938,53200,26271,39878,49536,18015,35235,33400,7138
34389,37084,35797,33457,37139,35119,32617,36528,34683,27361,29629,13752,36297,53895,40613,36187,54249,30435,35274,50960,21112,33019,35726,8695
31008,34331,33748,30262,33745,33550,29820,34094,33072,26163,30490,15248,31117,50379,42785,31091,53047,34118,30879,51224,24415,30122,37833,9889
27403,31182,30805,27198,31490,31463,27010,31863,31092,24475,31031,16575,26104,47599,44234,26639,51626,37723,26797,50114,27729,27339,39221,11929
24465,27727,28399,24177,28321,29084,24139,29157,29363,22816,31371,18349,21722,43587,44209,21695,48751,40667,22649,48778,31265,24824,40579,13712
21119,24377,25494,21467,25421,26607,21160,26319,27374,21245,31238,19490,17671,39229,43852,18081,45133,42912,18766,46166,34137,22139,41272,16087
18142,21388,22781,18842,22586,24343,18861,23587,25046,19582,31081,20721,13912,33944,42325,14513,40782,44591,15528,42944,36760,19328,41559,18363
15355,18338,20127,15845,19766,21758,16079,20868,22870,17924,30332,22165,11112,29432,40236,11440,36086,45373,12519,39887,38720,16910,41607,20539
12925,15907,17516,13546,16861,19046,13777,18363,20794,16548,29720,23362,8472,24669,37613,9044,31353,44711,9876,35777,40370,14599,40489,23505
10848,13075,15102,11288,14413,16685,11923,15935,18456,14824,29311,24734,6428,20324,34444,6691,26748,43517,7844,31870,40652,12539,39870,25877
9017,10995,13026,9712,12127,14624,10116,13463,16206,13362,28193,25789,4925,16312,30282,5179,22642,41559,6209,28205,41024,10751,38086,28377
7563,8960,10696,8205,10311,12281,8497,11038,13843,12167,26914,26484,3616,12926,26592,3967,18519,38737,4720,23929,40371,9016,36844,30820
6107,7398,8850,6641,8567,10504,7130,9467,12004,10873,25800,27167,2842,10074,22943,2947,15196,35558,3709,20617,39218,7643,33892,33250
4930,6042,7199,5602,6933,8793,5992,8044,10325,9806,24495,28044,2088,7925,19219,2199,11912,31741,2934,17280,37352,6560,31710,35166
4064,4936,5846,4574,5635,7068,5068,6620,8835,8799,22774,28067,1613,5733,15764,1666,9441,28103,2243,14031,35146,5227,29036,37213
3204,3762,4649,3777,4649,5871,4016,5482,7185,7795,21872,28374,1255,4332,12847,1225,7538,24283,1750,11911,32244,4348,26559,38726
2527,2948,3730,3142,3822,4818,3504,4518,6005,7045,19971,28515,938,3231,10162,997,5654,20837,1437,10076,29640,3574,24077,39908
2210,2413,3048,2594,2998,3834,2880,3603,5104,6302,18512,28368,758,2402,8186,806,4457,17397,1222,8472,26549,2987,21447,40398
1662,1871,2352,2103,2405,3174,2464,3060,4130,5731,17488,28027,611,1798,6143,702,3552,14534,987,6937,24127,2420,18784,40675
1384,1436,1811,1691,2000,2574,1979,2474,3386,5135,16185,27890,539,1281,4699,577,2729,11832,812,5860,21390,2027,16487,40429
1071,1116,1408,1338,1569,2053,1748,1845,2771,4659,14623,26772,461,937,3472,541,2308,9655,694,5096,18805,1635,14305,39643
940,931,1130,1211,1229,1645,1472,1663,2314,4129,13576,26430,394,705,2522,501,1992,7860,643,4437,16910,1333,12552,38384
696,695,934,964,986,1373,1229,1372,1843,3937,12420,25579,375,579,2027,467,1747,6367,561,3960,15146,1119,10692,37237
584,550,705,778,807,1072,1151,1185,1536,3487,11438,24526,334,424,1304,520,1689,5261,519,3540,13754,925,9223,35620
469,463,558,739,768,878,945,977,1282,3255,10709,23730,365,404,1095,471,1535,4640,518,3247,12366,695,7749,33672
389,398,478,628,559,694,846,886,1088,3093,9630,22935,355,346,857,470,1645,4149,514,3028,11542,605,6442,31175
337,317,385,531,519,589,798,769,890,2791,8749,21722,315,364,759,474,1671,3857,437,2791,10887,534,5433,29053
291,289,332,447,458,572,683,680,816,2782,7962,20788,325,378,649,508,1713,3741,439,2718,10359,488,4459,26522
269,253,292,468,450,525,678,660,785,2758,7225,20092,282,399,651,518,1842,3893,390,2515,10143,433,3771,23973
211,255,233,402,437,467,631,651,720,2687,6655,18650,305,472,681,498,1937,4229,445,2375,9914,384,3140,21515
250,254,262,385,428,478,571,636,775,2611,6023,17552,271,524,837,541,2112,4676,381,2345,9839,411,2596,19131
206,249,267,406,415,568,583,662,813,2445,5514,16339,306,629,955,500,2020,5121,412,2130,9855,383,2063,17205
228,268,300,413,496,504,670,705,853,2629,5092,15623,299,702,1168,526,2151,5761,421,2033,9856,381,1628,14607
272,295,330,470,564,577,640,837,883,2571,4520,14600,307,761,1374,515,2214,6406,416,1905,9765,403,1434,12819
304,328,379,459,584,640,702,859,1014,2770,4199,13578,296,931,1780,504,2152,6991,441,1812,9724,481,1151,11035
351,407,494,528,640,786,746,972,1226,2837,4001,12585,314,1058,2119,469,2069,7757,529,1625,9562,536,939,9508
385,506,567,581,833,903,911,1155,1365,3048,3749,11738,330,1144,2591,538,2139,8311,431,1436,9528,619,792,8033
463,589,675,666,874,1072,967,1280,1655,3249,3370,10881,307,1325,3092,491,2059,8879,505,1230,9407,727,637,6750
600,713,862,790,1086,1275,1012,1489,1928,3521,3140,9813,401,1384,3557,504,1835,9607,544,1204,8859,930,547,5617
707,880,1055,1010,1258,1560,1249,1629,2215,3877,3007,9072,337,1562,4389,466,1790,9863,589,1066,8523,1089,508,4659
844,1068,1283,1192,1547,1915,1470,1934,2664,4328,2912,8519,415,1695,4962,521,1657,9981,635,920,8000,1270,465,3903
1060,1279,1529,1444,1711,2385,1822,2154,3092,4661,2786,7698,484,1786,5542,534,1577,9964,705,855,7410,1658,385,3183
1310,1603,1990,1743,2125,2782,2054,2657,3575,5104,2752,7191,525,1840,6314,577,1427,9728,838,725,6878,1968,396,2674
1601,2009,2561,2114,2583,3324,2498,2996,4157,5655,2749,6453,646,1871,6850,689,1232,9511,969,654,6166,2450,388,2155
2077,2374,3077,2525,2949,3985,2930,3418,4859,6314,2786,5736,772,1921,7466,779,1067,9058,1196,624,5572,2833,402,1829
2650,2903,3577,3077,3594,4626,3400,4046,5585,7080,2855,5515,916,2004,8017,976,1021,8496,1471,549,4860,3633,391,1512
3220,3465,4449,3775,4125,5354,4232,4567,6373,7877,2872,4935,1200,2153,8450,1294,937,7687,1795,528,4255,4379,490,1182
3978,4239,5291,4499,4904,6375,5012,5297,7251,8811,2938,4467,1605,2161,8845,1663,827,7057,2310,566,3555,5323,485,1011
4891,5190,6490,5587,5824,7195,5928,6196,8204,9724,3314,4186,2143,2320,9009,2185,838,6323,2835,496,3080,6436,606,847
5984,6171,7499,6735,6676,8549,7118,7087,9095,10868,3610,3887,2813,2395,9297,2951,802,5511,3696,603,2587,7563,699,671
7595,7324,8786,8144,7802,9643,8436,8069,10270,12048,3820,3644,3640,2593,9451,3849,886,4745,4843,673,2226,9246,851,578
9009,8680,10353,9773,9206,11192,10022,9228,11655,13488,4268,3414,4805,2827,9274,5043,972,4048,6153,819,1884,10837,1126,533
11085,10322,11753,11425,10662,12661,11868,10809,13031,14913,4604,3212,6543,3254,9169,6854,1162,3359,7772,1033,1552,12748,1368,468
13053,11898,13697,13620,12346,14064,14191,12162,14164,16433,4990,3080,8472,3696,8781,8960,1478,2839,9811,1282,1329,14513,1595,387
15464,13968,15899,15775,14286,15832,16369,13698,15377,17976,5737,3174,10940,4377,8698,11464,1913,2343,12285,1662,1110,16934,2014,408
18255,16439,17626,18360,16167,17542,18638,15589,17285,19317,6446,3125,14015,5321,8614,14514,2598,1959,15402,2180,933,19694,2541,378
21055,18726,19857,21149,18273,19367,21351,17619,18455,21188,7140,3050,17737,6449,8354,17852,3494,1763,18602,2965,886,21855,3066,387
24088,21678,22488,24490,20853,21322,24291,19925,20189,22985,8015,3144,21435,7990,8325,21993,4555,1639,22423,3789,878,24675,3695,469
27470,24338,24331,27469,23433,22998,26904,22033,21866,24358,9057,3279,26217,9860,8424,26425,6036,1569,26613,4974,902,27268,4676,463
30661,27334,26735,30508,26046,25381,29873,24359,23459,25990,10339,3385,31035,12091,8796,31116,7956,1625,31063,6733,984,30056,5545,563
33969,30602,29276,33487,28558,27263,33241,26880,25097,27667,11391,3675,36346,15014,9242,36145,10270,1836,35176,8592,1088,32910,6740,605
37124,33435,31766,36388,31284,29179,35582,29371,26617,28730,12709,4003,40769,18483,10009,40768,13156,2269,40253,10967,1344,35293,8024,752
40105,36136,33744,38999,33845,30998,38034,32065,28529,29841,14114,4421,46376,22266,11200,45042,16366,2809,44129,13358,1732,37818,9539,955
42636,38447,35972,41123,36429,32902,39912,34262,30167,31034,15655,4783,50046,26311,12741,49475,20206,3597,47402,16537,2291,39053,11304,1180
44250,40628,37126,42820,38671,34429,41640,36712,31654,31697,17234,5324,53092,30930,14356,52789,24203,4680,50809,20072,2966,40848,13208,1447
45759,42805,39105,44087,40058,36043,42885,37948,32692,32133,18897,5861,56271,35536,16680,54861,28913,6111,52624,23940,3919,41641,15581,1785
46735,43882,40298,44549,41650,36556,43904,39973,34017,32824,20395,6724,57355,40343,19208,56126,33418,7946,53812,28069,4930,41888,17765,2206
