1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
1053,1028,1052,1572,1505,1503,1964,1861,1921,4659,2816,7958,557,1130,1955,551,1093,8782,988,491,4812,1449,457,3784
1305,1313,1300,1780,1808,1758,2223,2240,2328,5244,2770,7205,705,1284,2372,572,1059,8260,1144,460,4028,1663,386,3084
1631,1650,1583,2160,2214,2142,2707,2758,2737,5803,2742,6585,865,1514,2825,682,863,7933,1374,408,3521,2107,388,2546
2114,2057,2022,2631,2692,2681,3107,3244,3206,6354,2701,5852,1140,1773,3313,816,815,7245,1654,387,2892,2517,403,2052
2484,2603,2585,3191,3253,3330,3820,3902,3943,7219,2687,5322,1337,2189,3928,902,748,6699,2062,360,2410,3108,391,1760
3249,3263,3189,3967,4027,3904,4580,4723,4602,7909,2919,4718,1670,2370,4458,1172,661,6083,2508,366,2087,3881,452,1397
3936,3945,3998,4787,4766,4793,5407,5338,5479,8706,2997,4379,2142,2835,5393,1432,603,5447,2955,424,1633,4639,481,1110
4762,4844,4946,5776,5787,5819,6386,6575,6512,9856,3198,3967,2721,3365,6222,1831,556,4731,3669,453,1441,5576,500,943
5999,6063,5997,6874,6876,6897,7577,7681,7766,10703,3428,3559,3383,3704,7104,2484,591,4148,4582,493,1246,6757,626,783
7273,7259,7092,8221,8127,8194,8947,9125,9010,11849,3681,3471,4251,4382,7945,3122,570,3533,5653,558,1044,8010,723,635
8717,8541,8735,9547,9886,9629,10598,10354,10414,13136,3874,3279,5616,5162,8901,4179,681,2845,7042,712,810,9547,951,588
10412,10363,10455,11344,11344,11241,12042,12058,12027,14456,4401,3009,6869,5968,9926,5336,803,2465,8380,783,732,11350,1147,483
12300,12197,12354,13053,13184,13146,13791,13560,13710,15648,4788,2849,8564,7073,10976,7031,977,2061,10145,1106,621,13156,1388,409
14509,14437,14496,15101,15382,15420,15849,15695,15768,17239,5193,2859,10580,8561,12065,9192,1263,1728,12351,1276,524,15011,1671,421
16766,16846,16781,17494,17594,17314,17661,17921,17752,18305,5873,2835,13138,9848,13501,11690,1641,1485,14962,1656,519,17243,2124,388
19158,19351,19419,19885,19978,19859,20152,19892,20149,19709,6621,2780,15916,11506,14582,14689,2235,1231,17348,1989,461,19809,2576,348
22095,22025,22263,22472,22401,22416,22268,22163,22244,21382,7122,2767,19366,13538,16012,18299,3051,1073,20657,2749,465,22252,3125,407
24856,24918,24824,24568,24601,24963,24649,24305,24677,22455,7849,2945,23073,15908,17332,22002,3949,1048,23869,3394,464,24877,3837,430
27463,27931,27881,27531,27042,27165,27175,26892,26792,24086,8692,2937,27006,18438,18719,26424,5266,1088,27640,4254,537,27344,4687,488
30515,30726,30660,30075,29819,29774,29427,28561,28717,24882,9967,3107,31312,21784,20631,31135,6876,1152,30945,5331,588,29849,5588,531
33420,33369,33317,32418,31944,32135,31257,31286,31246,26522,11011,3300,35350,24850,22114,36019,8898,1301,33957,6813,643,32556,6675,620
35905,35847,35989,34551,34851,34575,33378,33009,33371,27258,11947,3616,39522,28368,24175,40647,11581,1653,37512,8316,816,35099,8012,765
38294,38195,38032,36591,36351,36488,35367,34701,35000,28308,13379,3979,43337,31670,26085,44669,14328,2087,40580,10269,986,36837,9371,930
39747,39982,40104,37995,38009,38095,36478,36477,36086,29244,14331,4248,46512,35418,28017,48601,17794,2579,43527,12331,1282,38747,11237,1190
41518,41444,41548,39483,39360,38887,37662,37494,37839,29667,15904,4826,49353,38889,30132,52724,21673,3477,45314,15060,1655,39496,13163,1395
42602,42391,42682,40402,40225,40307,38775,38574,37918,30068,17162,5337,50819,41947,32277,54339,25918,4555,47172,17680,2111,40788,15020,1687
42957,43117,43039,40452,40863,40726,38887,38872,38798,30150,18446,5877,52050,44652,34134,55431,30740,5842,47563,20834,2554,40866,17177,2095
