1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43333,43331,42888,40719,40683,40610,38975,38964,38553,30105,19962,6429,49213,46515,39158,55207,33318,6765,45094,22141,2836,41128,19947,2625
42744,42640,42513,40452,40190,40387,38402,38506,38216,29800,21370,7308,48643,47161,39965,53589,37951,8625,44633,25217,3632,40478,22228,3095
41791,41400,41584,39292,39373,39468,37482,37475,37670,29474,22412,7994,47247,46996,40846,51520,42153,10563,43065,28174,4576,39832,24768,3940
39731,39833,40008,37814,38164,37969,36328,36559,36320,28989,23792,8753,44231,46579,40630,48702,45713,13113,41710,31158,5567,38394,27166,4607
38106,38511,38133,36626,36376,36405,34733,34982,35118,28339,25174,9867,42104,44927,40219,44673,48807,16214,38902,34432,6853,36651,29747,5511
35956,35839,35936,34836,34420,34606,33195,33020,33226,27183,26180,10933,38355,42783,39475,40689,50352,19243,36609,36755,8402,34702,32765,6825
33681,33176,32967,32220,32353,32296,31325,31243,30971,26220,27156,11960,34419,40482,37944,35570,51985,22368,33787,38804,9786,32569,34716,7975
30601,30673,30444,29477,29746,30122,29274,29165,29267,25022,28185,13161,31225,37304,36144,31173,52239,25829,30604,41147,11793,30027,36554,9600
28032,27862,27642,27425,27324,27588,26885,27052,26666,23821,29272,14508,27212,33488,33907,26622,51391,29561,27198,42276,13793,27401,38407,11196
25022,24942,24834,24827,24931,24540,24474,24617,24710,22530,29508,15514,23641,30190,31210,22114,49645,32766,24350,43089,16092,25028,39431,13113
22016,21911,22080,22231,22276,22456,22313,22192,22463,21424,29674,16962,20124,26794,28749,18353,46883,35894,21413,43731,18587,22225,40618,15282
19105,19458,19464,19863,19635,20114,19681,20189,20154,19989,29993,18204,17053,23266,25692,14918,43712,38280,18468,43221,21007,19670,41116,17350
16963,16632,16975,17599,17626,17498,17842,18005,18074,18359,30208,19905,14394,19659,22816,12089,39579,40654,15603,42293,23628,17352,41249,19718
14464,14494,14711,15309,15262,15439,15809,15903,15963,17050,29919,21202,11833,16524,19977,9279,35542,41738,13572,41207,26385,14945,40466,22068
12261,12360,12426,13342,13139,13229,13983,13726,13754,15639,29282,22503,9697,13784,17160,7310,31393,42388,11439,39528,28632,13058,39846,25053
10417,10430,10642,11337,11187,11487,11961,12288,12179,14564,28439,23845,7921,11284,14886,5541,27150,41425,9537,36786,31001,11198,38684,27751
8675,8702,8730,9639,9675,9556,10419,10400,10567,13066,27982,25028,6402,9075,12094,4416,23055,40600,7910,34628,33026,9426,36662,29916
7131,7194,7341,8016,8208,8132,9099,8872,8780,11967,27380,26314,5125,7467,10041,3388,19331,39166,6540,32001,35065,8085,35174,32432
6038,6078,5833,6861,6798,6782,7621,7841,7650,10789,25991,27450,3947,5766,8464,2538,15998,36858,5454,29335,37018,6660,32270,34843
4966,4911,4897,5758,5677,5681,6539,6456,6558,9748,25223,28518,3287,4551,6774,2006,13168,34096,4388,26468,38598,5710,29928,36605
4037,3956,3927,4761,4879,4625,5379,5491,5622,8808,23849,28819,2624,3488,5415,1514,10916,31301,3594,23564,39135,4576,27495,38610
3222,3302,3133,4043,3986,3891,4709,4717,4693,7852,22374,29706,2107,2786,4228,1239,8886,28434,2930,21080,39302,3776,25299,39964
2533,2558,2567,3325,3289,3160,3862,3958,3967,7279,20868,29898,1740,2133,3229,992,7436,25683,2464,18670,39314,3173,22238,40743
2100,2063,2009,2697,2673,2543,3210,3253,3251,6417,19947,30097,1304,1648,2583,855,6099,22376,2022,16251,38973,2585,19647,41371
1684,1612,1602,2197,2158,2222,2684,2801,2678,5655,18334,30125,1067,1349,2084,673,5058,19873,1533,14324,38133,2096,17186,41023
