1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43327,43341,42884,40708,40692,40603,38949,38954,38538,30079,19935,6432,47607,45868,40459,54314,32094,6068,43646,21091,2717,41128,19947,2625
42748,42629,42518,40434,40183,40395,38434,38518,38235,29796,21368,7315,46523,45608,41624,53341,36620,7855,43062,24017,3359,40478,22228,3095
41785,41399,41583,39296,39355,39476,37442,37447,37644,29451,22415,7980,45660,45690,41034,51139,40669,9633,41826,26710,4248,39832,24767,3940
39742,39833,40007,37817,38165,37963,36311,36559,36355,28981,23790,8754,42738,44200,40563,48388,44579,11900,40341,29827,5136,38394,27167,4607
38093,38515,38127,36604,36380,36405,34743,34944,35107,28334,25154,9850,40781,42646,39958,44368,47225,14712,38005,32344,6234,36651,29747,5511
35955,35839,35938,34843,34406,34608,33170,32996,33183,27208,26161,10941,37662,40651,38168,40560,49768,17728,35857,35146,7737,34701,32765,6825
33683,33173,32966,32214,32355,32271,31311,31222,30962,26204,27139,11960,34183,38143,36759,35443,50950,20525,33218,37331,9010,32570,34716,7975
30603,30677,30450,29484,29734,30132,29286,29155,29270,24974,28181,13143,30941,34619,34179,31194,51420,24033,30504,39157,10838,30027,36554,9600
28028,27859,27637,27423,27332,27584,26840,27046,26647,23853,29262,14495,27367,31711,31805,26612,51058,27412,27347,40832,12792,27400,38407,11196
25027,24936,24829,24836,24924,24539,24510,24581,24694,22553,29478,15522,24280,28463,29130,22222,49861,30520,24666,41846,14711,25029,39430,13113
22011,21916,22083,22216,22265,22445,22313,22191,22433,21388,29715,16949,20672,25100,26286,18454,46928,34097,21759,42160,17151,22225,40619,15282
19112,19457,19461,19876,19636,20118,19700,20198,20159,20000,29960,18205,17796,21833,23526,14994,44212,36272,19008,42651,19312,19670,41116,17350
16956,16631,16974,17604,17620,17490,17830,17984,18077,18346,30203,19895,15209,18514,20674,12353,40415,38866,16239,41874,22081,17352,41249,19718
