1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43712,43636,42800,41501,41027,40373,40188,39588,38174,30720,20628,6730,55760,47098,30012,55907,36488,8791,51046,27579,4325,41117,19938,2621
43150,42800,42393,40921,40708,40228,39478,39177,38025,30545,21654,7260,54504,49390,32694,54609,41276,11197,50299,31356,5471,40578,22247,3104
42182,41966,41597,39872,39988,39404,38634,38713,37334,30058,23374,8351,52050,51517,35192,52145,45150,13643,48300,35198,6931,39879,24846,3952
40103,40216,40124,38492,39165,38183,37060,37736,36491,29587,24226,9050,48571,51994,37475,49073,49057,16818,45818,38542,8570,38378,27184,4615
38245,38854,38356,37112,36896,36594,35806,36079,35335,28683,25729,10198,44778,52169,39276,45400,51404,20143,42271,41981,10436,36718,29728,5519
36298,36279,36044,35064,35418,34993,33807,34319,34252,27696,26671,11305,40398,51377,40807,40962,52432,23632,39019,44465,12653,34670,32844,6826
33688,33641,33366,32343,32720,32848,31513,32493,31649,26611,27728,12369,35810,48952,41610,36048,53498,27640,35183,46608,15040,32592,34715,8002
30602,31057,30775,29676,30544,30627,29427,30146,29960,25233,29136,13545,31201,45514,41699,31048,53160,31484,30893,48173,17705,29989,36652,9641
28146,28073,27890,27416,28005,28129,26972,27989,27871,23938,29844,14971,26451,42053,40958,26460,51574,34947,26973,48118,20771,27464,38480,11189
24827,25291,25383,24756,25390,25366,24423,25739,25418,22855,29826,16125,22193,37993,39755,21934,49030,38036,23118,47695,23727,25021,39464,13118
21869,22151,22363,22069,22711,23103,21903,23000,23502,21154,30036,17192,18205,33924,38509,18152,46260,41037,19559,46742,26933,22216,40672,15338
19140,19685,19825,19691,20103,20542,19699,20832,21272,19959,30567,19141,14869,29291,35515,14606,41714,42720,16425,44204,29269,19637,41084,17413
16742,16874,17296,17269,17927,18242,17245,18570,19042,18233,30329,20323,11959,24987,33119,11632,37477,44064,13555,42400,31929,17361,41325,19727
14214,14506,14941,15085,15324,15878,15312,16396,16915,16927,29799,21676,9403,21177,29779,8931,32739,44277,10961,39253,34263,14916,40443,22140
12083,12481,12724,12976,13361,13815,13542,14001,14627,15483,29462,22929,7276,16809,26415,6807,28430,43282,8916,36090,36053,13014,39896,25044
10232,10500,10808,10940,11278,11706,11579,12448,12862,14182,28708,24331,5622,13681,22443,5274,23662,41817,7135,32507,37699,11215,38634,27744
8550,8586,8947,9433,9768,10049,9926,10498,11014,13074,27663,25483,4373,10919,19684,4084,19988,39851,5683,28879,38932,9410,36678,29967
7047,7295,7475,7757,8242,8358,8487,8949,9438,11483,27092,26468,3449,8433,16427,3018,16415,37086,4623,25881,39360,8061,35109,32510
5845,5977,5954,6604,6756,7129,7292,7709,8139,10512,25877,27803,2636,6373,13668,2334,13210,33946,3634,22319,38772,6653,32236,34838
4869,4873,4963,5567,5681,5761,6015,6468,6887,9478,24560,28361,2024,5031,11037,1774,10438,30416,2937,19473,38166,5702,29915,36571
3941,4010,3955,4551,4740,4770,5253,5389,5897,8481,23429,28925,1573,3778,8967,1312,8471,26679,2366,16651,36957,4568,27444,38635
3129,3194,3191,3922,3925,4044,4308,4611,4916,7751,21767,29668,1235,2770,6906,1066,6689,23523,1810,14377,35614,3753,25268,39983
2466,2550,2597,3150,3282,3199,3558,3863,4136,7057,20474,29485,1027,2067,5379,837,5232,20051,1555,12204,33925,3170,22202,40739
2096,2055,2051,2579,2605,2630,2990,3209,3372,6107,19485,29760,796,1541,4160,727,4310,17036,1179,10552,31670,2577,19593,41328
1605,1582,1643,2136,2110,2176,2478,2675,2753,5574,17674,30003,646,1203,3122,606,3480,14403,1060,8987,29313,2086,17168,41056
1345,1265,1216,1684,1658,1831,2044,2203,2317,5176,16430,29294,554,859,2351,532,2970,12286,876,7797,27503,1747,15200,40822
1017,1052,1021,1324,1442,1481,1779,1789,1899,4489,15316,28875,516,643,1672,529,2517,10135,761,6791,25774,1463,13043,39440
802,829,836,1142,1159,1236,1448,1514,1623,4205,13937,28490,388,523,1352,500,2245,8603,648,5721,23710,1153,11223,38229
690,628,729,987,941,1037,1358,1217,1454,3771,12769,27045,373,408,973,471,2100,7378,575,5060,21830,933,9621,36866
530,524,566,808,789,817,1064,1095,1122,3570,11585,26263,354,308,699,473,1957,6525,518,4607,20227,749,8141,34646
431,417,435,618,663,700,940,949,1009,3200,10515,25514,283,319,620,462,2021,6006,452,3946,18557,629,6714,32394
379,388,407,578,599,566,859,856,840,3135,9616,24483,268,270,497,454,1986,5676,402,3494,17212,543,5644,29851
305,295,308,525,523,507,741,778,744,2922,8867,22978,246,267,447,459,2097,5517,396,3104,16277,511,4723,27588
285,282,246,483,499,498,724,694,673,2735,7774,22029,259,256,435,443,1983,5629,358,2701,15183,460,3821,24629
248,271,273,405,408,424,605,608,673,2650,6851,20639,264,280,402,454,2126,5871,367,2510,14392,405,3234,22252
232,242,228,434,460,424,681,665,636,2733,6403,19362,246,348,473,468,2154,6151,311,2217,13305,360,2640,19828
230,245,219,443,418,425,616,635,657,2608,5833,18092,237,372,505,461,2094,6587,401,2002,12282,402,2071,17231
229,250,256,415,421,446,639,733,686,2719,5123,16762,227,425,641,466,2185,7015,340,1778,11952,401,1673,14872
312,274,302,437,460,566,697,682,738,2748,4753,15242,248,439,815,452,2009,7482,396,1482,11294,434,1393,13172
309,302,307,465,568,529,781,773,833,2753,4335,14075,254,599,943,499,2025,8031,400,1296,10309,474,1191,11144
360,367,392,616,627,616,847,878,931,3137,3907,12841,268,651,1134,441,1939,8573,416,1210,9725,558,902,9396
434,443,435,676,694,686,954,988,980,3065,3589,11843,325,783,1446,472,1862,8868,462,988,8967,622,792,7996
508,521,571,790,827,817,1118,1152,1268,3654,3309,10904,311,894,1770,460,1784,9576,529,964,8237,745,606,6596
653,706,686,949,1031,990,1258,1378,1459,3817,3187,9747,350,967,2085,448,1595,9412,579,782,7494,960,550,5463
821,855,817,1148,1139,1217,1489,1618,1653,4127,2940,8918,434,1164,2541,522,1550,9457,664,702,6695,1152,503,4665
1037,1022,1057,1464,1510,1513,1865,1904,2039,4600,2838,8085,489,1265,2928,510,1377,9440,767,612,6023,1438,457,3793
1263,1311,1315,1806,1808,1817,2078,2158,2377,5000,2666,7181,530,1470,3474,575,1247,9233,871,564,5425,1663,384,3078
1593,1610,1645,2048,2181,2230,2552,2615,2839,5634,2720,6669,696,1639,4062,614,1088,8890,1043,472,4592,2108,392,2557
2063,2050,2030,2522,2631,2747,2974,3302,3422,6182,2815,5936,761,1829,4658,752,1020,8449,1320,472,3995,2501,398,2030
2438,2592,2653,3106,3161,3393,3568,3753,4041,7010,2630,5345,969,2029,5315,826,919,7819,1512,429,3508,3106,389,1781
3180,3188,3175,3757,3965,4006,4297,4471,4716,7799,2840,4859,1264,2289,6091,1074,819,7230,1866,413,2913,3857,448,1392
3827,3888,4088,4604,4700,4897,5114,5244,5638,8447,2963,4433,1618,2459,6568,1367,740,6445,2386,399,2471,4634,487,1125
4616,4817,4950,5545,5569,5796,6086,6109,6616,9528,3128,4067,1993,2746,7464,1715,692,5949,2832,414,2086,5586,493,944
5870,5943,5976,6656,6648,6932,7203,7393,7761,10519,3311,3665,2687,2910,7968,2289,664,5175,3568,499,1741,6738,633,775
7186,7139,7179,7949,7904,8057,8449,8705,9068,11457,3698,3546,3384,3428,8612,3028,699,4426,4551,540,1517,7963,721,644
8526,8349,8685,9365,9514,9766,10074,9859,10356,13056,3874,3318,4406,3763,9212,3922,743,3741,5659,595,1262,9561,928,584
10319,10225,10500,11075,11056,11122,11746,11490,11600,14165,4320,2970,5662,4241,9736,5222,890,3192,6982,740,1139,11285,1156,480
12149,11926,12184,12790,12825,13007,13315,12813,13612,15461,4734,2952,7272,5096,10365,6853,1006,2598,8948,983,853,13178,1400,417
14345,14122,14409,14791,14795,15274,15406,14878,15553,16890,5116,2867,9373,5963,10901,9078,1387,2205,10813,1155,751,14980,1658,419
16614,16566,16688,17219,17187,17097,17440,17078,17203,18394,5727,2868,11904,6993,11624,11534,1789,1799,13454,1610,657,17223,2116,394
19016,18980,19201,19667,19369,19531,19692,19057,19664,19747,6645,2813,14692,8218,12059,14579,2389,1655,16323,2057,646,19807,2574,345
21886,21743,22036,22258,21655,21937,22137,21242,21530,21388,7010,2898,18211,9856,12464,18115,3243,1355,19581,2500,572,22222,3131,403
24871,24545,24515,24579,24153,24270,24605,23623,23690,22518,7795,2876,22145,11642,13184,21923,4278,1285,22817,3381,561,24922,3835,438
27307,27573,27631,27440,26510,26842,27124,25955,25911,24051,8896,3025,26332,14007,13834,26329,5604,1299,26860,4501,612,27309,4679,485
30676,30316,30160,30183,29371,29132,29694,27806,27685,25344,9760,3089,31202,16772,14851,31172,7434,1381,30943,5722,683,29847,5568,528
33423,33214,33028,32655,31557,31445,31600,30256,30139,26580,11129,3395,36214,20186,16016,36133,9560,1532,35644,7118,782,32601,6705,628
36162,35719,35506,34823,34273,33722,33909,32481,32103,27763,12246,3643,40605,23185,17349,40701,12447,1941,38792,9188,985,35106,7992,756
38602,37935,37693,37074,36124,35893,35967,34543,33992,28914,13293,3981,44680,27447,19024,44986,15388,2470,42800,11395,1231,36810,9382,927
40067,39858,39640,38604,37856,37451,37328,35923,35382,29469,14702,4429,48815,31257,20566,49197,19068,3027,45457,13975,1555,38797,11226,1191
41868,41354,41130,40002,39194,38309,38689,37590,36428,30100,16112,4862,51958,35190,22466,52686,23076,4058,48599,16887,2011,39528,13166,1407
42821,42466,42361,40970,40484,39758,39590,38663,37361,30741,17460,5420,53904,39999,25096,54632,27492,5287,50251,20195,2645,40892,15042,1686
43374,43261,42854,41239,41000,40096,39961,39287,37798,30648,18795,5960,55020,43305,27704,55976,32158,6822,51192,23798,3375,40892,17190,2093
