1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43454,43357,42827,40956,40774,40528,39281,39215,38552,30314,20173,6492,53584,47065,33989,55903,35595,8074,49329,25335,3557,41121,19941,2624
42826,42695,42495,40550,40285,40364,38738,38571,38147,30032,21450,7295,52557,49050,36053,54317,40224,10249,48026,28849,4562,40494,22224,3099
41857,41531,41566,39474,39451,39527,37900,37998,37561,29684,22711,8168,50337,50184,37883,51900,44393,12657,46495,32130,5897,39827,24781,3941
39733,39800,40050,37879,38476,38014,36514,36772,36463,29203,23984,8805,47717,50893,39155,49123,47854,15645,44604,36280,7147,38385,27170,4608
38185,38623,38207,36788,36414,36453,35175,35353,35091,28438,25369,9914,43880,49964,40353,45208,50607,18849,41272,38334,8859,36649,29737,5513
36027,35911,35942,34926,34772,34695,33368,33374,33672,27372,26330,11097,39887,48270,40925,40910,52117,22053,38294,42057,10689,34703,32775,6825
33680,33241,33086,32303,32431,32354,31446,31634,31135,26326,27387,12160,35603,45669,40643,35953,52897,25846,34563,43715,12540,32571,34721,7970
30557,30783,30500,29486,29968,30267,29281,29503,29561,25116,28408,13141,30965,42817,40046,30946,53037,29625,30764,45211,15122,30028,36551,9603
28086,27912,27677,27378,27429,27768,26822,27335,26983,23946,29396,14642,26720,38870,38623,26584,51669,33276,27134,46574,17656,27407,38410,11199
24971,24965,24953,24862,25120,24729,24543,24878,24905,22594,29644,15781,22585,35214,37024,21941,49362,36460,23825,46287,20362,25036,39444,13105
22015,21983,22058,22209,22303,22592,22166,22519,22801,21212,29857,17032,18772,31006,34812,18272,46464,39210,19918,45954,23405,22222,40631,15299
19111,19461,19550,19733,19726,20222,19663,20387,20494,20010,30142,18394,15629,26854,31804,14610,42324,41584,17235,44331,25988,19662,41101,17358
16899,16704,17021,17565,17729,17695,17768,18155,18318,18421,30256,20078,12783,23205,28922,11750,38231,43262,14258,42740,28596,17349,41256,19716
14412,14504,14779,15224,15263,15545,15544,16072,16274,16985,30037,21314,10042,18875,25732,9052,33746,43640,11934,40237,31061,14953,40463,22080
12229,12359,12496,13268,13188,13392,13908,13826,14004,15643,29151,22735,8138,15507,22495,6875,29285,43049,9561,37794,33175,13051,39861,25040
10389,10461,10639,11233,11235,11501,11882,12323,12375,14397,28549,24023,6286,12689,19477,5338,24804,41909,8044,34748,34998,11201,38671,27750
8646,8679,8788,9619,9669,9692,10236,10456,10670,13012,27959,25192,4989,10070,16423,4184,20724,40272,6358,31274,36890,9419,36673,29909
7114,7206,7365,7899,8194,8164,8863,8851,9043,11889,27313,26280,3840,7877,13708,3085,17290,37893,5227,28257,38210,8081,35166,32441
6016,6064,5854,6839,6826,6860,7518,7753,7769,10664,25913,27566,3066,6006,11415,2402,14044,34792,4250,25042,38975,6666,32264,34857
4954,4889,4908,5686,5688,5701,6374,6494,6654,9730,24946,28543,2390,4736,9173,1830,11337,31847,3415,22298,38580,5701,29939,36604
4015,3972,3945,4723,4795,4660,5320,5451,5672,8652,23747,28880,1887,3542,7279,1387,9135,28391,2787,19443,38025,4580,27483,38617
3204,3286,3120,4041,4011,3912,4580,4707,4736,7823,22195,29654,1462,2757,5736,1111,7340,25015,2237,16853,37639,3775,25291,39951
2520,2569,2581,3260,3294,3195,3778,3903,4021,7194,20827,29761,1216,2024,4490,928,5855,21818,1749,14711,36609,3176,22245,40740
2092,2047,2011,2660,2651,2560,3135,3256,3297,6273,19755,29942,948,1534,3341,688,4842,18645,1480,12481,35105,2581,19624,41366
1667,1609,1625,2186,2144,2201,2622,2747,2708,5628,18120,30169,782,1173,2575,632,3945,16320,1190,10970,33135,2097,17185,41024
1380,1316,1233,1727,1698,1785,2134,2243,2250,5234,16801,29742,665,887,1941,585,3346,13666,1013,9222,31499,1754,15232,40886
1035,1061,999,1425,1456,1454,1873,1883,1908,4800,15589,29411,555,656,1499,553,2893,11800,817,8140,29595,1453,13087,39463
816,828,844,1161,1187,1246,1534,1549,1570,4213,14294,28742,461,513,1112,490,2574,10120,731,7048,27906,1155,11220,38303
724,641,706,1003,974,1021,1360,1330,1379,3865,12958,27757,370,437,811,483,2391,8978,655,6000,26155,939,9637,36871
522,539,581,824,821,835,1121,1118,1218,3595,11831,26554,327,352,630,432,2237,7888,543,5286,24176,760,8172,34694
437,427,444,631,682,687,928,955,970,3352,10820,26121,332,290,526,433,2259,7197,484,4451,22483,625,6713,32454
391,380,398,593,591,599,911,901,850,3213,9785,24801,264,279,423,431,2135,6864,412,3889,20511,542,5672,29854
300,302,316,537,557,476,751,800,713,2920,8926,23304,262,248,393,446,2173,6606,376,3468,19152,511,4727,27636
280,286,239,462,495,513,728,693,694,2681,8024,22529,245,228,387,431,2201,6761,374,2918,17750,457,3821,24637
254,272,272,434,439,428,650,625,660,2745,6921,21115,247,236,348,400,2204,6889,346,2514,15883,404,3236,22300
234,246,233,437,442,405,662,663,644,2773,6489,19531,221,273,353,473,2131,6970,336,2278,15116,364,2625,19831
228,240,221,440,433,409,675,662,641,2616,5852,18423,240,298,365,395,2090,7455,389,1884,14054,402,2079,17219
250,254,253,420,405,446,631,710,632,2790,5284,16946,220,363,502,462,2071,7734,371,1676,12640,398,1682,14940
313,279,297,440,475,562,732,704,741,2736,4752,15426,206,401,596,459,1949,8203,363,1411,11542,439,1406,13153
301,307,297,472,541,529,797,782,788,2892,4375,14265,253,435,715,433,1925,8620,395,1180,10723,476,1176,11122
364,353,388,620,618,591,856,859,933,3129,3938,12972,302,536,890,427,1853,8800,449,1080,9553,557,904,9388
450,435,435,698,710,678,972,981,960,3197,3635,11779,300,635,1032,437,1754,9233,470,934,8594,624,785,8040
527,513,562,839,821,782,1146,1111,1195,3643,3344,10981,334,736,1320,458,1558,9379,556,779,7673,747,610,6595
648,714,659,970,1020,981,1339,1395,1384,3848,3163,9786,382,885,1649,465,1499,9273,621,702,6782,961,547,5445
850,862,803,1174,1147,1151,1593,1671,1575,4300,2939,8901,460,1035,1906,496,1367,9182,724,597,6022,1151,503,4658
1040,1030,1054,1552,1513,1523,1913,1844,1960,4611,2823,7937,566,1125,2318,513,1245,9162,877,535,5244,1446,457,3781
1300,1309,1302,1789,1805,1758,2174,2241,2333,5140,2746,7218,631,1353,2738,593,1103,8636,1074,468,4547,1666,385,3087
1626,1645,1602,2138,2206,2133,2670,2733,2769,5809,2752,6586,754,1512,3281,652,1025,8401,1227,450,3832,2107,389,2548
2121,2053,2012,2612,2688,2708,3077,3208,3252,6312,2731,5874,936,1869,3748,789,857,7738,1504,400,3343,2515,404,2049
2473,2595,2597,3158,3239,3349,3781,3872,3950,7174,2672,5316,1235,2043,4336,896,804,7166,1808,407,2704,3103,390,1760
