1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43370,43338,42866,40759,40686,40595,39038,39028,38488,30244,20073,6477,52258,46976,36290,55841,34886,7655,47511,23859,3200,41128,19946,2625
42776,42639,42558,40467,40269,40374,38629,38572,38252,29864,21393,7294,51182,48589,37584,54033,39452,9701,47139,27685,4230,40479,22224,3095
41813,41464,41583,39373,39370,39472,37700,37634,37624,29516,22544,8071,49445,49460,38990,51762,43794,11936,45276,30624,5299,39824,24773,3942
39737,39791,39989,37851,38264,38015,36341,36652,36264,29112,23889,8767,46746,49238,40032,49073,47121,14753,43492,34169,6547,38400,27170,4607
38132,38568,38154,36653,36391,36401,34945,35115,35212,28361,25213,9877,43331,48559,40679,45077,50118,18160,40768,37267,7971,36651,29740,5510
35971,35825,35942,34921,34528,34658,33171,33235,33349,27254,26302,10996,39447,46238,40322,40873,51579,21065,37488,39699,9728,34705,32765,6827
33668,33179,32992,32247,32433,32305,31427,31339,31023,26323,27207,12096,35221,43816,39989,35879,52769,24646,34344,42019,11569,32559,34720,7972
30587,30709,30475,29411,29753,30176,29275,29302,29437,25035,28231,13059,31058,40831,38813,30980,52778,28384,30779,43852,13686,30032,36550,9604
28077,27894,27612,27449,27367,27617,26869,27169,26800,23847,29355,14607,26777,37051,37086,26567,51593,32105,27137,44999,16131,27404,38409,11194
24983,24947,24905,24839,24973,24625,24510,24716,24752,22524,29498,15643,22951,33291,35074,22054,49591,35366,23989,45436,18707,25030,39432,13111
22015,21945,22049,22250,22304,22507,22198,22341,22586,21396,29817,17006,19247,29472,32285,18289,46440,38235,20513,44973,21355,22225,40622,15289
19104,19460,19491,19828,19700,20120,19690,20273,20297,20017,30062,18282,16037,25736,29774,14724,42902,40420,17477,44274,24111,19669,41110,17350
16951,16630,17014,17578,17642,17581,17813,18026,18165,18314,30213,19928,13433,21742,26557,11730,38648,42522,15035,42743,26761,17350,41259,19714
14441,14507,14715,15265,15265,15483,15707,15981,16089,17033,30035,21226,10612,17843,23529,9130,34438,43225,12390,40842,29141,14945,40459,22075
12263,12369,12447,13316,13140,13267,13956,13735,13858,15657,29173,22651,8469,14959,20657,6991,29872,42864,10219,38194,31590,13057,39848,25051
