1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43391,43352,42861,40788,40714,40607,39123,39035,38451,30255,20098,6461,52469,46961,35849,55857,34974,7766,47933,24123,3273,41127,19943,2626
42776,42645,42567,40462,40246,40364,38640,38646,38204,29888,21392,7305,51541,48761,37084,54127,39678,9777,47218,27912,4281,40477,22225,3095
41832,41483,41544,39437,39401,39454,37701,37656,37677,29575,22596,8082,49520,49662,38822,51843,43963,12109,45614,30990,5436,39829,24778,3942
39732,39797,40003,37823,38281,38037,36354,36653,36262,29103,23876,8767,46921,49569,40116,49007,47256,14984,43774,34617,6666,38397,27164,4607
38126,38565,38166,36692,36394,36389,34998,35145,35213,28388,25216,9899,43600,48800,40645,45087,50250,18218,40751,37429,8121,36651,29741,5511
35981,35820,35952,34896,34557,34673,33187,33220,33395,27283,26342,11016,39497,46707,40355,40914,51616,21257,37750,40202,9892,34711,32768,6824
33670,33206,33006,32269,32421,32325,31452,31377,30995,26309,27204,12128,35342,44227,40041,35885,52745,24960,34357,42298,11778,32552,34722,7973
30581,30717,30469,29441,29785,30175,29248,29353,29496,25064,28287,13059,30955,41202,39053,30991,52944,28690,30811,44146,13935,30030,36546,9605
28079,27901,27623,27416,27407,27644,26893,27210,26818,23811,29345,14590,26859,37422,37521,26545,51555,32371,27170,45355,16445,27409,38416,11193
24972,24936,24910,24837,24962,24647,24494,24725,24790,22557,29546,15660,22836,33732,35432,22036,49659,35647,23911,45603,18995,25029,39428,13114
22041,21964,22065,22252,22325,22527,22204,22360,22626,21409,29805,17021,19167,29701,32785,18260,46377,38437,20368,45255,21862,22225,40626,15287
19076,19455,19484,19817,19693,20117,19691,20309,20288,19988,30080,18301,15935,25965,30231,14692,42825,40554,17403,44305,24484,19669,41107,17353
16954,16628,17016,17589,17652,17585,17766,18049,18212,18295,30242,19968,13303,22063,27043,11773,38526,42740,14899,42768,27155,17349,41254,19712
14445,14508,14733,15257,15271,15506,15727,15983,16112,17073,29986,21246,10482,18080,24027,9106,34338,43412,12320,40645,29390,14944,40465,22076
12264,12365,12452,13298,13135,13277,13927,13745,13894,15649,29195,22659,8349,15066,21036,6997,29670,42790,10111,38150,31955,13057,39848,25052
10402,10441,10627,11304,11212,11492,11961,12365,12260,14495,28468,23925,6829,12209,17800,5354,25433,41806,8259,35802,33889,11198,38686,27746
8661,8691,8759,9609,9689,9619,10303,10426,10618,13006,28002,25069,5237,9742,15288,4225,21444,40514,6881,32258,35710,9428,36653,29915
7120,7202,7352,7975,8193,8152,9004,8827,8893,11936,27336,26309,4232,7755,12415,3175,17531,38325,5598,29266,37239,8080,35179,32434
6025,6068,5832,6823,6813,6824,7564,7806,7697,10724,25932,27518,3216,5807,10504,2434,14580,35178,4522,26536,38733,6665,32268,34850
4974,4896,4902,5750,5678,5657,6451,6468,6605,9747,25034,28469,2609,4604,8331,1867,11626,32389,3661,23415,38813,5708,29927,36608
4020,3969,3932,4753,4850,4647,5384,5483,5643,8741,23919,28859,2103,3509,6719,1373,9675,29297,3015,20805,38530,4576,27496,38609
3221,3304,3125,4019,4003,3902,4637,4708,4727,7850,22193,29713,1629,2740,5175,1224,7746,25956,2439,17936,38069,3776,25294,39953
2526,2549,2581,3320,3281,3178,3810,3946,3978,7228,20923,29780,1279,2107,4182,882,6140,22661,1921,15757,37683,3175,22240,40744
2103,2058,2009,2680,2655,2550,3173,3244,3288,6348,19797,30101,1091,1481,3036,714,5165,19670,1599,13774,36434,2581,19648,41368
1676,1615,1608,2186,2159,2208,2652,2763,2696,5627,18234,30118,827,1243,2399,660,4210,16974,1300,11787,34961,2098,17185,41025
1382,1319,1245,1726,1721,1788,2126,2296,2223,5236,16926,29792,732,847,1793,598,3497,14853,1074,10121,33089,1757,15225,40877
1033,1065,994,1438,1456,1455,1919,1868,1899,4837,15610,29611,574,691,1385,573,3166,12660,893,8635,31334,1451,13092,39474
828,834,840,1180,1181,1243,1517,1597,1570,4222,14372,28792,493,527,1030,477,2765,10919,752,7755,29741,1155,11219,38303
715,640,709,1003,986,1013,1382,1321,1384,3920,13069,27859,382,436,779,474,2465,9726,680,6529,27865,939,9635,36883
528,540,583,830,831,835,1136,1104,1234,3579,11833,26697,361,387,615,428,2476,8645,589,5559,25988,760,8179,34679
434,426,446,639,692,688,939,973,970,3408,10914,26211,297,297,481,434,2305,7908,508,4816,24177,625,6711,32471
394,379,396,593,587,604,917,914,840,3203,9869,24782,319,267,421,414,2316,7581,405,4107,22201,543,5678,29840
292,306,314,530,550,472,757,779,719,2913,8888,23549,249,261,363,423,2220,7286,402,3594,20418,511,4724,27646
288,286,240,472,509,496,737,703,681,2720,8081,22613,235,216,357,404,2224,7257,373,3044,18741,457,3824,24641
257,274,275,431,442,444,661,644,661,2741,6963,21174,243,235,324,453,2176,7295,344,2622,17016,404,3234,22302
237,246,233,438,436,404,650,675,646,2762,6477,19529,223,246,327,397,2173,7459,333,2188,15863,364,2622,19831
225,240,220,448,437,405,669,643,642,2612,5882,18584,244,274,337,442,2082,7923,376,1929,14531,401,2081,17223
249,250,247,413,405,442,643,721,633,2843,5356,16926,208,327,416,394,1999,8169,390,1645,13078,398,1682,14939
314,281,300,443,475,561,733,715,734,2745,4770,15499,207,373,544,464,1936,8539,365,1351,11862,440,1405,13154
300,307,295,473,534,535,804,766,794,2892,4371,14280,262,427,607,417,1916,8753,398,1180,10610,476,1175,11117
