1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43488,43382,42775,41042,40748,40497,39546,39219,38423,30437,20261,6530,54372,47009,32878,55909,35818,8270,49966,25997,3752,41116,19933,2620
42911,42775,42510,40641,40424,40315,38921,38689,38218,30065,21463,7249,53146,49298,35258,54322,40690,10534,48809,29574,4836,40505,22216,3101
41985,41612,41615,39468,39564,39515,38077,38178,37492,29949,22941,8208,51023,50726,36975,52054,44634,12994,47034,32881,6183,39827,24804,3946
39740,39861,40001,38069,38665,38064,36631,36954,36394,29239,23985,8919,47761,51071,38930,49164,48180,16045,44860,37286,7565,38405,27169,4605
38150,38613,38271,36839,36467,36450,35305,35468,35151,28453,25413,9936,44256,50825,40116,45245,50970,19172,41723,39329,9322,36657,29744,5511
36096,36028,35925,34903,34873,34819,33440,33625,33778,27392,26429,11205,40015,49228,40861,40856,52059,22675,38549,42677,11161,34679,32782,6826
33671,33256,33154,32300,32510,32471,31531,31719,31312,26453,27531,12151,35674,46666,40907,36036,53248,26310,34684,44641,13272,32593,34713,7982
30620,30858,30575,29587,30065,30293,29326,29756,29653,25211,28481,13294,31003,43631,40654,30966,52937,30243,30839,46305,15850,30006,36572,9612
28084,27954,27711,27402,27534,27835,26860,27467,27146,23883,29577,14665,26722,39830,39246,26573,51752,33806,27112,46884,18585,27406,38400,11193
24919,24988,25021,24848,25176,24855,24555,25090,25022,22630,29618,15772,22326,36060,38086,21936,49206,36874,23544,46898,21237,25052,39449,13112
22008,22013,22078,22141,22416,22695,22071,22577,22989,21208,29927,17122,18592,31995,35834,18153,46531,39940,19815,46117,24472,22223,40665,15298
19102,19526,19617,19756,19823,20254,19682,20455,20669,19988,30281,18549,15501,27502,32937,14658,42104,41909,17030,44625,26989,19653,41071,17359
16860,16712,17077,17499,17692,17864,17678,18254,18377,18385,30162,20137,12526,23712,30241,11707,37897,43719,14003,42437,29614,17342,41268,19713
14401,14506,14811,15191,15281,15580,15438,16163,16483,16979,30079,21375,9746,19632,26994,9032,33438,43617,11719,40096,32044,14960,40470,22087
12213,12392,12526,13194,13264,13466,13837,13811,14167,15576,29184,22786,7819,15850,23526,6837,29060,43291,9291,37445,34055,13050,39868,25057
10370,10466,10658,11201,11221,11549,11773,12420,12442,14380,28623,24024,6087,13030,20486,5298,24388,41908,7729,33862,35746,11200,38643,27725
8622,8658,8788,9597,9671,9759,10152,10414,10746,13041,27875,25383,4798,10239,17319,4131,20546,40115,6083,30699,37423,9418,36682,29935
7096,7230,7387,7823,8213,8189,8816,8868,9125,11734,27348,26292,3719,7999,14493,3121,17002,37685,5050,27566,38804,8071,35175,32450
5993,6055,5900,6820,6821,6931,7474,7766,7866,10648,25729,27639,2899,6136,12033,2334,13713,34514,4088,24243,39101,6671,32255,34846
4927,4885,4919,5688,5693,5698,6316,6487,6698,9704,24896,28456,2316,4770,9696,1814,11026,31301,3280,21390,38274,5698,29919,36601
