1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
49759,44422,33018,47383,41435,29593,45739,39350,27149,33733,24499,9469,58489,42356,15841,55976,39115,10878,54290,35997,8769,43905,23316,3597
48663,45938,34438,47110,43593,31615,45293,41400,29079,33136,26208,10684,56823,46652,19127,54863,43416,13630,53334,40375,11024,43183,26214,4377
47688,46606,36058,45549,45051,33307,43762,42682,30674,32880,27346,11741,54259,50683,22317,52633,47284,16858,51154,43929,13475,42134,28813,5415
44952,47027,37799,43055,45040,34389,42202,43382,32585,31812,28838,12939,50398,53815,26540,49230,50896,20334,48138,47684,16677,40712,32008,6560
41670,46431,38577,40648,44507,35622,39039,43271,33727,30457,29896,14290,46102,55298,30457,45356,52425,24272,44413,50444,19984,38013,34450,7926
38648,45217,38361,37485,43472,36726,36287,42559,34554,29418,30776,15606,41111,56043,34377,40987,53833,27999,40102,51846,22923,36004,36565,9406
34872,42965,38663,34094,42293,36755,33315,41243,35034,27691,31109,17011,36287,55659,37795,36183,54304,32205,35530,52483,26704,33085,38492,11466
31082,40605,37605,30484,39561,36995,30146,39517,35559,26313,31670,18530,31291,53302,41471,31166,53276,35777,31188,52021,30603,30354,40361,13223
27210,37414,36974,26918,37433,35989,26801,37163,34860,24870,31548,19912,25994,50976,43652,26435,51130,39286,26608,50067,34577,27365,41449,15202
23327,34401,35372,23742,34185,35008,23797,34525,34256,22688,31438,21377,21528,46891,45770,21872,48428,42156,22302,47985,37237,24438,41855,17766
20216,30422,32870,20347,31270,33330,20802,31386,33283,21132,31151,22600,17385,42726,46763,18052,44563,44268,18806,44510,40074,21432,41923,20204
16815,26673,30991,17283,27577,31459,17839,28281,31548,19235,30517,23732,13818,37369,46215,14412,40139,45412,15107,40886,41798,18474,41534,22754
13997,23142,28014,14539,24307,29117,14892,25622,29672,17698,29426,24840,10853,32908,45019,11511,35175,45949,12071,36819,42461,16037,40675,24799
11692,19708,24869,12410,20828,26678,12791,22365,27449,15731,28499,25711,8185,27924,43262,8931,30677,44907,9530,33029,43094,13940,39429,27383
