1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
43326,43340,42886,40716,40690,40603,38957,38971,38546,30078,19944,6439,48703,46180,39635,54821,32923,6457,44578,21740,2807,41128,19947,2625
42746,42632,42511,40436,40187,40394,38429,38487,38231,29808,21377,7311,47851,46717,40471,53454,37452,8284,43888,24775,3541,40478,22228,3095
41788,41399,41589,39307,39361,39480,37463,37471,37667,29456,22402,7982,46733,46619,41249,51406,41718,10335,42540,27585,4434,39832,24767,3940
39740,39833,40003,37809,38165,37959,36309,36559,36320,28981,23812,8761,43681,45583,40541,48617,45332,12682,41284,30708,5383,38394,27167,4607
38095,38514,38131,36616,36378,36404,34741,34969,35112,28339,25164,9855,41651,44033,40276,44630,48122,15653,38642,33578,6596,36651,29747,5511
35956,35838,35938,34836,34413,34609,33191,33007,33208,27202,26167,10931,38136,41905,38828,40500,50155,18735,36406,36007,8119,34701,32765,6825
33682,33173,32966,32220,32352,32279,31306,31224,30971,26219,27126,11974,34186,39605,37518,35651,51680,21647,33357,38471,9500,32570,34716,7975
30604,30676,30448,29481,29736,30129,29285,29165,29257,24991,28196,13145,31316,36278,35520,31166,51936,25235,30677,40343,11423,30027,36554,9600
28029,27859,27639,27421,27328,27583,26865,27045,26669,23839,29274,14495,27159,32825,33026,26596,51370,28825,27167,41519,13348,27400,38407,11196
25024,24938,24832,24834,24924,24542,24476,24592,24692,22538,29487,15522,23971,29705,30453,22098,49719,31990,24505,42675,15504,25029,39430,13113
22015,21916,22079,22222,22273,22445,22318,22198,22450,21391,29677,16952,20242,26023,27762,18503,46924,35254,21597,43121,18056,22225,40619,15282
19107,19457,19463,19870,19632,20119,19695,20183,20146,20008,29986,18208,17380,22658,24834,14861,43860,37714,18717,43168,20272,19670,41116,17350
16960,16629,16976,17603,17630,17490,17838,18003,18087,18372,30207,19892,14746,19313,22066,12260,39900,39969,15822,42160,23069,17352,41249,19718
14468,14494,14710,15300,15255,15447,15804,15914,15964,17049,29930,21197,12001,16271,18977,9353,35834,41219,13771,41222,25657,14944,40466,22068
12261,12360,12427,13348,13141,13228,14000,13721,13736,15622,29293,22517,10008,13522,16673,7324,31809,42203,11714,39405,28060,13059,39846,25053
10416,10431,10642,11334,11188,11486,11956,12286,12165,14582,28405,23821,8233,11186,14124,5676,27661,41305,9811,37332,30353,11198,38684,27752
8675,8702,8729,9647,9676,9553,10419,10405,10560,13073,28010,25019,6675,8939,11552,4469,23496,40475,8115,34651,32731,9426,36662,29915
7129,7193,7341,8012,8212,8131,9117,8848,8789,11967,27378,26322,5365,7345,9622,3420,19745,39425,6736,32708,34524,8085,35174,32432
6041,6079,5831,6864,6794,6778,7611,7845,7644,10781,25981,27450,4135,5836,8164,2617,16588,37194,5729,29847,36653,6660,32270,34843
4965,4910,4899,5757,5674,5681,6548,6467,6561,9766,25228,28500,3435,4566,6446,2030,13413,34664,4488,27121,38323,5710,29928,36605
4038,3957,3924,4766,4881,4626,5379,5491,5624,8811,23844,28820,2767,3483,5140,1558,11376,31631,3731,24112,39176,4576,27495,38610
3222,3301,3134,4037,3992,3892,4718,4719,4679,7849,22395,29704,2230,2793,4048,1254,9158,29087,3069,21595,39576,3776,25299,39964
2535,2558,2568,3327,3285,3156,3858,3959,3972,7281,20864,29898,1795,2203,3159,1021,7742,26225,2565,19355,39636,3173,22238,40743
2099,2064,2006,2699,2674,2545,3216,3251,3246,6419,19938,30120,1423,1660,2431,865,6346,23341,2070,16711,39193,2585,19647,41371
1683,1611,1604,2199,2160,2222,2685,2797,2683,5651,18366,30123,1121,1381,2032,716,5356,20741,1651,14878,38730,2096,17186,41023
1382,1322,1247,1735,1730,1778,2133,2320,2205,5264,17001,29905,909,1018,1469,633,4499,17957,1306,12644,37610,1758,15225,40878
1039,1060,990,1447,1453,1447,1929,1880,1902,4893,15619,29671,723,766,1149,565,3933,16290,1121,10925,36443,1451,13093,39466
826,839,842,1182,1184,1231,1561,1597,1560,4229,14569,28876,598,592,906,512,3422,14567,959,9302,34405,1155,11219,38305
715,645,713,1011,990,1022,1380,1347,1380,3948,13099,28046,515,512,686,480,3198,12985,786,7991,32527,939,9642,36886
533,535,578,829,847,832,1133,1106,1250,3561,11843,26797,437,416,557,446,2942,11660,648,6901,30992,760,8173,34680
429,428,449,650,688,690,964,981,955,3451,10964,26266,359,373,450,403,2785,10793,577,5787,28844,625,6711,32473
397,382,396,585,590,609,912,918,848,3188,9967,24904,314,312,366,375,2596,10183,505,4829,26400,542,5680,29839
291,305,313,524,554,468,766,793,738,2971,8939,23675,275,277,346,401,2418,9694,423,4077,24326,512,4723,27642
292,286,241,481,505,500,734,707,673,2706,8078,22727,258,232,300,387,2411,9486,379,3456,22010,457,3826,24653
257,274,274,435,441,447,676,644,641,2750,7019,21178,235,232,248,369,2217,9164,391,2825,19937,404,3233,22293
235,246,235,437,437,399,641,655,656,2765,6484,19664,224,219,266,385,2117,9502,363,2400,17756,364,2623,19833
225,241,221,447,429,409,674,672,651,2658,5928,18667,193,254,284,369,1973,9399,346,1985,15895,400,2081,17231
250,247,240,415,417,433,650,709,627,2818,5317,16922,242,259,296,410,2005,9575,360,1569,14189,399,1681,14932
314,283,303,448,476,554,736,726,716,2759,4829,15622,246,289,348,365,1795,9223,420,1366,12571,440,1405,13158
299,308,297,476,530,545,813,762,793,2922,4363,14253,266,359,463,380,1628,9487,492,1145,10931,476,1175,11117
367,351,384,616,615,578,872,852,888,3137,3905,12987,319,416,529,410,1547,9259,510,945,9374,557,907,9393
447,439,437,706,703,676,974,968,967,3314,3669,11944,339,468,612,441,1457,9325,557,789,8105,623,783,8034
532,513,562,858,833,775,1177,1148,1143,3610,3333,10900,442,565,837,407,1310,9100,669,742,7069,748,610,6595
648,710,655,966,1017,981,1351,1373,1408,3877,3173,9822,504,705,1009,479,1169,8784,772,573,5975,961,547,5448
853,860,797,1182,1159,1140,1611,1683,1531,4336,2980,8819,564,884,1228,499,1062,8501,973,497,4990,1151,503,4659
1055,1031,1051,1569,1512,1491,1974,1836,1921,4685,2796,7993,740,1064,1477,600,900,7840,1182,477,4283,1449,457,3783
1308,1312,1296,1796,1800,1758,2260,2247,2312,5262,2784,7157,915,1267,1832,626,834,7415,1365,421,3378,1663,387,3083
1634,1643,1586,2169,2218,2142,2728,2760,2700,5802,2739,6604,1152,1558,2143,707,775,6879,1712,381,2990,2107,387,2547
2113,2063,2018,2633,2692,2669,3097,3273,3212,6414,2725,5847,1413,1785,2664,841,626,6275,2020,350,2303,2517,403,2052
2492,2611,2586,3211,3280,3325,3858,3939,3924,7217,2698,5293,1753,2293,3210,1042,612,5741,2507,388,2048,3108,392,1761
3254,3251,3185,3964,4029,3898,4611,4725,4591,7913,2921,4708,2230,2673,3870,1292,526,4958,3033,393,1630,3882,451,1396
3932,3967,3999,4800,4764,4801,5473,5339,5469,8772,2966,4371,2701,3199,4459,1577,506,4551,3734,425,1388,4638,481,1110
4779,4838,4942,5805,5793,5824,6430,6614,6525,9880,3249,3958,3440,3723,5371,2052,480,3769,4506,496,1134,5577,500,943
5997,6065,6005,6887,6912,6870,7609,7751,7778,10774,3415,3582,4330,4563,6527,2667,533,3255,5570,587,972,6759,625,783
7283,7251,7091,8242,8146,8195,9032,9166,9001,11926,3668,3433,5398,5542,7569,3325,550,2711,6566,614,798,8007,725,635
8714,8560,8735,9559,9887,9637,10600,10416,10434,13092,3874,3275,6696,6430,8796,4371,605,2252,8065,756,654,9548,950,588
10430,10373,10444,11374,11397,11259,12146,12117,12005,14514,4454,2979,7986,7694,10047,5562,787,2023,9663,984,596,11349,1147,483
12314,12205,12362,13079,13219,13134,13847,13728,13755,15612,4775,2854,9893,9063,11439,7297,942,1577,11597,1194,503,13155,1388,409
14509,14457,14494,15109,15433,15447,15911,15761,15820,17267,5212,2834,12056,10602,13070,9546,1167,1383,13658,1407,473,15011,1671,421
16779,16870,16792,17510,17583,17347,17623,17985,17785,18373,5865,2876,14478,12616,14764,11969,1534,1121,15982,1806,453,17248,2124,388
19177,19349,19429,19921,20034,19894,20268,20029,20238,19772,6632,2743,17392,14632,16689,14981,2074,1012,18480,2289,397,19804,2576,348
22077,22056,22279,22460,22450,22411,22205,22248,22340,21321,7139,2749,20484,16759,18371,18414,2936,859,21535,2777,401,22254,3125,407
24859,24941,24833,24590,24663,25032,24667,24480,24779,22470,7873,2955,23872,19683,20568,22198,3641,875,24962,3561,457,24878,3836,430
27473,27934,27895,27529,27096,27166,27276,26967,26848,23965,8735,2937,27465,22553,22596,26301,5005,908,27670,4383,492,27343,4687,488
30492,30738,30700,30074,29827,29844,29331,28657,28971,25026,9858,3135,31218,25423,24925,31273,6271,958,30209,5410,565,29848,5588,532
33413,33380,33335,32421,32027,32210,31232,31346,31278,26385,11051,3271,34680,28889,27234,35893,8344,1100,33067,6655,595,32558,6677,619
35913,35864,35994,34512,34834,34581,33371,33117,33565,27160,11926,3627,38282,31811,29118,40472,10778,1409,36419,8059,811,35096,8008,765
38291,38190,38066,36590,36408,36549,35198,34768,35090,28331,13378,3969,41495,34919,31442,44137,13360,1781,38903,9818,925,36840,9374,930
39711,39998,40120,37837,38007,38208,36447,36491,36216,29157,14340,4239,44081,37764,33406,48353,16630,2289,41199,11795,1196,38749,11236,1190
41524,41432,41568,39504,39403,38961,37556,37500,38008,29638,15863,4791,46584,40332,35530,51819,20291,2883,42924,13812,1428,39484,13165,1395
42558,42394,42682,40337,40209,40254,38635,38617,38025,29947,17117,5342,47661,42713,37249,54102,24337,3940,43749,16473,1827,40800,15018,1686
42984,43089,43063,40427,40778,40798,38744,38705,38899,30095,18417,5875,48700,44673,38738,55001,28857,5012,44536,18754,2290,40861,17175,2097
