1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
44888,44320,42012,42828,42178,39243,41855,40634,36543,31717,21245,7051,57275,46059,25061,55899,37646,9677,53118,30586,5532,41572,19965,2626
44593,43853,41823,42542,41901,39079,41582,40196,37359,31489,22761,7679,56396,49291,28025,54837,42125,11998,51656,34764,7086,40828,22424,3177
42988,43138,41595,41299,41675,39291,40209,40302,36858,31255,24153,8761,53061,52025,31150,52391,46109,14881,50197,38659,8619,40059,25169,3909
41285,41752,40392,40196,40315,38631,38983,39754,36184,30149,25408,9931,49552,53094,34020,49239,50079,18182,46776,41936,10569,38756,27480,4718
39115,40086,39097,37724,38839,37020,37056,38373,36090,29324,26384,10834,45402,53847,37182,45337,51707,21776,43699,45438,13212,36881,30252,5613
37008,37739,36611,35786,37249,35827,34632,36611,34734,28374,28108,11960,40873,53888,39452,40942,53049,25375,39671,47813,15729,34836,33023,6928
34075,35368,34666,32787,34983,34151,32037,34436,33577,26912,28975,13118,36053,52304,41484,36120,54074,29447,35186,49571,18583,32722,34989,8236
30907,32504,31834,30282,32026,31923,29700,32338,31469,25934,29971,14373,31209,48951,42866,31136,52998,33247,31069,50431,21905,29997,37089,9738
27851,29536,29441,27236,29589,29830,27067,30091,29543,24289,30407,15736,26259,45630,43226,26562,51700,36836,26691,49828,25060,27395,38749,11424
24512,26180,26443,24284,26924,27018,24160,27328,27524,22758,30731,17109,21773,41671,43053,21813,48883,39737,22901,48501,28359,24989,39906,13265
21474,23119,23879,21888,24009,24754,21715,24777,25410,21211,30915,18690,17760,37169,41673,18093,45559,42353,18795,46587,31415,22267,40860,15627
18730,20290,20942,19257,21262,22377,19038,22205,23161,19640,31040,19814,14268,32140,40006,14547,41083,43995,15843,43807,33694,19586,41330,17752
16081,17686,18581,16721,18588,19907,16704,19648,20938,18171,29982,21111,11306,28010,37935,11442,36547,44974,12875,40870,36386,17156,41421,19824
