1.25-45-000,1.25-45-060,1.25-45-120,1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
47447,44887,39997,45535,42817,36362,43738,40849,33717,32703,22391,7691,57864,44288,20575,56031,38481,10239,54009,33297,6959,42656,20516,2753
46258,45402,40637,44825,43458,37364,43580,41598,35021,32589,24162,8623,56881,48352,23552,54835,42803,12689,52752,37303,8499,41816,23400,3369
45059,45625,40785,43625,43590,37618,42520,41893,35247,32139,25309,9844,53565,51928,27417,52624,46783,15881,50909,41329,10599,40771,26035,4091
43225,43853,40383,41813,42793,38028,40595,41707,36084,31160,26815,10749,50235,53820,30796,49190,50407,19149,47512,44721,13077,39770,28876,5026
40856,42784,39298,39394,41656,37904,38314,41115,35514,30038,28494,12112,45868,54760,34291,45319,52228,22966,44208,48232,16134,37379,31521,6042
37831,40945,38262,36480,39927,36855,35583,39757,35523,28764,29223,13250,41094,55027,37490,40965,53328,26846,40069,50043,18912,35366,33603,7386
34560,38281,36408,33420,38239,35529,32959,37474,34848,27574,30014,14302,36212,54349,40419,36235,54205,30726,35358,51293,22186,32996,36394,8818
30839,35359,34679,30492,34965,34459,29643,35156,33585,26390,30641,15656,31102,51140,42483,31062,53136,34598,30847,51667,25793,30253,38276,10271
27502,31978,32087,27179,32445,32391,27260,32922,32336,24411,31526,17270,26145,48560,44293,26572,51567,38105,26767,50225,29018,27447,39718,12368
24276,28803,29331,24203,29254,30016,23980,30197,30147,22950,31449,18719,21673,44199,44812,21745,48638,40794,22637,48591,32593,24563,40794,14129
20887,25403,26667,21151,26472,27974,21201,27236,28524,21202,31351,20250,17579,40151,44377,18046,45036,43349,18548,46034,35372,22303,41672,16463
17826,22051,24232,18369,23369,25403,18466,24507,26385,19401,31043,21193,13880,34676,43511,14540,40651,44896,15574,42502,38245,19198,41875,18730
15042,19026,21079,15548,20266,22941,15691,21313,23893,17937,30415,22676,11023,30233,41517,11442,35787,45417,12295,39217,39597,16707,41356,21312
12601,16343,18620,13244,17577,20355,13644,19127,21918,16371,29557,23642,8330,25267,38772,9017,31258,44830,9843,35140,40984,14460,40806,23890
10336,13530,16046,11047,14871,17742,11573,16472,19625,14668,29046,25290,6408,20840,35576,6681,26565,43471,7707,31218,41171,12189,39636,26462
8755,11191,13858,9359,12490,15585,9803,13788,17032,13145,27882,26142,4794,16878,31811,5205,22396,41462,6086,27284,41374,10597,37971,28795
7273,9256,11459,7845,10613,13122,8154,11395,15061,12050,26597,26465,3613,13293,27844,3907,18385,38464,4700,23251,40395,8873,36513,31124
5799,7525,9467,6398,8707,11295,6947,9785,12854,10719,25489,27321,2732,10464,24059,2941,14973,35287,3557,19673,38887,7532,33399,33605
4759,6098,7733,5309,7098,9363,5778,8235,11020,9701,24012,27785,2057,8110,20392,2177,11741,31518,2815,16517,36856,6327,31315,35288
3763,4933,6277,4414,5732,7734,4753,6800,9435,8633,22459,28175,1553,5960,16592,1674,9337,27687,2198,13361,33859,5120,28623,37376
3019,3790,4997,3574,4711,6283,3817,5551,7830,7705,20969,27899,1171,4514,13687,1212,7365,23966,1741,11251,31741,4287,26156,38833
2462,2932,4075,3053,3728,5216,3324,4502,6320,6883,19708,28264,919,3317,10835,976,5578,20465,1421,9364,28190,3497,23349,39877
2063,2432,3211,2389,3073,4122,2866,3696,5454,6261,18129,27783,743,2447,8670,823,4357,17025,1139,7848,25371,2893,20939,40149
1607,1832,2437,2011,2414,3378,2309,2990,4480,5623,16849,27476,584,1873,6586,669,3436,14116,952,6448,22628,2400,18505,40337
1284,1414,1993,1582,1965,2737,1919,2413,3564,4985,15613,26864,541,1309,5033,575,2650,11482,802,5476,19853,1938,16111,39771
1100,1108,1477,1319,1584,2216,1662,1944,3021,4593,14276,26167,448,955,3786,564,2213,9359,703,4652,17525,1633,14000,39003
859,858,1224,1170,1182,1686,1422,1619,2404,4218,13135,25522,385,745,2688,471,1906,7436,630,4141,15386,1306,12331,38082
678,691,944,944,984,1453,1253,1353,1976,3774,12149,24987,369,580,2156,493,1680,6080,552,3696,13764,1089,10423,36237
565,553,746,755,831,1115,1077,1218,1641,3511,11144,23703,345,456,1438,512,1579,5059,502,3297,12453,908,8902,35009
466,453,584,731,736,899,953,970,1311,3148,10374,22802,350,417,1153,466,1515,4337,530,3056,11167,691,7628,33111
376,370,479,599,558,732,829,850,1156,3072,9413,22358,369,368,937,485,1562,3835,490,2855,10384,597,6345,30689
338,328,402,522,483,614,785,797,912,2825,8580,20984,357,389,807,477,1630,3696,488,2688,9709,520,5303,28352
291,282,334,478,471,602,717,651,861,2725,7879,20133,301,388,703,523,1673,3507,442,2641,9528,494,4410,25907
248,255,284,472,438,506,654,686,821,2801,7135,19162,311,470,693,509,1799,3615,420,2495,9335,419,3750,23544
242,267,270,404,434,532,644,655,792,2655,6508,18320,317,489,766,529,1885,4001,427,2400,9156,386,3080,21345
223,251,264,370,421,558,583,657,825,2598,6061,17199,326,620,942,541,2064,4445,435,2270,9248,415,2589,18867
227,258,271,440,491,520,622,710,870,2592,5459,15882,276,677,1048,473,2049,4901,441,2273,9219,388,2076,17034
218,286,351,388,518,565,588,747,859,2498,5090,15235,308,732,1267,565,2113,5545,440,2024,9386,382,1714,14691
262,296,354,469,560,600,698,826,983,2626,4548,14429,327,905,1577,540,2220,6197,413,1965,9526,384,1377,12564
313,351,419,477,622,716,691,913,1157,2732,4225,13382,328,982,1959,489,2228,6913,474,1841,9563,493,1178,11019
325,428,522,501,701,849,773,1067,1286,2858,4016,12577,305,1150,2356,490,2079,7530,486,1744,9539,531,950,9579
409,512,619,601,811,1007,852,1174,1564,3022,3723,11745,320,1299,2857,520,2146,8259,503,1605,9378,634,809,8059
466,646,765,641,1000,1150,933,1370,1817,3262,3499,10993,373,1358,3360,510,2061,8729,495,1365,9538,699,622,6846
555,742,950,792,1082,1478,1057,1553,2074,3440,3241,9908,341,1493,4025,496,1968,9566,526,1247,9161,888,569,5761
696,910,1135,924,1334,1692,1144,1678,2446,3832,2998,9087,377,1606,4767,477,1791,9879,578,1157,8832,1081,543,4677
828,1069,1435,1169,1579,2191,1464,1952,2921,4241,2979,8619,425,1801,5306,515,1669,10015,619,1013,8315,1243,434,4049
957,1351,1703,1379,1790,2495,1727,2231,3279,4694,2853,7946,442,1794,6069,535,1667,10096,723,911,7823,1631,407,3251
1266,1628,2168,1657,2099,2996,1983,2724,3802,5014,2853,7276,523,1849,6698,588,1477,9880,793,812,7341,1936,387,2694
1514,1965,2723,2039,2559,3685,2433,2936,4572,5529,2757,6687,647,1897,7317,660,1264,9738,958,718,6606,2323,395,2218
1975,2310,3286,2420,3034,4167,2739,3395,5182,6325,2764,6028,729,1883,7839,780,1130,9093,1137,654,6017,2809,387,1936
2518,2877,3815,2893,3484,4850,3314,4046,5828,6847,2864,5593,901,1985,8339,977,1042,8753,1429,607,5349,3588,414,1554
3067,3501,4617,3578,4007,5611,4084,4455,6603,7662,2965,5198,1152,2063,8761,1259,974,7911,1735,582,4633,4183,445,1220
3755,4082,5619,4322,4794,6588,4729,5120,7526,8749,3004,4691,1558,2075,9089,1684,854,7205,2201,543,4012,5299,518,1085
4653,4864,6659,5358,5538,7546,5743,5931,8264,9449,3236,4311,2032,2178,9216,2133,842,6565,2796,581,3363,6203,589,869
5730,5930,7692,6449,6395,8653,6872,6731,9507,10802,3617,3990,2783,2298,9360,2956,842,5676,3648,604,2823,7540,706,698
