1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
40874,40580,40442,38783,38723,38261,29977,20083,6579,49369,40045,28005,48146,33404,17241,46957,27640,9558,41026,19758,2561
40546,40662,40285,38354,38781,37932,30252,21401,7391,48667,41979,29247,47596,36151,18400,45619,30771,10634,40787,22401,3208
39933,39559,39457,37898,38316,37644,29939,23143,8158,47174,43040,30128,46184,38096,19568,44523,33452,11786,39960,25150,3773
38401,38097,38249,36596,36852,36092,28963,24201,8933,44935,43882,30414,43415,39950,20563,42322,35741,12976,38115,27328,4581
36590,36659,36556,35413,35333,35276,28290,25484,10038,41609,44033,30893,41123,41663,22057,39624,38093,14434,36634,29984,5696
34735,34609,34376,33498,33750,33313,27720,26638,11043,38370,43467,30952,37637,42170,23006,36971,39810,15773,34886,32507,6723
32283,32819,32249,31657,31527,31407,26505,27648,12235,34592,42304,31074,34382,42243,24323,33952,40822,17354,32308,34496,8081
29812,30026,30287,29198,29944,29406,25159,28275,13493,30912,40648,30593,30710,41913,25071,30427,41491,18909,30007,36837,9561
27255,27530,27397,26938,27376,27603,23873,29145,14763,27264,38242,30286,27075,41052,25930,27287,41899,20592,27169,38320,11177
24904,24799,25210,24738,25080,25022,22484,29432,15989,23347,35761,29583,23922,40134,26696,23721,41423,21872,24583,39575,13090
22214,22447,22331,22377,22533,22860,21404,30000,17466,20257,32696,28857,20393,38010,27251,20810,40985,23766,22234,40453,15103
19917,19876,20029,19994,20320,20344,19784,30175,18865,16840,29818,27574,17291,35676,27899,17811,39126,25274,19725,41346,17331
17428,17232,17354,17874,18132,18391,18241,30113,20097,14219,26485,26059,14504,32930,28236,15307,37532,26577,17329,40863,19806
15162,15449,15202,15669,15943,16432,17039,29841,21419,11692,23499,25010,12166,30205,27845,12777,35084,28138,15156,40905,22087
12963,13414,13342,13595,13986,14344,15735,29281,22433,9623,20564,23597,10094,27523,27973,10678,33643,28744,13302,39900,24848
11253,11407,11451,11942,12241,12477,14169,28629,23934,7843,17601,22196,8330,24896,27661,9097,30782,29645,11168,38408,27516
9613,9558,9962,10392,10583,10818,13171,28129,25283,6557,15111,20407,6672,22096,27068,7371,28028,30469,9411,36909,29807
