1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
41050,40082,38509,38827,37448,35288,29837,20784,8077,46750,36023,25380,45043,32287,19414,44253,28917,14527,41054,19797,2610
40760,40146,38178,38306,37924,35059,30068,22093,8883,46351,37809,25909,44208,33933,19992,43527,31100,15074,40785,22498,3271
39871,39299,37809,38024,37420,34906,29680,23316,9746,44442,38576,26442,43421,35702,20712,42416,33001,16021,39960,25142,3828
38512,38060,36804,36731,36929,34141,28829,24759,10461,42237,39289,26515,41127,36738,21256,40312,34739,16670,38202,27384,4607
36482,36697,35301,35351,35109,33195,28199,25545,11423,40249,39813,26679,39002,38031,21523,38323,36326,17462,36607,29995,5756
34598,34972,33479,33363,34135,31931,27321,26680,12224,37401,39600,26611,36351,38404,22180,35830,37054,18108,34870,32548,6810
32227,33354,31743,31572,32021,30405,26418,27819,13493,34188,39220,26245,33044,38943,22206,33177,37935,18696,32280,34516,8132
29850,30840,30198,28994,30605,28659,25058,28396,14614,30548,37908,26035,30607,38245,22665,30485,38329,19906,30050,36911,9661
27221,28467,27565,26866,28464,27372,23698,28501,15676,27085,36455,25471,27244,37276,22875,27254,38072,20535,27153,38306,11252
24826,25785,25516,24429,26299,25166,22257,29080,16729,24044,34709,24810,24413,36238,23207,24240,37535,21176,24570,39631,13158
22123,23409,22851,22119,24343,23204,21094,29223,18131,21217,32738,24579,21169,35014,23263,21478,36513,21937,22176,40410,15193
19713,20909,20787,19855,21677,21198,19570,29297,19284,17908,30150,23680,18415,33361,23268,18693,35572,22889,19690,41300,17350
17368,18384,18412,17695,19574,19480,18257,28986,20408,15386,28020,23114,15829,31456,23907,16307,34565,23589,17334,40882,19896
14806,16359,16332,15390,17550,17875,16854,28667,21464,12990,25422,22415,13387,29245,23819,13829,31908,24648,15136,40795,22110
12811,14439,14626,13452,15493,15899,15581,28057,22190,10795,22981,21477,11367,26938,23893,11819,30376,24895,13295,39938,24849
11182,12320,12757,11865,13889,14232,13992,27513,23473,8926,20932,21120,9458,24901,23886,9775,28496,25496,11139,38284,27559
9545,10650,11382,10298,12080,12957,13043,26717,24547,7508,18876,20705,8153,22534,23766,8243,25846,26098,9434,36720,29816
7951,9050,9493,8759,10386,11476,11902,25814,25438,6156,16478,20108,6575,20418,23564,7025,23675,26427,8225,34801,32451
6732,7700,8411,7467,9162,10033,10666,24618,26072,4877,14548,19283,5582,18181,23379,5748,21352,26558,6779,32250,34579
5549,6508,7201,6333,7865,8842,9841,23492,26765,4050,12746,18451,4589,16149,23324,4746,19478,26818,5614,30001,36429
4717,5443,6250,5551,6615,7965,8847,22320,27281,3307,11124,17847,3648,14381,22659,3798,17234,27033,4568,27525,38249
3890,4681,5164,4499,5725,7083,7909,21024,27478,2624,9624,17185,2995,12602,22251,3289,15238,26517,3804,24466,39333
3284,3831,4596,3928,5101,6183,7274,19588,27692,2184,8281,16499,2627,11025,21810,2686,13325,26323,3166,22057,40979
2687,3239,4040,3314,4306,5357,6596,18299,27982,1774,7033,15790,2054,9404,21259,2196,11817,26003,2587,19840,40998
2136,2805,3358,2805,3708,4814,5866,17139,27752,1409,6013,15311,1690,8208,20254,1766,10196,25219,2095,17214,41137
1843,2392,3001,2257,3300,4384,5356,15735,27271,1154,5183,14383,1377,7194,19854,1560,8986,24652,1746,15174,40722
1481,1843,2701,1986,2736,3999,5001,14669,26575,935,4408,13379,1179,6214,18666,1271,7746,23382,1399,13265,39589
1252,1702,2250,1745,2370,3411,4417,13643,26155,749,3766,12694,957,5220,17488,993,6406,22415,1088,11312,38189
1077,1434,2073,1419,2082,3066,4162,12238,25798,629,3245,11960,801,4349,16510,929,5621,20790,976,9475,36425
887,1211,1833,1332,1823,2810,3841,11071,24695,536,2695,11086,673,3790,15578,798,4642,19747,819,7986,34555
755,1057,1649,1127,1580,2683,3548,10074,23511,448,2276,10335,605,3147,14632,629,4045,18278,645,6856,32130
687,922,1467,1001,1392,2358,3429,9218,22557,380,1960,9580,492,2640,13515,635,3415,16972,624,5441,30199
618,833,1391,907,1317,2353,3208,8342,21480,350,1621,8880,479,2388,12149,531,2896,15787,484,4664,27358
576,752,1270,871,1216,2210,3033,7859,20388,310,1446,7941,422,1966,11190,499,2436,14139,466,3746,24870
543,700,1214,800,1150,2082,2945,6977,19163,281,1235,7302,373,1612,10030,465,2071,12656,457,3082,22201
575,681,1084,781,1033,1888,2908,6311,18207,286,1082,6542,379,1487,9054,439,1833,11654,391,2643,19484
492,655,1137,795,1001,1982,2900,5843,17090,262,932,6050,407,1238,8381,466,1590,10215,404,2071,17333
531,667,1079,764,1072,1860,3019,5191,15558,280,877,5411,372,1088,7446,442,1406,9371,424,1741,15230
575,657,1144,868,1097,1877,3000,4709,14737,329,747,4772,436,1050,6745,480,1261,8190,422,1403,13184
601,733,1095,912,1089,1912,3285,4592,13688,335,792,4395,463,957,5870,539,1080,7530,452,1145,11363
698,766,1233,993,1167,1912,3351,4175,12432,402,685,4095,518,837,5383,577,1013,6588,597,913,9512
767,857,1255,1082,1256,1976,3604,3892,11527,462,679,3779,564,837,4912,682,984,5772,665,800,8156
915,986,1415,1361,1408,2085,3878,3676,10404,526,721,3446,676,867,4400,727,995,5275,750,648,6867
1117,1026,1503,1457,1456,2296,4095,3471,9815,630,693,3191,833,943,3998,940,932,4658,939,545,5586
1344,1308,1767,1665,1697,2516,4586,3392,8778,726,784,3070,932,916,3741,1058,997,4134,1120,490,4706
1575,1553,1979,2092,1985,2672,4845,3242,8103,922,931,2959,1178,952,3491,1264,1043,4011,1455,483,3874
1831,1858,2277,2281,2283,2997,5390,3142,7594,1187,998,2798,1327,1141,3442,1527,1112,3610,1716,440,3197
2161,2181,2603,2698,2735,3346,5929,3306,6705,1424,1116,2915,1754,1254,3358,1897,1195,3543,2148,361,2571
2674,2655,2990,3272,3230,3875,6448,3310,6515,1708,1338,3028,2040,1443,3262,2213,1323,3314,2578,392,2158
3252,3190,3553,3839,3758,4348,7078,3419,5898,2169,1584,3171,2522,1594,3328,2676,1540,3222,3153,430,1726
4025,3789,4287,4625,4366,4857,7937,3531,5496,2736,1900,3264,2887,1823,3467,3300,1667,3300,3889,409,1397
4741,4589,4919,5501,5074,5622,8807,3659,5196,3367,2231,3637,3695,2127,3598,3912,1928,3383,4574,512,1185
5546,5443,5798,6252,5816,6620,9703,3768,4720,3967,2812,4157,4466,2549,3815,4975,2101,3432,5605,561,972
6770,6549,6861,7523,7115,7637,10596,4035,4473,4976,3202,4511,5573,3013,4208,5816,2574,3536,6811,653,835
8081,7759,8064,8716,8028,8659,11805,4359,4211,6114,4052,5101,6681,3524,4485,6960,2980,3918,8124,812,669
9396,9153,9656,10176,9640,9894,13016,4664,4149,7574,4684,5742,7892,4102,5075,8374,3397,4142,9441,933,608
11129,10731,11072,11735,10806,11434,14296,5002,4008,8876,5530,6533,9509,4816,5557,10002,3942,4736,11223,1158,491
12951,12328,12890,13742,12466,12830,15584,5609,4033,10808,6582,7515,11347,5550,6277,11656,4591,4970,13048,1338,504
15241,14324,14570,15428,14450,14519,16854,6263,3950,13072,7883,8424,13467,6600,6786,13708,5446,5394,15202,1685,425
17427,16455,16490,17413,15952,16257,18127,6561,3947,15248,9246,9407,15787,7568,7585,16318,6243,5735,17523,2129,413
19416,18852,18328,19731,18135,17880,19649,7411,4094,17879,10614,10601,18144,8836,8378,18458,7116,6486,19687,2597,432
22103,20595,20839,22143,20078,19860,20882,8259,4106,20634,12290,12024,21076,10074,9229,21371,8341,6793,22490,3188,445
24413,23385,22971,24363,22196,21734,22425,8975,4227,23976,14200,13377,23960,11714,10167,24185,9571,7317,24863,3820,481
26986,25823,25763,26952,24449,24194,23814,9909,4433,27454,16045,14559,27432,13478,11041,27423,10874,8111,27471,4653,521
29827,28122,27775,29015,26126,25798,24899,10924,4523,30651,18375,16299,30332,14927,12067,30323,12525,8757,29772,5676,576
32151,30666,30046,31480,28547,27535,25850,11911,4920,34057,20458,17578,33645,17008,13139,33344,14148,9561,32404,6906,670
34734,32709,32052,33357,30653,29340,27293,12841,5172,37117,23077,18831,36894,19177,14017,35673,15901,10136,34721,7969,790
36604,35028,33986,35045,32742,30861,28258,13939,5452,39997,25508,20489,39237,21222,15143,38735,17750,10909,36836,9566,906
38201,36845,35503,36701,34297,32140,28907,15349,5948,42529,27815,21776,41596,23351,15962,40837,20325,11614,38339,11376,1133
40091,37800,36621,37733,35746,33269,29536,16578,6551,44751,30404,23017,42942,25804,17022,42107,22525,12526,39814,13008,1449
40522,39160,37675,38821,36802,34327,29839,17965,6933,45578,32478,23585,44577,27896,17654,43220,24208,12973,40386,15095,1741
40927,39847,38109,39450,37455,35115,30010,19264,7531,46813,34452,24750,45104,30103,18573,43851,26680,13741,41286,17239,2159
