1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
41050,39421,37500,38720,37154,34074,29622,20938,8653,46408,35398,25190,44916,31892,19402,43776,29246,15173,41025,19973,2674
40371,39749,37341,38260,37338,34159,29926,22231,9308,45586,37231,25776,43810,33680,20334,43101,30757,16044,40695,22520,3349
39771,38889,36969,38014,37017,34039,29195,23403,10113,44011,38207,25717,42913,35361,20627,42151,32782,16544,39803,25219,3898
38129,38007,36046,36417,36335,32942,28779,24683,10872,41744,38944,25888,41174,36197,21235,40156,34262,17245,38118,27406,4706
36534,36552,34685,34966,34926,32581,27845,25749,11797,39634,39116,26255,38450,37277,21576,38244,35824,17830,36613,30106,5831
34949,34855,32920,33236,33800,31134,27246,26670,12702,37151,39297,25678,36042,37898,21850,35552,36647,18330,34804,32628,6901
31896,33322,31373,31335,32265,29892,26077,27447,13838,33601,38186,25807,33442,37937,22013,33061,37614,19080,32196,34553,8191
29651,31287,29825,28901,30509,28410,24717,28077,14993,30855,37513,25142,30371,37563,22499,30175,37408,19788,30022,36767,9771
27214,28377,27256,26735,28736,26973,23527,28043,15899,27492,36050,24939,27374,36629,22431,27160,37450,20446,27175,38268,11316
24688,26179,25404,24490,26560,24817,22393,28743,16718,24116,34606,24238,24364,35934,22814,24170,37256,21107,24540,39495,13247
22045,23719,22955,22046,24196,23293,21129,29097,18176,21185,32463,23757,21436,34552,22687,21235,36023,21597,22243,40371,15257
19656,21142,21023,19808,22078,21225,19626,28938,19286,18187,30675,23018,18337,33147,23051,18853,35021,22178,19733,41242,17358
17183,18776,18709,17650,20012,19504,18287,28832,20207,15702,28240,22622,15862,31146,23002,16271,33449,23146,17316,40780,19930
14943,16845,16828,15582,17823,18153,16861,28208,21214,13211,26015,22239,13592,29417,23376,13909,31587,23690,15085,40715,22200
12813,14992,14868,13540,16134,16270,15591,27809,22246,10959,23245,21362,11721,27005,23260,12073,29937,24450,13292,39798,24880
11281,12698,13207,11803,14287,14599,14146,26685,23283,9186,21303,21001,9614,24815,23217,10037,28076,24740,11139,38197,27653
9566,11110,11697,10388,12713,13098,13129,26338,24398,7690,19179,20443,8179,22552,23153,8514,25842,25359,9430,36696,29816
8100,9502,10159,8704,10921,12150,11843,25323,24991,6195,16924,19942,6718,20528,23154,7076,23578,25603,8245,34723,32334
6694,8264,9057,7495,9810,10825,10714,24336,25621,5193,14962,19383,5658,18497,23157,6010,21522,26111,6786,32055,34557
5602,7028,7908,6441,8284,9618,9883,22868,26321,4176,13070,18805,4621,16306,22844,4866,19143,26250,5609,29796,36371
4831,5857,6787,5472,7138,8667,8965,21720,26705,3376,11712,18302,3865,14613,22575,4090,17152,26187,4606,27408,38097
3912,5088,5906,4681,6332,7758,7990,20648,26838,2702,10193,17713,3192,12609,21982,3396,15253,26279,3824,24410,39086
3346,4188,5288,4001,5579,7054,7310,19194,27206,2316,8534,17096,2624,11183,21922,2806,13531,25948,3193,21966,40866
2710,3672,4710,3459,4730,6120,6494,17824,27422,1823,7422,16521,2092,9775,21379,2304,11836,25726,2593,19749,40779
2281,3068,4065,2828,4087,5629,6025,16830,27014,1451,6450,15970,1762,8300,20543,1981,10108,24882,2105,17167,40999
1836,2663,3523,2339,3607,5292,5490,15648,26451,1216,5419,15004,1450,7207,19807,1549,8956,24163,1768,15066,40455
1601,2242,3210,2097,3108,4737,5006,14386,25898,1047,4724,14416,1187,6265,18937,1257,7517,23221,1452,13241,39423
1327,1970,2961,1800,2625,4164,4489,13437,25630,756,3980,13568,1035,5332,17720,1077,6538,21844,1128,11253,38052
1160,1725,2623,1506,2427,3913,4283,12093,25017,641,3416,12839,843,4550,16785,945,5551,20709,994,9450,36197
971,1468,2424,1392,2126,3518,3861,10971,23719,510,2940,11950,703,3836,15862,797,4714,19544,846,8014,34378
835,1252,2298,1150,1875,3415,3627,9873,23036,498,2378,11056,598,3222,14676,689,4016,17958,662,6822,31937
743,1102,1970,1042,1659,3112,3551,9007,22128,385,2024,10024,489,2760,13682,576,3268,16747,646,5430,30143
680,977,1899,989,1610,2983,3240,8456,20717,318,1770,9431,445,2372,12580,534,2898,15551,505,4689,27235
636,896,1724,945,1412,2836,3147,7617,19750,286,1435,8581,444,2116,11334,484,2467,14123,496,3733,24673
598,819,1722,888,1267,2662,3019,6901,18771,334,1297,7760,455,1634,10173,495,2053,12511,474,3103,22155
592,865,1543,799,1277,2548,3037,6297,17701,288,1126,6933,348,1476,9246,449,1735,11496,395,2623,19458
558,748,1559,863,1184,2427,3022,5798,16657,295,975,6290,399,1279,8351,461,1544,10134,443,2101,17266
606,741,1482,848,1186,2356,3055,5349,15237,285,834,5635,400,1118,7500,484,1389,8953,454,1758,15174
626,796,1584,946,1210,2284,3155,4816,14367,316,773,5131,407,1002,6660,496,1227,8146,451,1416,13157
649,824,1531,990,1154,2251,3321,4595,13498,345,704,4729,516,893,5934,535,1062,7115,483,1180,11394
756,880,1574,1040,1283,2278,3409,4166,12084,413,676,4132,522,850,5346,617,1050,6373,614,943,9473
880,934,1563,1195,1341,2370,3632,4079,11389,453,703,3831,573,853,4804,708,950,5663,671,811,8105
987,1005,1647,1413,1496,2459,3919,3767,10249,554,678,3411,685,849,4245,786,874,5014,775,668,6912
1168,1106,1773,1537,1553,2465,4258,3581,9771,590,695,3174,831,844,3955,961,960,4526,962,565,5646
1388,1372,1945,1779,1772,2846,4601,3522,8685,787,773,3069,1016,970,3593,1082,983,4019,1144,525,4721
1649,1545,2150,2111,2069,2881,4949,3479,8181,973,880,2854,1213,970,3434,1321,987,3835,1471,525,3929
1893,1834,2429,2388,2284,3193,5564,3381,7624,1188,1032,2760,1424,1080,3238,1722,1153,3577,1734,448,3219
2230,2246,2793,2826,2711,3510,6011,3593,6895,1532,1162,2812,1708,1213,3220,1939,1282,3396,2179,380,2603
2765,2702,3158,3273,3195,3896,6533,3530,6406,1812,1327,2770,2039,1444,3112,2378,1338,3309,2579,408,2223
3265,3178,3555,3874,3725,4526,7285,3627,6078,2230,1588,3008,2558,1677,3218,2826,1550,3305,3161,456,1771
4005,3847,4285,4655,4334,4990,8049,3654,5685,2860,1915,3124,3089,1884,3417,3366,1768,3223,3918,445,1447
4834,4475,4964,5480,4953,5567,8794,3936,5380,3333,2328,3572,3833,2233,3490,4006,2051,3385,4609,522,1207
5627,5412,5783,6361,5733,6600,9716,4032,5119,4214,2780,4018,4638,2486,3709,4895,2426,3318,5611,610,1024
6824,6501,6854,7489,6915,7628,10733,4355,4759,5244,3219,4382,5602,3074,4185,6001,2706,3859,6757,704,866
8148,7612,7950,8810,8035,8512,11738,4577,4532,6308,3977,5035,6908,3660,4501,7174,3193,4026,8173,872,740
9484,8896,9481,10254,9227,9618,13040,5042,4511,7690,4606,5583,8051,4379,5060,8523,3673,4304,9501,974,657
11168,10503,10937,11805,10480,11226,14172,5371,4513,9112,5524,6324,9903,5034,5780,10232,4270,4696,11177,1180,547
13059,12080,12692,13687,12154,12553,15493,5991,4362,11038,6551,7339,11565,5910,6147,12047,4880,5093,13069,1401,548
15078,14152,14115,15477,14051,14108,16828,6484,4289,13473,7867,8140,13683,6876,7060,13988,5678,5765,15171,1757,499
17289,16027,16043,17554,15641,15630,18170,6907,4504,15562,9301,9251,15940,7770,7858,16535,6747,6166,17521,2212,456
19402,18345,17834,19709,17645,17354,19544,7714,4484,18189,10709,10519,18353,9160,8654,18963,7745,6844,19677,2653,483
21979,20149,20136,22131,19470,19267,20897,8582,4657,20918,12369,12033,21343,10534,9623,21307,8827,7350,22469,3209,534
24646,22904,22269,24324,21748,21274,22692,9354,4781,24010,14277,13334,24089,11918,10479,24321,10002,8121,24816,3932,547
27101,25487,24870,26786,23934,23211,23770,10264,5050,27528,15847,14712,27343,13616,11490,27311,11443,8736,27484,4710,586
29719,27618,27043,28891,25784,24880,24807,11122,5037,30352,18443,16046,30505,15333,12404,30054,13150,9501,29702,5783,630
31946,30148,29475,31484,28104,26737,25834,12319,5359,33908,20462,17553,33669,17360,13615,32995,14636,10255,32446,6884,733
34433,31968,31133,33162,29838,28391,27015,13046,5709,36644,22814,18792,36101,19542,14596,35110,16679,10870,34649,8030,896
36588,34070,33065,35022,32093,29821,27819,14343,6237,39528,25299,20004,38991,21420,15446,38265,18559,11643,36906,9618,997
38272,36157,34397,36307,33771,31080,28950,15823,6603,42084,27585,21702,40974,23338,16474,40423,20354,12474,38310,11374,1216
39744,37218,35651,37824,35141,32337,29452,17037,7022,44470,29668,22726,42600,25942,17269,41852,22658,13145,39745,13121,1521
40304,38579,36538,38474,35999,33204,29814,18008,7496,45616,32135,23540,43955,27796,18297,43047,24311,13843,40431,15106,1829
40735,39375,37359,39312,37030,34106,29889,19436,8151,45917,34080,24299,44448,30110,18951,43450,26878,14418,41181,17287,2271
