,changes,deg_changes,rounded,modulo
0,5.258696900950505,301.30113816298945,300,300
1,1.2252956969689925,70.20427209186393,70,70
2,1.9471040943070919,111.56084687643899,110,110
3,-0.09651958561290375,-5.530164895971006,-5,355
4,0.04290683962531183,2.4583808227750503,0,0
5,0.5042686921744322,28.892467802176647,30,30
6,-0.3369862148204681,-19.307887863301733,-20,340
7,0.9740637374185761,55.80974113082365,55,55
8,-0.09610654068718849,-5.506499164978227,-5,355
9,0.06698789670491467,3.838123759649925,5,5
10,1.304189994977663,74.72458239540812,75,75
11,1.520188647116086,87.10039354345417,85,85
12,3.239058195141576,185.5843641788741,185,185
13,1.3255317559125237,75.94737522435281,75,75
