,changes,deg_changes,rounded,modulo
0,-0.5841211679268952,-33.46767764646352,-35,325
1,5.17452540071558,296.4784664442438,295,295
2,4.37588310826643,250.7196337462547,250,250
3,-1.1335202077258142,-64.94592389548153,-65,295
4,1.9681156332049219,112.76471937635961,115,115
5,0.9214985330061221,52.79797676874758,55,55
6,0.8785153406493293,50.33522125670438,50,50
7,0.36091283581152067,20.67878226409817,20,20
8,1.3652099991067443,78.22077109787534,80,80
9,2.871117340775372,164.50290611325295,165,165
10,2.608529586564105,149.45773604512877,150,150
11,5.990349842232828,343.2217637667996,345,345
12,2.635658344284405,151.0120993659349,150,150
13,-0.7346115399853455,-42.09014082276621,-40,320
