,changes,deg_changes,rounded,modulo
0,-0.7898315137715586,-45.25401226553927,-45,315
1,-0.03217856317032908,-1.843695860454966,0,0
2,0.19421548407091804,11.127727553353873,10,10
3,-0.15410457260444194,-8.829541613901892,-10,350
4,-0.41671159733655694,-23.87581580153971,-25,335
5,-0.02437661525633139,-1.396677173002002,0,0
6,-0.019704343588112683,-1.1289757256745216,0,0
7,0.44150909744999733,25.296607900515024,25,25
8,-0.4098065838098285,-23.480187668977425,-25,335
9,0.39982522753292044,22.90829808049418,25,25
10,-0.041495522211614816,-2.3775182914168926,0,0
11,0.3535597994198687,20.25748431225041,20,20
12,0.32896667232407667,18.848401924632697,20,20
13,-0.37630336687008026,-21.560594738218647,-20,340
