,changes,deg_changes,rounded,modulo
0,-0.557071635962244,-31.917853627084792,-30,330
1,0.8096826220231428,46.391396987012364,45,45
2,0.9923196575414481,56.85572830499217,55,55
3,-0.6734990109315879,-38.588650832615286,-40,320
4,0.4631430873667919,26.53614421677593,25,25
5,0.45832275197089895,26.259959342753742,25,25
6,0.4712990815428621,27.003448260798034,25,25
7,-0.727075299675362,-41.658346059607794,-40,320
8,0.2921911838653632,16.741321646416345,15,15
9,0.9703217227625488,55.595339484157186,55,55
10,0.47570483067561087,27.25587909169796,25,25
11,0.09512781044625407,5.450422052890862,5,5
12,1.2397765867768915,71.03396596145055,70,70
13,0.3439494819091281,19.706853679104302,20,20
